cytokine,cell
IFNG,CL_0000084
IL2,CL_0000084
TNF,CL_0000235
IFNG,CL_0000625
IFNG,CL_0000623
IFNG,CL_0000624
IFNG,CL_0000235
TNF,CL_0000576
IL2,CL_0000542
CXCL8,CL_0000775
IL4,CL_0000084
IL10,CL_0000084
IFNG,CL_0000542
IFNA,CL_0000738
IL1B,CL_0000235
IL10,CL_0000235
IL2,CL_0000624
IL1,CL_0000576
CSF3,CL_0000775
TNF,CL_0000084
IL4,CL_0000236
IL6,CL_0000235
IL5,CL_0000771
IL17,CL_0000084
IL10,CL_0000236
IL1,CL_0000235
IFNG,CL_0000545
IL1B,CL_0000576
IL6,CL_0000576
TGFB1,CL_0000057
IL2,CL_0000623
CCL2,CL_0000576
CD40LG,CL_0000233
IL10,CL_0000576
CCL2,CL_0000235
TGFB,CL_0000057
IFNG,CL_0000576
CSF1,CL_0000235
CD40LG,CL_0000084
TNF,CL_0000775
IL2,CL_0000236
PF4,CL_0000233
IL4,CL_0000624
TNF,CL_0000115
IL6,CL_0000057
IL12,CL_0000084
IL10,CL_0000624
IL12,CL_0000235
IL4,CL_0000546
PPBP,CL_0000233
IL10,CL_0000792
IL2,CL_0000625
IFNA,CL_0000784
IL2,CL_0000792
IL17,CL_0000899
TNF,CL_0000129
IL17,CL_0000624
TGFB,CL_0000084
CXCL8,CL_0000576
IL6,CL_0000084
IL5,CL_0000084
TNF,CL_0000738
TNF,CL_0000097
FGF2,CL_0000115
IL6,CL_0000236
CCL11,CL_0000771
FGF2,CL_0000057
IL12,CL_0000451
CSF2,CL_0000775
IL1,CL_0000893
IL7,CL_0000084
IL12,CL_0000576
IL6,CL_0000115
IL2,CL_0000893
CSF2,CL_0000235
IFNB1,CL_0000057
IL12,CL_0000623
TGFB1,CL_0000233
IL4,CL_0000767
IL4,CL_0000235
IL15,CL_0000084
IL1,CL_0000084
TNF,CL_0000542
CSF2,CL_0000084
IFNG,CL_0000738
IFNG,CL_0000792
TGFB,CL_0000066
EPO,CL_0000038
TNF,CL_0000136
TGFB,CL_0000235
CCL2,CL_0000115
TGFB,CL_0000792
IFNG,CL_0000236
TNFSF9,CL_0000084
CXCL8,CL_0000066
CSF2,CL_0000576
RETN,CL_0000136
IL6,CL_0000062
CXCL8,CL_0000115
SPP1,CL_0000062
TNF,CL_0000624
CD40LG,CL_0000236
IFNA,CL_0000084
CSF3,CL_0000094
TGFB1,CL_0000084
IL2,CL_0000824
TNF,CL_0000583
TNF,CL_0000540
IFN1,CL_0000784
TNF,CL_0000312
IL2,CL_0000576
IL1B,CL_0000775
IL4,CL_0000542
IFNG,CL_0000775
CD40LG,CL_0000624
TNF,CL_0000127
CSF2,CL_0000771
TGFB1,CL_0000066
IL4,CL_0000097
IFNG,CL_0000451
IL1B,CL_0000129
IFNG,CL_0000057
IFNB1,CL_0000235
IL10,CL_0000542
TGFB1,CL_0000235
IL12,CL_0000624
IL6,CL_0000542
CSF2,CL_0000094
IL6,CL_0000182
IL6,CL_0000738
CXCL8,CL_0000312
IL17A,CL_0000084
CXCL8,CL_0000235
TNF,CL_0000451
TNF,CL_0000236
IL6,CL_0000312
TGFB,CL_0000182
TNF,CL_0000091
CSF1,CL_0000576
IL1,CL_0000236
THPO,CL_0000233
CXCL8,CL_0000084
TNF,CL_0000581
TGFB,CL_0000233
IL1A,CL_0000312
IL2,CL_0000912
EPO,CL_0000558
IL10,CL_0000625
IL21,CL_0000624
IL10,CL_0000451
IFNG,CL_0000312
TGFB,CL_0000138
IL1A,CL_0000235
IL17A,CL_0000899
IL1,CL_0000312
IL10,CL_0000738
IL18,CL_0000235
TNF,CL_0000623
IL1,CL_0000115
IFNG,CL_0000910
TGFB,CL_0000236
IL6,CL_0000127
IL6,CL_0000136
IL17,CL_0000912
IL1B,CL_0000127
CXCL8,CL_0000771
TGFB,CL_0000312
CSF2,CL_0002092
IL1B,CL_0000738
IL17,CL_0000775
IL6,CL_0000097
CCL2,CL_0000738
IL21,CL_0000084
IL17,CL_0000792
IFNG,CL_0000129
IFNA,CL_0000451
IL10,CL_0000545
IFNG,CL_0000581
CCL2,CL_0000057
IL10,CL_0000969
IL13,CL_0000084
TNF,CL_0000625
FGF2,CL_0000148
CXCL13,CL_0000236
IFNA,CL_0000576
IL6,CL_0000233
THPO,CL_0000556
IL6,CL_0000624
TNF,CL_0000746
IL6,CL_0000499
IFNG,CL_0000813
IL1RN,CL_0000576
IL1,CL_0000581
TGFB1,CL_0000182
IL1,CL_0000138
IL1,CL_0000775
CXCL12,CL_0000499
LTA,CL_0000084
FGF2,CL_0000127
IFNG,CL_0000540
CXCL12,CL_0000134
TNF,CL_0000138
CXCL2,CL_0000775
CXCL8,CL_0002328
IFNG,CL_0000798
IL2,CL_0000451
Monocyte-CSF,CL_0000094
CXCL8,CL_0002563
SPP1,CL_0000235
IL7,CL_0000499
CCL2,CL_0000136
IL10,CL_0000129
IL6,CL_0000775
IL10,CL_0000901
IL10,CL_0000815
IL1A,CL_0000576
TGFB,CL_0000134
IL2,CL_0000898
IL17A,CL_0000624
CCL2,CL_0000127
IFNG,CL_0000546
CSF2,CL_0000057
IFN1,CL_0000235
IL33,CL_0000097
IL5,CL_0000236
IFNG,CL_0000814
IL6,CL_0000134
CLCF1,CL_0000057
IL2,CL_0000545
IL10,CL_0000775
IFNG,CL_0000911
IL3,CL_0000084
IL18,CL_0000312
TGFA,CL_0000312
FGF2,CL_0000192
IL1B,CL_0000169
IL10,CL_0000546
IL6,CL_0000786
IL6,CL_0000138
IL7,CL_0000542
TNF,CL_0000771
IL17,CL_0000545
IL17A,CL_0000775
FGF2,CL_0000499
LTA,CL_0000542
HGF,CL_0000134
TNF,CL_0000233
IL1,CL_0000057
IL13,CL_0000236
IL6,CL_0000066
IL7,CL_0000625
CXCL13,CL_0000084
CXCL8,CL_0002368
CXCL8,CL_0000057
IL6,CL_0000556
IFNG,CL_0000066
TGFB,CL_0000576
IL4,CL_0000625
RETN,CL_0000738
IL1RN,CL_0000235
IL10,CL_0000145
IL17,CL_0000625
IL5,CL_0000624
CXCL8,CL_0000096
IL1,CL_0000738
TGFB,CL_0000542
FGF2,CL_0000134
TGFB1,CL_0000815
IL9,CL_0002061
CSF3,CL_0000576
IFNA,CL_0000235
IL6,CL_0000540
FGF2,CL_0000233
TGFB1,CL_0000097
CSF2,CL_0000499
IL4,CL_0000893
IL6,CL_0000129
CXCL10,CL_0000235
CCL5,CL_0000084
IL10,CL_0000890
TGFB,CL_0000127
CXCL8,CL_0000097
IL18,CL_0000576
IFNG,CL_0000097
CSF2,CL_0000583
IL10,CL_0000763
IFNG,CL_0000917
EPO,CL_0000765
IL6,CL_0000091
IL22,CL_0001042
IL1,CL_0000066
IL12,CL_0000145
CXCL12,CL_0000233
TGFB1,CL_0000062
TNF,CL_0000125
IL12,CL_0000236
TNF,CL_0002629
IL12B,CL_0000235
TGFB,CL_0000738
CCL2,CL_0000084
TGFB,CL_0000499
CCL2,CL_0000066
FGF2,CL_0000097
FGF2,CL_0000138
TGFB1,CL_0000134
IL6,CL_0000023
CSF2,CL_0000097
IL21,CL_0000236
CXCL8,CL_0000499
CCL2,CL_0000775
TGFB1,CL_0000542
IL33,CL_0000546
CCL2,CL_0000540
IL17,CL_0000542
IL2,CL_0000057
TGFB,CL_0000623
TGFB,CL_0000650
IL1B,CL_0000233
HGF,CL_0000057
TGFA,CL_0000182
IFNG,CL_0000794
CCL2,CL_0000650
IL4,CL_0000898
TGFB,CL_0000023
CX3CL1,CL_0000540
CSF2,CL_0000312
IL33,CL_0000066
IL5,CL_0000546
IL22,CL_0000084
IFNG,CL_0000912
IL6,CL_0002092
TGFB1,CL_0000792
IL10,CL_0000581
TNF,CL_0000214
CXCL8,CL_0000233
IL6,CL_0000771
IL6,CL_0000581
IL13,CL_0000767
IL2,CL_0000738
CSF3,CL_0000540
IL13,CL_0000235
IFNG,CL_0000771
TGFB,CL_0000771
CSF1,CL_0000499
IFNA,CL_0000542
CXCL12,CL_0002619
TGFB1,CL_0000499
CCL11,CL_0000057
CXCL8,CL_0000082
CSF2,CL_0000738
IL1B,CL_0000581
FGF2,CL_0002139
CSF2,CL_0000034
IL10,CL_0000623
CSF1,CL_0000057
IL7,CL_0000817
IL1B,CL_0000583
IL6,CL_0000187
IL4,CL_0000545
IFNG,CL_0000583
IL16,CL_0000084
IL4,CL_0000912
IL13,CL_0000546
IL21,CL_0000625
FGF2,CL_0000125
CCL2,CL_0000062
