,1-10,11-30,31-75,all
M-aupr,0.17583697228752826,0.4691580842097979,0.717744420408844,0.21130570077489955
M-auc,0.6782471117398886,0.7072881116959057,0.6556818181818181,0.680786090505244
aupr_list,"[0.08569004524886878, 0.07952709344136165, 0.03217592592592593, 0.029411764705882353, 0.06666666666666667, 0.02143658810325477, 0.07142857142857142, 0.017241379310344827, 0.027777777777777776, 0.09545454545454546, 0.14711538461538462, 0.3891587478544001, 0.10805014118754412, 0.32251984126984123, 0.057195835116245895, 0.5338888888888889, 0.6413308913308913, 0.5080952380952382, 1.0, 0.5839000579134608, 0.045454545454545456, 0.4268518518518518, 0.09241777662830294, 0.35701047260187047, 0.10182282596075701, 0.061397707231040564, 0.08333333333333333, 0.08333333333333333, 0.13025210084033612, 0.6, 0.021638655462184873, 0.07573566007216623, 0.5, 0.09253804343053836, 0.5, 0.030952380952380953, 0.03225806451612903, 0.5238095238095237, 0.043478260869565216, 0.3907203907203907, 0.02857142857142857, 0.047619047619047616, 0.2936083085205892, 0.02023398542385884, 0.05555555555555555, 0.11283979500891267, 0.016666666666666666, 0.293187185443283, 0.40877879588405897, 0.0625, 0.05080721747388414, 0.012345679012345678, 0.7554945054945055, 0.5391312840925844, 0.2344883390283527, 0.12681159420289856, 0.3675452620072419, 0.022222222222222223, 0.05555555555555555, 0.027777777777777776, 0.8, 0.24965277777777778, 0.08834586466165413, 0.05555555555555555, 0.05, 1.0, 0.3284083066691762, 0.014925373134328358, 0.1361111111111111, 0.4088779154568628, 0.43240093240093236, 0.10185185185185186, 0.023255813953488372, 0.35490796466406216, 0.022602397602397604, 0.06666666666666667, 0.21187423687423687, 0.16439946018893387, 0.5213675213675213, 0.0196078431372549, 0.015151515151515152, 0.10989010989010989, 0.18525641025641026, 0.2713675213675214, 0.03790375741595254, 0.021739130434782608, 0.027777777777777776, 0.05163398692810457, 0.5, 0.034482758620689655, 0.05555555555555555, 0.5, 0.5769230769230769, 0.020833333333333332, 0.41865079365079366, 0.45676767676767677, 0.12121794871794872, 0.05263157894736842, 0.06666666666666667, 0.19345238095238093, 0.10336546024900317, 0.03571428571428571, 0.05359306675096149, 0.058823529411764705, 0.05, 0.05158602150537635, 0.15974025974025974, 0.41613756613756614, 0.058823529411764705, 0.08333333333333333, 0.037037037037037035, 0.014084507042253521, 0.03225806451612903, 0.05, 0.01818181818181818, 0.527027027027027, 0.020833333333333332, 0.017857142857142856, 0.0440891472868217, 1.0, 0.058823529411764705, 0.013157894736842105, 0.1312273657691702, 0.032957283680175246, 0.06084933973589436, 0.043478260869565216, 0.03225806451612903, 0.026634768740031897, 0.017857142857142856, 0.0136986301369863, 0.01282051282051282, 0.07142857142857142, 0.13395604395604394, 0.06203007518796992, 0.03125, 0.11230212129707505, 0.07142857142857142, 0.8333333333333333, 0.03571428571428571, 0.05263157894736842, 0.0625, 0.07692307692307693, 0.08976787792577266, 0.022222222222222223, 0.05714285714285714, 0.13392857142857142, 0.06666666666666667, 0.04, 0.5, 0.058823529411764705, 0.025937081659973226, 0.04, 0.02564102564102564, 0.043478260869565216, 0.019852941176470587]","[0.5946960002110211, 0.3697604023026362, 0.27734841918775993, 0.5799442111018183, 0.49061720782036256, 0.5371933241726528, 0.3064255274675266, 0.23861694415901163, 0.4958248852342717, 0.5000328707910723, 0.5861250578884186, 0.45894089675862715, 0.41301966360317344, 0.35517416142903524, 0.40877879588405897, 0.6885229790689198, 0.5391312840925844, 0.3675452620072419, 0.5320288553852909, 0.5352867979252209, 0.46495801950967164, 0.5815062866151796]",[0.717744420408844],"[0.08569004524886878, 0.07952709344136165, 0.03217592592592593, 0.029411764705882353, 0.06666666666666667, 0.02143658810325477, 0.5946960002110211, 0.07142857142857142, 0.3697604023026362, 0.017241379310344827, 0.27734841918775993, 0.027777777777777776, 0.09545454545454546, 0.14711538461538462, 0.5799442111018183, 0.3891587478544001, 0.10805014118754412, 0.32251984126984123, 0.057195835116245895, 0.49061720782036256, 0.5338888888888889, 0.6413308913308913, 0.5080952380952382, 0.5371933241726528, 1.0, 0.5839000579134608, 0.3064255274675266, 0.045454545454545456, 0.4268518518518518, 0.09241777662830294, 0.35701047260187047, 0.10182282596075701, 0.061397707231040564, 0.08333333333333333, 0.08333333333333333, 0.13025210084033612, 0.23861694415901163, 0.6, 0.021638655462184873, 0.07573566007216623, 0.5, 0.09253804343053836, 0.5, 0.030952380952380953, 0.4958248852342717, 0.717744420408844, 0.5000328707910723, 0.03225806451612903, 0.5861250578884186, 0.5238095238095237, 0.043478260869565216, 0.3907203907203907, 0.02857142857142857, 0.047619047619047616, 0.2936083085205892, 0.02023398542385884, 0.05555555555555555, 0.45894089675862715, 0.11283979500891267, 0.016666666666666666, 0.41301966360317344, 0.35517416142903524, 0.293187185443283, 0.40877879588405897, 0.0625, 0.05080721747388414, 0.012345679012345678, 0.6885229790689198, 0.7554945054945055, 0.5391312840925844, 0.2344883390283527, 0.12681159420289856, 0.3675452620072419, 0.5320288553852909, 0.5352867979252209, 0.022222222222222223, 0.05555555555555555, 0.027777777777777776, 0.8, 0.24965277777777778, 0.08834586466165413, 0.05555555555555555, 0.05, 0.46495801950967164, 1.0, 0.3284083066691762, 0.014925373134328358, 0.1361111111111111, 0.4088779154568628, 0.5815062866151796, 0.43240093240093236, 0.10185185185185186, 0.023255813953488372, 0.35490796466406216, 0.022602397602397604, 0.06666666666666667, 0.21187423687423687, 0.16439946018893387, 0.5213675213675213, 0.0196078431372549, 0.015151515151515152, 0.10989010989010989, 0.18525641025641026, 0.2713675213675214, 0.03790375741595254, 0.021739130434782608, 0.027777777777777776, 0.05163398692810457, 0.5, 0.034482758620689655, 0.05555555555555555, 0.5, 0.5769230769230769, 0.020833333333333332, 0.41865079365079366, 0.45676767676767677, 0.12121794871794872, 0.05263157894736842, 0.06666666666666667, 0.19345238095238093, 0.10336546024900317, 0.03571428571428571, 0.05359306675096149, 0.058823529411764705, 0.05, 0.05158602150537635, 0.15974025974025974, 0.41613756613756614, 0.058823529411764705, 0.08333333333333333, 0.037037037037037035, 0.014084507042253521, 0.03225806451612903, 0.05, 0.01818181818181818, 0.527027027027027, 0.020833333333333332, 0.017857142857142856, 0.0440891472868217, 1.0, 0.058823529411764705, 0.013157894736842105, 0.1312273657691702, 0.032957283680175246, 0.06084933973589436, 0.043478260869565216, 0.03225806451612903, 0.026634768740031897, 0.017857142857142856, 0.0136986301369863, 0.01282051282051282, 0.07142857142857142, 0.13395604395604394, 0.06203007518796992, 0.03125, 0.11230212129707505, 0.07142857142857142, 0.8333333333333333, 0.03571428571428571, 0.05263157894736842, 0.0625, 0.07692307692307693, 0.08976787792577266, 0.022222222222222223, 0.05714285714285714, 0.13392857142857142, 0.06666666666666667, 0.04, 0.5, 0.058823529411764705, 0.025937081659973226, 0.04, 0.02564102564102564, 0.043478260869565216, 0.019852941176470587]"
num_pos_list,"[3.0, 5.0, 3.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 3.0, 6.0, 4.0, 5.0, 3.0, 5.0, 7.0, 5.0, 1.0, 7.0, 1.0, 6.0, 3.0, 9.0, 3.0, 3.0, 1.0, 1.0, 2.0, 2.0, 2.0, 4.0, 3.0, 5.0, 1.0, 2.0, 1.0, 4.0, 1.0, 3.0, 1.0, 1.0, 9.0, 2.0, 1.0, 4.0, 1.0, 8.0, 10.0, 1.0, 2.0, 1.0, 6.0, 10.0, 6.0, 2.0, 10.0, 1.0, 1.0, 1.0, 5.0, 4.0, 2.0, 1.0, 1.0, 1.0, 6.0, 1.0, 3.0, 9.0, 3.0, 3.0, 1.0, 6.0, 2.0, 1.0, 6.0, 5.0, 3.0, 1.0, 1.0, 2.0, 3.0, 3.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 4.0, 5.0, 5.0, 1.0, 1.0, 3.0, 7.0, 1.0, 3.0, 1.0, 1.0, 3.0, 3.0, 6.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 4.0, 3.0, 3.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 5.0, 2.0, 1.0, 5.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 4.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0]","[26.0, 11.0, 19.0, 29.0, 16.0, 16.0, 11.0, 12.0, 13.0, 24.0, 24.0, 17.0, 19.0, 14.0, 10.0, 21.0, 10.0, 10.0, 18.0, 15.0, 18.0, 15.0]",[40.0],"[3.0, 5.0, 3.0, 1.0, 1.0, 2.0, 26.0, 1.0, 11.0, 1.0, 19.0, 1.0, 2.0, 3.0, 29.0, 6.0, 4.0, 5.0, 3.0, 16.0, 5.0, 7.0, 5.0, 16.0, 1.0, 7.0, 11.0, 1.0, 6.0, 3.0, 9.0, 3.0, 3.0, 1.0, 1.0, 2.0, 12.0, 2.0, 2.0, 4.0, 3.0, 5.0, 1.0, 2.0, 13.0, 40.0, 24.0, 1.0, 24.0, 4.0, 1.0, 3.0, 1.0, 1.0, 9.0, 2.0, 1.0, 17.0, 4.0, 1.0, 19.0, 14.0, 8.0, 10.0, 1.0, 2.0, 1.0, 21.0, 6.0, 10.0, 6.0, 2.0, 10.0, 18.0, 15.0, 1.0, 1.0, 1.0, 5.0, 4.0, 2.0, 1.0, 1.0, 18.0, 1.0, 6.0, 1.0, 3.0, 9.0, 15.0, 3.0, 3.0, 1.0, 6.0, 2.0, 1.0, 6.0, 5.0, 3.0, 1.0, 1.0, 2.0, 3.0, 3.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 4.0, 5.0, 5.0, 1.0, 1.0, 3.0, 7.0, 1.0, 3.0, 1.0, 1.0, 3.0, 3.0, 6.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 4.0, 3.0, 3.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 5.0, 2.0, 1.0, 5.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 4.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0]"
auc_list,"[0.7283950617283951, 0.5544303797468355, 0.2674897119341564, 0.6024096385542168, 0.8313253012048193, 0.18902439024390244, 0.8433734939759037, 0.3132530120481928, 0.5783132530120482, 0.8292682926829269, 0.8641975308641975, 0.8440170940170941, 0.6875, 0.8911392405063291, 0.49382716049382713, 0.810126582278481, 0.9517625231910947, 0.810126582278481, 1.0, 0.7996289424860853, 0.7469879518072289, 0.767094017094017, 0.7489711934156378, 0.8651851851851852, 0.7860082304526749, 0.6296296296296297, 0.8674698795180723, 0.8674698795180723, 0.8719512195121952, 0.951219512195122, 0.17682926829268297, 0.634375, 0.9382716049382716, 0.6101265822784809, 0.9879518072289156, 0.4085365853658537, 0.6385542168674698, 0.9500000000000001, 0.7349397590361446, 0.7736625514403292, 0.5903614457831325, 0.7590361445783133, 0.7125925925925926, 0.13414634146341464, 0.7951807228915663, 0.7625, 0.28915662650602414, 0.6858552631578948, 0.772972972972973, 0.8192771084337349, 0.4451219512195122, 0.03614457831325302, 0.967948717948718, 0.7797297297297299, 0.5299145299145299, 0.8414634146341463, 0.654054054054054, 0.4698795180722891, 0.7951807228915663, 0.5783132530120482, 0.9772151898734177, 0.83125, 0.8170731707317074, 0.7951807228915663, 0.7710843373493976, 1.0, 0.7457264957264957, 0.20481927710843373, 0.7448559670781892, 0.7348148148148148, 0.8683127572016461, 0.6172839506172839, 0.49397590361445787, 0.6047008547008546, 0.23170731707317072, 0.8313253012048193, 0.829059829059829, 0.6607594936708862, 0.9423868312757202, 0.3975903614457831, 0.2168674698795181, 0.8170731707317073, 0.897119341563786, 0.9259259259259259, 0.5426829268292683, 0.45783132530120485, 0.5783132530120482, 0.6402439024390244, 0.9879518072289156, 0.6626506024096386, 0.7951807228915663, 0.9879518072289156, 0.9329268292682926, 0.4337349397590361, 0.834375, 0.9189873417721519, 0.7215189873417721, 0.7831325301204819, 0.8313253012048193, 0.8971193415637859, 0.575139146567718, 0.6746987951807228, 0.5679012345679013, 0.8072289156626506, 0.7710843373493976, 0.5596707818930041, 0.8559670781893004, 0.8418803418803419, 0.8072289156626506, 0.8674698795180723, 0.6867469879518072, 0.15662650602409633, 0.6385542168674698, 0.7710843373493976, 0.3493975903614458, 0.7865853658536586, 0.4337349397590361, 0.3373493975903614, 0.6097560975609756, 1.0, 0.8072289156626506, 0.09638554216867468, 0.659375, 0.2962962962962963, 0.617283950617284, 0.7349397590361446, 0.6385542168674698, 0.33536585365853655, 0.3373493975903614, 0.1325301204819277, 0.07228915662650603, 0.8433734939759037, 0.7569620253164556, 0.7317073170731707, 0.6265060240963856, 0.7063291139240506, 0.8433734939759037, 0.9939024390243902, 0.6746987951807228, 0.7831325301204819, 0.8192771084337349, 0.8554216867469879, 0.6531250000000001, 0.4698795180722891, 0.7073170731707317, 0.8780487804878049, 0.8313253012048193, 0.7108433734939759, 0.9879518072289156, 0.8072289156626506, 0.29268292682926833, 0.7108433734939759, 0.5421686746987953, 0.7349397590361446, 0.11585365853658541]","[0.763262599469496, 0.7048567870485679, 0.49878542510121454, 0.7222570532915361, 0.7261029411764706, 0.6433823529411764, 0.7820672478206725, 0.605324074074074, 0.8017334777898159, 0.6381944444444444, 0.6048611111111112, 0.7216856892010536, 0.6340080971659918, 0.753061224489796, 0.772972972972973, 0.7959183673469388, 0.7797297297297299, 0.654054054054054, 0.7213804713804713, 0.7333333333333334, 0.7255892255892256, 0.7777777777777778]",[0.6556818181818181],"[0.7283950617283951, 0.5544303797468355, 0.2674897119341564, 0.6024096385542168, 0.8313253012048193, 0.18902439024390244, 0.763262599469496, 0.8433734939759037, 0.7048567870485679, 0.3132530120481928, 0.49878542510121454, 0.5783132530120482, 0.8292682926829269, 0.8641975308641975, 0.7222570532915361, 0.8440170940170941, 0.6875, 0.8911392405063291, 0.49382716049382713, 0.7261029411764706, 0.810126582278481, 0.9517625231910947, 0.810126582278481, 0.6433823529411764, 1.0, 0.7996289424860853, 0.7820672478206725, 0.7469879518072289, 0.767094017094017, 0.7489711934156378, 0.8651851851851852, 0.7860082304526749, 0.6296296296296297, 0.8674698795180723, 0.8674698795180723, 0.8719512195121952, 0.605324074074074, 0.951219512195122, 0.17682926829268297, 0.634375, 0.9382716049382716, 0.6101265822784809, 0.9879518072289156, 0.4085365853658537, 0.8017334777898159, 0.6556818181818181, 0.6381944444444444, 0.6385542168674698, 0.6048611111111112, 0.9500000000000001, 0.7349397590361446, 0.7736625514403292, 0.5903614457831325, 0.7590361445783133, 0.7125925925925926, 0.13414634146341464, 0.7951807228915663, 0.7216856892010536, 0.7625, 0.28915662650602414, 0.6340080971659918, 0.753061224489796, 0.6858552631578948, 0.772972972972973, 0.8192771084337349, 0.4451219512195122, 0.03614457831325302, 0.7959183673469388, 0.967948717948718, 0.7797297297297299, 0.5299145299145299, 0.8414634146341463, 0.654054054054054, 0.7213804713804713, 0.7333333333333334, 0.4698795180722891, 0.7951807228915663, 0.5783132530120482, 0.9772151898734177, 0.83125, 0.8170731707317074, 0.7951807228915663, 0.7710843373493976, 0.7255892255892256, 1.0, 0.7457264957264957, 0.20481927710843373, 0.7448559670781892, 0.7348148148148148, 0.7777777777777778, 0.8683127572016461, 0.6172839506172839, 0.49397590361445787, 0.6047008547008546, 0.23170731707317072, 0.8313253012048193, 0.829059829059829, 0.6607594936708862, 0.9423868312757202, 0.3975903614457831, 0.2168674698795181, 0.8170731707317073, 0.897119341563786, 0.9259259259259259, 0.5426829268292683, 0.45783132530120485, 0.5783132530120482, 0.6402439024390244, 0.9879518072289156, 0.6626506024096386, 0.7951807228915663, 0.9879518072289156, 0.9329268292682926, 0.4337349397590361, 0.834375, 0.9189873417721519, 0.7215189873417721, 0.7831325301204819, 0.8313253012048193, 0.8971193415637859, 0.575139146567718, 0.6746987951807228, 0.5679012345679013, 0.8072289156626506, 0.7710843373493976, 0.5596707818930041, 0.8559670781893004, 0.8418803418803419, 0.8072289156626506, 0.8674698795180723, 0.6867469879518072, 0.15662650602409633, 0.6385542168674698, 0.7710843373493976, 0.3493975903614458, 0.7865853658536586, 0.4337349397590361, 0.3373493975903614, 0.6097560975609756, 1.0, 0.8072289156626506, 0.09638554216867468, 0.659375, 0.2962962962962963, 0.617283950617284, 0.7349397590361446, 0.6385542168674698, 0.33536585365853655, 0.3373493975903614, 0.1325301204819277, 0.07228915662650603, 0.8433734939759037, 0.7569620253164556, 0.7317073170731707, 0.6265060240963856, 0.7063291139240506, 0.8433734939759037, 0.9939024390243902, 0.6746987951807228, 0.7831325301204819, 0.8192771084337349, 0.8554216867469879, 0.6531250000000001, 0.4698795180722891, 0.7073170731707317, 0.8780487804878049, 0.8313253012048193, 0.7108433734939759, 0.9879518072289156, 0.8072289156626506, 0.29268292682926833, 0.7108433734939759, 0.5421686746987953, 0.7349397590361446, 0.11585365853658541]"
m-aupr,0.15116762486459456,0.44227107061763515,0.717744420408844,0.3226071645459084
m-auc,0.7605446191336005,0.726904009988249,0.6556818181818181,0.8246428768402636
F-max,0.21700879765395897,0.47258485639686687,0.6611570247933884,0.38163387000596305
t_max,0.22,0.33,0.27,0.25
p_max,0.26714801444043323,0.4547738693467337,0.49382716049382713,0.3579418344519016
