ID,Entry,Gene names,Cross-reference (STRING)
0,P19876,CXCL3 GRO3 GROG SCYB3,9606.ENSP00000296026
1,P80162,CXCL6 GCP2 SCYB6,9606.ENSP00000226317
2,P02775,PPBP CTAP3 CXCL7 SCYB7 TGB1 THBGB1,9606.ENSP00000296028
3,P19875,CXCL2 GRO2 GROB MIP2A SCYB2,9606.ENSP00000427279
4,P42830,CXCL5 ENA78 SCYB5,9606.ENSP00000296027
5,O95715,CXCL14 MIP2G NJAC SCYB14 PSEC0212 UNQ240/PRO273,9606.ENSP00000337065
6,O14625,CXCL11 ITAC SCYB11 SCYB9B,9606.ENSP00000306884
7,Q07325,CXCL9 CMK MIG SCYB9,9606.ENSP00000354901
8,P04141,CSF2 GMCSF,9606.ENSP00000296871
9,P02778,CXCL10 INP10 SCYB10,9606.ENSP00000305651
10,Q9H2A7,CXCL16 SCYB16 SRPSOX UNQ2759/PRO6714,9606.ENSP00000293778
11,P13236,CCL4 LAG1 MIP1B SCYA4,9606.ENSP00000250151
12,P01588,EPO,9606.ENSP00000252723
13,P09341,CXCL1 GRO GRO1 GROA MGSA SCYB1,9606.ENSP00000379110
14,O00585,CCL21 SCYA21 UNQ784/PRO1600,9606.ENSP00000259607
15,P13500,CCL2 MCP1 SCYA2,9606.ENSP00000225831
16,Q9Y258,CCL26 SCYA26 UNQ216/PRO242,9606.ENSP00000005180
17,P80098,CCL7 MCP3 SCYA6 SCYA7,9606.ENSP00000367832
18,P78556,CCL20 LARC MIP3A SCYA20,9606.ENSP00000351671
19,P29965,CD40LG CD40L TNFSF5 TRAP,9606.ENSP00000359663
20,P13501,CCL5 D17S136E SCYA5,9606.ENSP00000293272
21,P22362,CCL1 SCYA1,9606.ENSP00000225842
22,O00626,CCL22 MDC SCYA22 A-152E5.1,9606.ENSP00000219235
23,O00175,CCL24 MPIF2 SCYA24,9606.ENSP00000222902
24,O15444,CCL25 SCYA25 TECK,9606.ENSP00000375086
25,Q16663,CCL15 MIP5 NCC3 SCYA15,9606.ENSP00000432034
26,P55774,CCL18 AMAC1 DCCK1 MIP4 PARC SCYA18,9606.ENSP00000004921
27,P51671,CCL11 SCYA11,9606.ENSP00000302234
28,P09919,CSF3 C17orf33 GCSF,9606.ENSP00000225474
29,P10147,CCL3 G0S19-1 MIP1A SCYA3,9606.ENSP00000225245
30,Q99616,CCL13 MCP4 NCC1 SCYA13,9606.ENSP00000225844
31,P09603,CSF1,9606.ENSP00000327513
32,P35225,IL13 NC30,9606.ENSP00000304915
33,Q6EBC2,IL31,9606.ENSP00000366234
34,P05113,IL5,9606.ENSP00000231454
35,P01584,IL1B IL1F2,9606.ENSP00000263341
36,P40933,IL15,9606.ENSP00000296545
37,Q9HBE4,IL21,9606.ENSP00000264497
38,Q9GZX6,IL22 ILTIF ZCYTO18 UNQ3099/PRO10096,9606.ENSP00000329384
39,P05112,IL4,9606.ENSP00000231449
40,Q9H293,IL25 IL17E UNQ3120/PRO10272,9606.ENSP00000328111
41,Q8NEV9,IL27 IL27A IL30,9606.ENSP00000349365
42,Q14116,IL18 IGIF IL1F4,9606.ENSP00000280357
43,P20809,IL11,9606.ENSP00000264563
44,Q16552,IL17A CTLA8 IL17,9606.ENSP00000344192
45,Q13007,IL24 MDA7 ST16,9606.ENSP00000375795
46,P01574,IFNB1 IFB IFNB,9606.ENSP00000369581
47,P05013,IFNA6,9606.ENSP00000369558
48,P01579,IFNG,9606.ENSP00000229135
49,P01583,IL1A IL1F1,9606.ENSP00000263339
50,P14210,HGF HPTA,9606.ENSP00000222390
51,P09038,FGF2 FGFB,9606.ENSP00000264498
52,P05230,FGF1 FGFA,9606.ENSP00000338548
53,P29459,IL12A NKSF1,9606.ENSP00000303231
54,Q8IU54,IFNL1 IL29 ZCYTO21,9606.ENSP00000329991
55,Q8IZJ0,IFNL2 IL28A ZCYTO20,9606.ENSP00000333639
56,Q9UHD0,IL19 ZMDA1,9606.ENSP00000343000
57,P15248,IL9,9606.ENSP00000274520
58,P40225,THPO MGDF,9606.ENSP00000204615
59,Q9Y6Q6,TNFRSF11A RANK,9606.ENSP00000465500
60,P32971,TNFSF8 CD30L CD30LG,9606.ENSP00000223795
61,P41273,TNFSF9,9606.ENSP00000245817
62,P01375,TNF TNFA TNFSF2,9606.ENSP00000398698
63,O95150,TNFSF15 TL1 VEGI,9606.ENSP00000363157
64,O43557,TNFSF14 HVEML LIGHT UNQ391/PRO726,9606.ENSP00000469049
65,P01374,LTA TNFB TNFSF1,9606.ENSP00000403495
66,P23510,TNFSF4 TXGP1,9606.ENSP00000281834
67,P21583,KITLG MGF SCF,9606.ENSP00000228280
68,P48061,CXCL12 SDF1 SDF1A SDF1B,9606.ENSP00000379140
69,P10600,TGFB3,9606.ENSP00000238682
70,Q9Y275,TNFSF13B BAFF BLYS TALL1 TNFSF20 ZTNF4 UNQ401/PRO738,9606.ENSP00000365048
71,Q9HD89,RETN FIZZ3 HXCP1 RSTN UNQ407/PRO1199,9606.ENSP00000221515
72,P04085,PDGFA PDGF1,9606.ENSP00000346508
73,P01127,PDGFB PDGF2 SIS,9606.ENSP00000330382
74,P02776,PF4 CXCL4 SCYB4,9606.ENSP00000296029
75,P14174,MIF GLIF MMIF,9606.ENSP00000215754
76,P15018,LIF HILDA,9606.ENSP00000249075
77,P78423,CX3CL1 FKN NTT SCYD1 A-152E5.2,9606.ENSP00000006053
78,P01137,TGFB1 TGFB,9606.ENSP00000221930
79,P01135,TGFA,9606.ENSP00000295400
80,Q99988,GDF15 MIC1 PDF PLAB PTGFB,9606.ENSP00000252809
81,P10451,SPP1 BNSP OPN PSEC0156,9606.ENSP00000378517
82,P13725,OSM,9606.ENSP00000215781
83,Q6ZMJ4,IL34 C16orf77,9606.ENSP00000288098
84,P22301,IL10,9606.ENSP00000412237
85,P29460,IL12B NKSF2,9606.ENSP00000231228
86,P10145,CXCL8 IL8,9606.ENSP00000306512
87,P13232,IL7,9606.ENSP00000263851
88,Q9NYY1,IL20 ZCYTO10 UNQ852/PRO1801,9606.ENSP00000356063
89,P08700,IL3,9606.ENSP00000296870
90,Q8IZI9,IFNL3 IL28B IL28C ZCYTO22,9606.ENSP00000409000
91,Q96PD4,IL17F,9606.ENSP00000337432
92,O95760,IL33 C9orf26 IL1F11 NFHEV,9606.ENSP00000370842
93,P18510,IL1RN IL1F3 IL1RA,9606.ENSP00000259206
94,Q9NZH8,IL36G IL1E IL1F9 IL1H1 IL1RP2 UNQ2456/PRO5737,9606.ENSP00000259205
95,P60568,IL2,9606.ENSP00000226730
96,P05231,IL6 IFNB2,9606.ENSP00000258743
97,O14960,LECT2,9606.ENSP00000274507
