cytokine,cell,Cell ontology Label
IL2,CL_0000084,T cell
IFNG,CL_0000235,macrophage
CXCL8,CL_0000775,neutrophil
IL2,CL_0000623,natural killer cell
IL2,CL_0000542,lymphocyte
CSF3,CL_0000775,neutrophil
IFNG,CL_0000084,T cell
IL4,CL_0000236,B cell
IL5,CL_0000771,eosinophil
TNF,CL_0000115,endothelial cell
FGF2,CL_0000115,endothelial cell
TGFB1,CL_0000057,fibroblast
TNF,CL_0000775,neutrophil
IFNG,CL_0000576,monocyte
CSF1,CL_0000235,macrophage
IL12,CL_0000084,T cell
TNF,CL_0000576,monocyte
CSF3,CL_0000034,stem cell
CSF2,CL_0000775,neutrophil
TNF,CL_0000235,macrophage
TGFB,CL_0000057,fibroblast
IL10,CL_0000084,T cell
CCL2,CL_0000576,monocyte
IL2,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IL2,CL_0000824,mature natural killer cell
IL7,CL_0000084,T cell
CCL2,CL_0000235,macrophage
IL12,CL_0000545,T-helper 1 cell
CCL11,CL_0000771,eosinophil
TNF,CL_0000182,hepatocyte
CSF2,CL_0000235,macrophage
TNF,CL_0000084,T cell
IL2,CL_0000236,B cell
CD40LG,CL_0000236,B cell
IL4,CL_0000084,T cell
FGF2,CL_0000540,neuron
IL2,CL_0000624,"CD4-positive, alpha-beta T cell"
IL10,CL_0000235,macrophage
IL15,CL_0000623,natural killer cell
IFNG,CL_0000625,"CD8-positive, alpha-beta T cell"
IL2,CL_0000625,"CD8-positive, alpha-beta T cell"
IL1B,CL_0000138,chondrocyte
IL12,CL_0000623,natural killer cell
IL4,CL_0000235,macrophage
IL6,CL_0000236,B cell
IL15,CL_0000084,T cell
CSF1,CL_0000092,osteoclast
TNF,CL_0000738,leukocyte
CSF2,CL_0000576,monocyte
FGF2,CL_0000057,fibroblast
CSF3,CL_0000037,hematopoietic stem cell
IL4,CL_0000546,T-helper 2 cell
IL10,CL_0000576,monocyte
TNF,CL_0000057,fibroblast
IL1,CL_0000084,T cell
CSF3,CL_0000094,granulocyte
CSF2,CL_0000084,T cell
HGF,CL_0000066,epithelial cell
TGFB,CL_0000084,T cell
IL6,CL_0000084,T cell
IFNG,CL_0000312,keratinocyte
CSF3,CL_0002246,peripheral blood stem cell
IL3,CL_0000767,basophil
CD40LG,CL_0000084,T cell
THPO,CL_0000233,platelet
IFNG,CL_0000624,"CD4-positive, alpha-beta T cell"
TNF,CL_0000136,fat cell
IL15,CL_0000625,"CD8-positive, alpha-beta T cell"
PF4,CL_0000233,platelet
IFNA,CL_0000084,T cell
IL1,CL_0000057,fibroblast
IFNA,CL_0000623,natural killer cell
TNF,CL_0000540,neuron
IFNG,CL_0000542,lymphocyte
IL1B,CL_0000057,fibroblast
IL4,CL_0000576,monocyte
EPO,CL_0000595,enucleate erythrocyte
CSF2,CL_0000451,dendritic cell
IL17,CL_0000775,neutrophil
IFNG,CL_0000623,natural killer cell
EPO,CL_0000038,erythroid progenitor cell
TNFSF9,CL_0000084,T cell
IL6,CL_0000235,macrophage
TNF,CL_0000092,osteoclast
CSF3,CL_0000738,leukocyte
IL21,CL_0000236,B cell
IL6,CL_0000775,neutrophil
IL2,CL_0000910,cytotoxic T cell
TNFSF13B,CL_0000236,B cell
IL6,CL_0000057,fibroblast
TGFB1,CL_0000066,epithelial cell
TGFB1,CL_0000235,macrophage
IFNG,CL_0000775,neutrophil
TGFB1,CL_0000115,endothelial cell
IL1B,CL_0000235,macrophage
IFNG,CL_0000581,peritoneal macrophage
CSF2,CL_0000771,eosinophil
IL2,CL_0000893,thymocyte
IL6,CL_0000092,osteoclast
CSF1,CL_0000576,monocyte
TGFB1,CL_0000312,keratinocyte
IL6,CL_0000233,platelet
IL6,CL_0000182,hepatocyte
EPO,CL_0000558,reticulocyte
IFNG,CL_0000115,endothelial cell
IL18,CL_0000084,T cell
TNF,CL_0000066,epithelial cell
IFNG,CL_0000236,B cell
IL4,CL_0000624,"CD4-positive, alpha-beta T cell"
IFNG,CL_0000545,T-helper 1 cell
FGF2,CL_0000062,osteoblast
PDGF,CL_0000057,fibroblast
KITLG,CL_0000097,mast cell
IL21,CL_0000625,"CD8-positive, alpha-beta T cell"
IL1B,CL_0000576,monocyte
IFNG,CL_0000771,eosinophil
THPO,CL_0000556,megakaryocyte
TGFB,CL_0000062,osteoblast
TGFB,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
CSF2,CL_0000738,leukocyte
IL10,CL_0000236,B cell
CXCL2,CL_0000775,neutrophil
IL1,CL_0000115,endothelial cell
TNF,CL_0000236,B cell
IL12,CL_0000625,"CD8-positive, alpha-beta T cell"
TGFB,CL_0000182,hepatocyte
IL6,CL_0000576,monocyte
TGFB,CL_0000235,macrophage
TNF,CL_0000771,eosinophil
IL1,CL_0000138,chondrocyte
IL1B,CL_0000775,neutrophil
IFNA,CL_0000576,monocyte
EPO,CL_0000232,erythrocyte
IFNG,CL_0000182,hepatocyte
IL1,CL_0000893,thymocyte
CXCL12,CL_0000034,stem cell
IL7,CL_0000236,B cell
IFNG,CL_0000129,microglial cell
CX3CL1,CL_0000738,leukocyte
IL5,CL_0000236,B cell
IFNG,CL_0000066,epithelial cell
CSF3,CL_0000763,myeloid cell
CXCL1,CL_0000775,neutrophil
TGFB1,CL_0000653,glomerular visceral epithelial cell
IL10,CL_0000624,"CD4-positive, alpha-beta T cell"
CSF2,CL_0000763,myeloid cell
IL3,CL_0000097,mast cell
CXCL8,CL_0000738,leukocyte
TGFB1,CL_0000062,osteoblast
IL10,CL_0000775,neutrophil
IL33,CL_0000771,eosinophil
TNF,CL_0000214,synovial cell
IL1B,CL_0000214,synovial cell
CCL4,CL_0000182,hepatocyte
TGFB,CL_0000092,osteoclast
IL18,CL_0000623,natural killer cell
IL13,CL_0000160,goblet cell
TGFB1,CL_0000084,T cell
TGFB,CL_0000138,chondrocyte
PPBP,CL_0000233,platelet
IL1B,CL_0000540,neuron
CSF2,CL_0000094,granulocyte
TNF,CL_0000542,lymphocyte
IL12,CL_0000624,"CD4-positive, alpha-beta T cell"
IL1,CL_0000775,neutrophil
IL4,CL_0000542,lymphocyte
IL10,CL_0000545,T-helper 1 cell
TGFB,CL_0000625,"CD8-positive, alpha-beta T cell"
IFNG,CL_0000057,fibroblast
IL1,CL_0000576,monocyte
IFNB1,CL_0000235,macrophage
IFNG,CL_0000738,leukocyte
IL7,CL_0000542,lymphocyte
EPO,CL_0000233,platelet
TNF,CL_0000312,keratinocyte
CXCL12,CL_0000084,T cell
IL4,CL_0000771,eosinophil
IL10,CL_0000625,"CD8-positive, alpha-beta T cell"
IL1B,CL_0000127,astrocyte
IL1,CL_0000235,macrophage
FGF2,CL_0000134,mesenchymal cell
TNF,CL_0000623,natural killer cell
TNF,CL_0000129,microglial cell
TNF,CL_0000062,osteoblast
IL4,CL_0000097,mast cell
IL1B,CL_0000169,type B pancreatic cell
IFNB1,CL_0000084,T cell
CCL2,CL_0000738,leukocyte
TGFB,CL_0000066,epithelial cell
IFNA,CL_0000236,B cell
IL33,CL_0000546,T-helper 2 cell
IL6,CL_0000738,leukocyte
EGF,CL_0000057,fibroblast
