,cytokine,cell,source
0,CXCL3,T cell,cell-cytokine
1,CXCL6,neutrophil,cell-cytokine
2,CXCL6,leukocyte,cell-cytokine
3,CXCL6,B cell,cell-cytokine
4,CXCL6,enucleate erythrocyte,cell-cytokine
5,PPBP,platelet,cell-cytokine
6,PPBP,macrophage,cell-cytokine
7,PPBP,neutrophil,cell-cytokine
8,PPBP,T cell,cell-cytokine
9,PPBP,myoblast,cell-cytokine
10,PPBP,connective tissue cell,cell-cytokine
11,PPBP,leukocyte,cell-cytokine
12,PPBP,thymocyte,cell-cytokine
13,PPBP,myeloid cell,cell-cytokine
14,PPBP,natural killer cell,cell-cytokine
15,PPBP,mononuclear phagocyte,cell-cytokine
16,PPBP,microglial cell,cell-cytokine
17,PPBP,epithelial cell,cell-cytokine
18,PPBP,stromal cell,cell-cytokine
19,PPBP,eosinophil,cell-cytokine
20,PPBP,mesenchymal cell,cell-cytokine
21,PPBP,T-helper 1 cell,cell-cytokine
22,PPBP,"CD8-positive, alpha-beta T cell",cell-cytokine
23,CXCL2,neutrophil,cell-cytokine
24,CXCL2,leukocyte,cell-cytokine
25,CXCL2,alveolar macrophage,cell-cytokine
26,CXCL2,intestinal epithelial cell,cell-cytokine
27,CXCL2,hepatocyte,cell-cytokine
28,CXCL2,endothelial cell,cell-cytokine
29,CXCL2,mature neutrophil,cell-cytokine
30,CXCL2,thymic macrophage,cell-cytokine
31,CXCL2,neuron,cell-cytokine
32,CXCL2,T-helper 2 cell,cell-cytokine
33,CXCL2,cardiac muscle cell,cell-cytokine
34,CXCL5,neutrophil,cell-cytokine
35,CXCL5,endothelial cell,cell-cytokine
36,CXCL5,bronchial epithelial cell,cell-cytokine
37,CXCL5,mature neutrophil,cell-cytokine
38,CXCL5,fibroblast,cell-cytokine
39,CXCL5,macrophage,cell-cytokine
40,CXCL5,hematopoietic stem cell,cell-cytokine
41,CXCL5,enterocyte,cell-cytokine
42,CXCL13,B cell,cell-cytokine
43,CXCL13,T cell,cell-cytokine
44,CXCL13,monocyte,cell-cytokine
45,CXCL13,lymphocyte,cell-cytokine
46,CXCL13,B-1 B cell,cell-cytokine
47,CXCL13,macrophage,cell-cytokine
48,CXCL13,"CD4-positive, alpha-beta T cell",cell-cytokine
49,CXCL13,chondrocyte,cell-cytokine
50,CXCL13,epithelial cell,cell-cytokine
51,CXCL13,neuron,cell-cytokine
52,CXCL13,helper T cell,cell-cytokine
53,CXCL13,dendritic cell,cell-cytokine
54,CXCL14,neural cell,cell-cytokine
55,CXCL14,leukocyte,cell-cytokine
56,CXCL14,neutrophil,cell-cytokine
57,CXCL14,T cell,cell-cytokine
58,CXCL14,natural killer cell,cell-cytokine
59,CXCL14,myelinating Schwann cell,cell-cytokine
60,CXCL14,fat cell,cell-cytokine
