cytokine,cell
IL2,T cell
IL10,T cell
IFNG,macrophage
IFNG,T cell
TNF,macrophage
CXCL8,neutrophil
IL10,macrophage
IL10,monocyte
TGFB,T cell
CCL2,macrophage
TNF,fat cell
CSF3,neutrophil
IL5,eosinophil
TNF,neutrophil
IL4,monocyte
IFNG,monocyte
TNF,monocyte
IFNG,B cell
IL4,B cell
CCL2,monocyte
TNF,endothelial cell
IL2,natural killer cell
IL12,T cell
TGFB,epithelial cell
TNF,T cell
IL4,macrophage
IL6,neutrophil
TGFB1,T cell
CSF2,neutrophil
IL10,neutrophil
TGFB,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
TGFB,macrophage
IL7,T cell
IL10,T-helper 1 cell
IFNB1,T cell
IL1B,chondrocyte
TGFB,B cell
TGFB1,keratinocyte
IFNG,natural killer cell
IL2,lymphocyte
IFNG,"CD8-positive, alpha-beta T cell"
CSF2,macrophage
IL4,T cell
TNF,osteoblast
IFNG,"CD4-positive, alpha-beta T cell"
TGFB1,fibroblast
IL15,T cell
IFNG,fibroblast
IL2,B cell
TGFB,chondrocyte
TGFB1,hepatocyte
CSF1,macrophage
IFNG,lymphocyte
IFNG,neutrophil
TNF,leukocyte
IL2,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
CD40LG,B cell
TNFSF9,T cell
IL27,T-helper 17 cell
FGF2,endothelial cell
IL12,eosinophil
IFNA,B cell
FGF2,neuron
CCL11,eosinophil
IL10,natural killer cell
IFNG,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IL2,"CD4-positive, alpha-beta T cell"
TNF,lymphocyte
CSF2,T cell
IL4,osteoclast
PF4,endothelial cell
TGFB,fibroblast
IL10,"CD4-positive, alpha-beta T cell"
IFNG,leukocyte
CSF2,eosinophil
IL18,natural killer cell
IL17,neutrophil
IL1B,monocyte
IFNG,T-helper 2 cell
IL1,neutrophil
IFNA,natural killer cell
CSF1,osteoclast
IL10,B cell
IL4,natural killer cell
IL1,monocyte
TGFB,endothelial cell
IL10,dendritic cell
TGFB,keratinocyte
IL17A,neutrophil
IL6,macrophage
CSF3,platelet
TGFB1,osteoblast
IL2,"CD8-positive, alpha-beta T cell"
TNF,astrocyte
IL2,cytotoxic T cell
TNF,neuron
IL4,neutrophil
FGF2,osteoblast
IL4,T-helper 2 cell
CSF3,stem cell
IL12,T-helper 1 cell
IL6,hepatocyte
IL12,natural killer cell
IL1,thymocyte
IFNA,lymphocyte
CSF2,monocyte
IL10,"CD8-positive, alpha-beta T cell"
IL21,B cell
TNF,cardiac muscle cell
IL4,"CD4-positive, alpha-beta T cell"
MIF,macrophage
IL2,thymocyte
IFNA,T cell
TGFB,osteoblast
IL1RN,neutrophil
IL12,T-helper 2 cell
TNF,eosinophil
IL4,T-helper 1 cell
IL7,"CD4-positive, alpha-beta T cell"
TGFB1,epithelial cell
IFNG,osteoclast
CXCL1,neutrophil
IL10,lymphocyte
TNF,myoblast
IFNA,monocyte
CSF3,neuron
TGFB1,macrophage
TGFB1,natural killer cell
IFNG,endothelial cell
CSF2,alveolar macrophage
CXCL12,T cell
CD40LG,T cell
IL1B,astrocyte
IL4,"CD8-positive, alpha-beta T cell"
