,1-10,11-30,31-75,all
M-aupr,0.0814339106165301,0.33519199375181413,0.6643122432226396,0.11349998197901351
M-auc,0.5079675191903951,0.6206823621797345,0.5556818181818182,0.5193574351573659
aupr_list,"[0.06333333333333332, 0.054669246880463845, 0.02905215014938476, 0.029411764705882353, 0.03333333333333333, 0.021701388888888888, 0.013888888888888888, 0.017857142857142856, 0.02631578947368421, 0.03522727272727273, 0.07503633007344566, 0.22330276096156315, 0.048128454698389805, 0.18283329573652152, 0.057031963470319635, 0.22663139329805995, 0.44032312925170064, 0.1813205128205128, 0.03571428571428571, 0.2775399146013181, 0.03571428571428571, 0.12114515684314514, 0.05897435897435898, 0.258421963336824, 0.16085668717247664, 0.027866559515118797, 0.02040816326530612, 0.02857142857142857, 0.05507246376811594, 0.12916666666666665, 0.03393425238600212, 0.036760544468757365, 0.2289855072463768, 0.04401441377051133, 0.02, 0.01941498460485802, 0.012987012987012988, 0.22255244755244755, 0.016666666666666666, 0.4777777777777778, 0.022727272727272728, 0.022222222222222223, 0.15275005429878974, 0.018754076973255054, 0.03125, 0.10036980208871008, 0.01818181818181818, 0.20744956643430323, 0.21086149250855135, 0.017857142857142856, 0.01977087952697709, 0.014084507042253521, 0.4253038628038628, 0.29326904729453457, 0.15131777910103034, 0.049999999999999996, 0.29416486519427254, 0.015151515151515152, 0.015873015873015872, 0.013157894736842105, 0.36, 0.13546176046176045, 0.05119047619047619, 0.016129032258064516, 0.019230769230769232, 0.03125, 0.12296334722072155, 0.022222222222222223, 0.05932033983008496, 0.3503244735557485, 0.29215686274509806, 0.11354647330257085, 0.013333333333333334, 0.14370761206608906, 0.018754076973255054, 0.025, 0.23024733551049342, 0.20057031669350506, 0.2512820512820513, 0.018518518518518517, 0.012658227848101266, 0.1534090909090909, 0.10476190476190476, 0.0998994469582705, 0.08888888888888888, 0.01818181818181818, 0.024390243902439025, 0.09090909090909091, 0.07692307692307693, 0.017857142857142856, 0.025, 0.01818181818181818, 0.05295566502463054, 0.012658227848101266, 0.17957839262187086, 0.17624458874458876, 0.22630952380952385, 0.014925373134328358, 0.0196078431372549, 0.0810405643738977, 0.060189175520058105, 0.03571428571428571, 0.029258869236518548, 0.014705882352941176, 0.01818181818181818, 0.03102714515757994, 0.08015873015873015, 0.2704632532218739, 0.034482758620689655, 0.05, 0.014285714285714285, 0.014925373134328358, 0.02040816326530612, 0.023809523809523808, 0.030303030303030304, 0.34090909090909094, 0.027777777777777776, 0.038461538461538464, 0.03214285714285714, 0.03125, 0.017857142857142856, 0.012345679012345678, 0.07504025518731401, 0.030325600325600326, 0.03298288790063757, 0.015625, 0.02702702702702703, 0.028125, 0.011904761904761904, 0.014705882352941176, 0.014705882352941176, 0.02702702702702703, 0.06938132511903003, 0.02844551282051282, 0.05555555555555555, 0.08377139484556365, 0.015151515151515152, 0.12333333333333332, 0.017241379310344827, 0.014705882352941176, 0.037037037037037035, 0.02564102564102564, 0.05445402298850574, 0.03225806451612903, 0.06620553359683795, 0.08893280632411067, 0.029411764705882353, 0.03225806451612903, 0.029411764705882353, 0.045454545454545456, 0.027985739750445632, 0.02127659574468085, 0.025, 0.027777777777777776, 0.01938793253347244]","[0.30363381938450323, 0.23559671194219178, 0.3430430417293979, 0.552520815597839, 0.39300316662168133, 0.32809881324513945, 0.21900887741404435, 0.36902763017146595, 0.19722135748291075, 0.4018193727820159, 0.4147875129949495, 0.2315555533064726, 0.24735551832996555, 0.2389535715975176, 0.21086149250855135, 0.6500318634356279, 0.29326904729453457, 0.29416486519427254, 0.39636171739225745, 0.38167768536495833, 0.2547645876503347, 0.4174668410992771]",[0.6643122432226396],"[0.06333333333333332, 0.054669246880463845, 0.02905215014938476, 0.029411764705882353, 0.03333333333333333, 0.021701388888888888, 0.30363381938450323, 0.013888888888888888, 0.23559671194219178, 0.017857142857142856, 0.3430430417293979, 0.02631578947368421, 0.03522727272727273, 0.07503633007344566, 0.552520815597839, 0.22330276096156315, 0.048128454698389805, 0.18283329573652152, 0.057031963470319635, 0.39300316662168133, 0.22663139329805995, 0.44032312925170064, 0.1813205128205128, 0.32809881324513945, 0.03571428571428571, 0.2775399146013181, 0.21900887741404435, 0.03571428571428571, 0.12114515684314514, 0.05897435897435898, 0.258421963336824, 0.16085668717247664, 0.027866559515118797, 0.02040816326530612, 0.02857142857142857, 0.05507246376811594, 0.36902763017146595, 0.12916666666666665, 0.03393425238600212, 0.036760544468757365, 0.2289855072463768, 0.04401441377051133, 0.02, 0.01941498460485802, 0.19722135748291075, 0.6643122432226396, 0.4018193727820159, 0.012987012987012988, 0.4147875129949495, 0.22255244755244755, 0.016666666666666666, 0.4777777777777778, 0.022727272727272728, 0.022222222222222223, 0.15275005429878974, 0.018754076973255054, 0.03125, 0.2315555533064726, 0.10036980208871008, 0.01818181818181818, 0.24735551832996555, 0.2389535715975176, 0.20744956643430323, 0.21086149250855135, 0.017857142857142856, 0.01977087952697709, 0.014084507042253521, 0.6500318634356279, 0.4253038628038628, 0.29326904729453457, 0.15131777910103034, 0.049999999999999996, 0.29416486519427254, 0.39636171739225745, 0.38167768536495833, 0.015151515151515152, 0.015873015873015872, 0.013157894736842105, 0.36, 0.13546176046176045, 0.05119047619047619, 0.016129032258064516, 0.019230769230769232, 0.2547645876503347, 0.03125, 0.12296334722072155, 0.022222222222222223, 0.05932033983008496, 0.3503244735557485, 0.4174668410992771, 0.29215686274509806, 0.11354647330257085, 0.013333333333333334, 0.14370761206608906, 0.018754076973255054, 0.025, 0.23024733551049342, 0.20057031669350506, 0.2512820512820513, 0.018518518518518517, 0.012658227848101266, 0.1534090909090909, 0.10476190476190476, 0.0998994469582705, 0.08888888888888888, 0.01818181818181818, 0.024390243902439025, 0.09090909090909091, 0.07692307692307693, 0.017857142857142856, 0.025, 0.01818181818181818, 0.05295566502463054, 0.012658227848101266, 0.17957839262187086, 0.17624458874458876, 0.22630952380952385, 0.014925373134328358, 0.0196078431372549, 0.0810405643738977, 0.060189175520058105, 0.03571428571428571, 0.029258869236518548, 0.014705882352941176, 0.01818181818181818, 0.03102714515757994, 0.08015873015873015, 0.2704632532218739, 0.034482758620689655, 0.05, 0.014285714285714285, 0.014925373134328358, 0.02040816326530612, 0.023809523809523808, 0.030303030303030304, 0.34090909090909094, 0.027777777777777776, 0.038461538461538464, 0.03214285714285714, 0.03125, 0.017857142857142856, 0.012345679012345678, 0.07504025518731401, 0.030325600325600326, 0.03298288790063757, 0.015625, 0.02702702702702703, 0.028125, 0.011904761904761904, 0.014705882352941176, 0.014705882352941176, 0.02702702702702703, 0.06938132511903003, 0.02844551282051282, 0.05555555555555555, 0.08377139484556365, 0.015151515151515152, 0.12333333333333332, 0.017241379310344827, 0.014705882352941176, 0.037037037037037035, 0.02564102564102564, 0.05445402298850574, 0.03225806451612903, 0.06620553359683795, 0.08893280632411067, 0.029411764705882353, 0.03225806451612903, 0.029411764705882353, 0.045454545454545456, 0.027985739750445632, 0.02127659574468085, 0.025, 0.027777777777777776, 0.01938793253347244]"
num_pos_list,"[3.0, 5.0, 3.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 3.0, 6.0, 4.0, 5.0, 3.0, 5.0, 7.0, 5.0, 1.0, 7.0, 1.0, 6.0, 3.0, 9.0, 3.0, 3.0, 1.0, 1.0, 2.0, 2.0, 2.0, 4.0, 3.0, 5.0, 1.0, 2.0, 1.0, 4.0, 1.0, 3.0, 1.0, 1.0, 9.0, 2.0, 1.0, 4.0, 1.0, 8.0, 10.0, 1.0, 2.0, 1.0, 6.0, 10.0, 6.0, 2.0, 10.0, 1.0, 1.0, 1.0, 5.0, 4.0, 2.0, 1.0, 1.0, 1.0, 6.0, 1.0, 3.0, 9.0, 3.0, 3.0, 1.0, 6.0, 2.0, 1.0, 6.0, 5.0, 3.0, 1.0, 1.0, 2.0, 3.0, 3.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 4.0, 5.0, 5.0, 1.0, 1.0, 3.0, 7.0, 1.0, 3.0, 1.0, 1.0, 3.0, 3.0, 6.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 4.0, 3.0, 3.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 5.0, 2.0, 1.0, 5.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 4.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0]","[26.0, 11.0, 19.0, 29.0, 16.0, 16.0, 11.0, 12.0, 13.0, 24.0, 24.0, 17.0, 19.0, 14.0, 10.0, 21.0, 10.0, 10.0, 18.0, 15.0, 18.0, 15.0]",[40.0],"[3.0, 5.0, 3.0, 1.0, 1.0, 2.0, 26.0, 1.0, 11.0, 1.0, 19.0, 1.0, 2.0, 3.0, 29.0, 6.0, 4.0, 5.0, 3.0, 16.0, 5.0, 7.0, 5.0, 16.0, 1.0, 7.0, 11.0, 1.0, 6.0, 3.0, 9.0, 3.0, 3.0, 1.0, 1.0, 2.0, 12.0, 2.0, 2.0, 4.0, 3.0, 5.0, 1.0, 2.0, 13.0, 40.0, 24.0, 1.0, 24.0, 4.0, 1.0, 3.0, 1.0, 1.0, 9.0, 2.0, 1.0, 17.0, 4.0, 1.0, 19.0, 14.0, 8.0, 10.0, 1.0, 2.0, 1.0, 21.0, 6.0, 10.0, 6.0, 2.0, 10.0, 18.0, 15.0, 1.0, 1.0, 1.0, 5.0, 4.0, 2.0, 1.0, 1.0, 18.0, 1.0, 6.0, 1.0, 3.0, 9.0, 15.0, 3.0, 3.0, 1.0, 6.0, 2.0, 1.0, 6.0, 5.0, 3.0, 1.0, 1.0, 2.0, 3.0, 3.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 4.0, 5.0, 5.0, 1.0, 1.0, 3.0, 7.0, 1.0, 3.0, 1.0, 1.0, 3.0, 3.0, 6.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 4.0, 3.0, 3.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 5.0, 2.0, 1.0, 5.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 4.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0]"
auc_list,"[0.6502057613168725, 0.3848101265822785, 0.20164609053497942, 0.6024096385542168, 0.6506024096385542, 0.18902439024390244, 0.14457831325301207, 0.3373493975903614, 0.5542168674698795, 0.5060975609756098, 0.6296296296296297, 0.7777777777777777, 0.378125, 0.6582278481012658, 0.5390946502057613, 0.7417721518987342, 0.8664192949907236, 0.6430379746835443, 0.6746987951807228, 0.7421150278293135, 0.6746987951807228, 0.5512820512820513, 0.6008230452674896, 0.6577777777777778, 0.8724279835390947, 0.16872427983539096, 0.42168674698795183, 0.5903614457831325, 0.646341463414634, 0.8780487804878049, 0.3780487804878049, 0.19374999999999998, 0.7983539094650206, 0.22531645569620254, 0.40963855421686746, 0.0853658536585366, 0.08433734939759041, 0.8125, 0.28915662650602414, 0.9753086419753086, 0.4819277108433735, 0.4698795180722891, 0.5851851851851851, 0.06097560975609756, 0.6265060240963856, 0.678125, 0.3493975903614458, 0.662828947368421, 0.6472972972972972, 0.3373493975903614, 0.11585365853658536, 0.15662650602409633, 0.9337606837606838, 0.7216216216216216, 0.655982905982906, 0.5060975609756098, 0.6891891891891893, 0.2168674698795181, 0.2530120481927711, 0.09638554216867468, 0.8987341772151899, 0.7875, 0.6646341463414633, 0.2650602409638554, 0.3855421686746988, 0.6265060240963856, 0.405982905982906, 0.4698795180722891, 0.46090534979423864, 0.6992592592592592, 0.9053497942386831, 0.5185185185185185, 0.10843373493975905, 0.45726495726495725, 0.06097560975609756, 0.5301204819277108, 0.8589743589743589, 0.6531645569620254, 0.8395061728395062, 0.3614457831325302, 0.06024096385542166, 0.9024390243902439, 0.7983539094650206, 0.786008230452675, 0.7804878048780487, 0.3493975903614458, 0.5180722891566265, 0.8170731707317074, 0.8554216867469879, 0.3373493975903614, 0.5301204819277108, 0.3493975903614458, 0.5792682926829268, 0.06024096385542166, 0.7999999999999999, 0.8202531645569621, 0.7417721518987342, 0.20481927710843373, 0.3975903614457831, 0.7201646090534979, 0.24675324675324675, 0.6746987951807228, 0.2098765432098766, 0.19277108433734935, 0.3493975903614458, 0.2510288065843621, 0.691358024691358, 0.7777777777777778, 0.6626506024096386, 0.7710843373493976, 0.1686746987951807, 0.20481927710843373, 0.42168674698795183, 0.5060240963855422, 0.6144578313253012, 0.9390243902439025, 0.5783132530120482, 0.6987951807228916, 0.4207317073170732, 0.6265060240963856, 0.3373493975903614, 0.03614457831325302, 0.584375, 0.24279835390946503, 0.30452674897119336, 0.24096385542168675, 0.5662650602409638, 0.38414634146341464, 0.0, 0.19277108433734935, 0.19277108433734935, 0.5662650602409638, 0.44810126582278487, 0.3902439024390244, 0.7951807228915663, 0.579746835443038, 0.2168674698795181, 0.8292682926829268, 0.3132530120481928, 0.19277108433734935, 0.6867469879518072, 0.5421686746987953, 0.48750000000000004, 0.6385542168674698, 0.7439024390243902, 0.8109756097560976, 0.6024096385542168, 0.6385542168674698, 0.6024096385542168, 0.7469879518072289, 0.3719512195121951, 0.4457831325301205, 0.5301204819277108, 0.5783132530120482, 0.09146341463414637]","[0.46021220159151194, 0.5392278953922789, 0.5902834008097166, 0.6156739811912225, 0.6654411764705882, 0.6461397058823529, 0.635118306351183, 0.724537037037037, 0.5395449620801733, 0.5444444444444444, 0.5875, 0.5504828797190517, 0.5165991902834007, 0.5387755102040817, 0.6472972972972972, 0.7981859410430839, 0.7216216216216216, 0.6891891891891893, 0.6565656565656566, 0.7101449275362319, 0.49831649831649827, 0.7797101449275363]",[0.5556818181818182],"[0.6502057613168725, 0.3848101265822785, 0.20164609053497942, 0.6024096385542168, 0.6506024096385542, 0.18902439024390244, 0.46021220159151194, 0.14457831325301207, 0.5392278953922789, 0.3373493975903614, 0.5902834008097166, 0.5542168674698795, 0.5060975609756098, 0.6296296296296297, 0.6156739811912225, 0.7777777777777777, 0.378125, 0.6582278481012658, 0.5390946502057613, 0.6654411764705882, 0.7417721518987342, 0.8664192949907236, 0.6430379746835443, 0.6461397058823529, 0.6746987951807228, 0.7421150278293135, 0.635118306351183, 0.6746987951807228, 0.5512820512820513, 0.6008230452674896, 0.6577777777777778, 0.8724279835390947, 0.16872427983539096, 0.42168674698795183, 0.5903614457831325, 0.646341463414634, 0.724537037037037, 0.8780487804878049, 0.3780487804878049, 0.19374999999999998, 0.7983539094650206, 0.22531645569620254, 0.40963855421686746, 0.0853658536585366, 0.5395449620801733, 0.5556818181818182, 0.5444444444444444, 0.08433734939759041, 0.5875, 0.8125, 0.28915662650602414, 0.9753086419753086, 0.4819277108433735, 0.4698795180722891, 0.5851851851851851, 0.06097560975609756, 0.6265060240963856, 0.5504828797190517, 0.678125, 0.3493975903614458, 0.5165991902834007, 0.5387755102040817, 0.662828947368421, 0.6472972972972972, 0.3373493975903614, 0.11585365853658536, 0.15662650602409633, 0.7981859410430839, 0.9337606837606838, 0.7216216216216216, 0.655982905982906, 0.5060975609756098, 0.6891891891891893, 0.6565656565656566, 0.7101449275362319, 0.2168674698795181, 0.2530120481927711, 0.09638554216867468, 0.8987341772151899, 0.7875, 0.6646341463414633, 0.2650602409638554, 0.3855421686746988, 0.49831649831649827, 0.6265060240963856, 0.405982905982906, 0.4698795180722891, 0.46090534979423864, 0.6992592592592592, 0.7797101449275363, 0.9053497942386831, 0.5185185185185185, 0.10843373493975905, 0.45726495726495725, 0.06097560975609756, 0.5301204819277108, 0.8589743589743589, 0.6531645569620254, 0.8395061728395062, 0.3614457831325302, 0.06024096385542166, 0.9024390243902439, 0.7983539094650206, 0.786008230452675, 0.7804878048780487, 0.3493975903614458, 0.5180722891566265, 0.8170731707317074, 0.8554216867469879, 0.3373493975903614, 0.5301204819277108, 0.3493975903614458, 0.5792682926829268, 0.06024096385542166, 0.7999999999999999, 0.8202531645569621, 0.7417721518987342, 0.20481927710843373, 0.3975903614457831, 0.7201646090534979, 0.24675324675324675, 0.6746987951807228, 0.2098765432098766, 0.19277108433734935, 0.3493975903614458, 0.2510288065843621, 0.691358024691358, 0.7777777777777778, 0.6626506024096386, 0.7710843373493976, 0.1686746987951807, 0.20481927710843373, 0.42168674698795183, 0.5060240963855422, 0.6144578313253012, 0.9390243902439025, 0.5783132530120482, 0.6987951807228916, 0.4207317073170732, 0.6265060240963856, 0.3373493975903614, 0.03614457831325302, 0.584375, 0.24279835390946503, 0.30452674897119336, 0.24096385542168675, 0.5662650602409638, 0.38414634146341464, 0.0, 0.19277108433734935, 0.19277108433734935, 0.5662650602409638, 0.44810126582278487, 0.3902439024390244, 0.7951807228915663, 0.579746835443038, 0.2168674698795181, 0.8292682926829268, 0.3132530120481928, 0.19277108433734935, 0.6867469879518072, 0.5421686746987953, 0.48750000000000004, 0.6385542168674698, 0.7439024390243902, 0.8109756097560976, 0.6024096385542168, 0.6385542168674698, 0.6024096385542168, 0.7469879518072289, 0.3719512195121951, 0.4457831325301205, 0.5301204819277108, 0.5783132530120482, 0.09146341463414637]"
m-aupr,0.05869937825281245,0.2897094614157829,0.6643122432226396,0.21998526729686962
m-auc,0.6633121455449371,0.6413410693301997,0.5556818181818182,0.7732580521392516
F-max,0.12289915966386554,0.3879742304939155,0.6611570247933884,0.3026565464895635
t_max,0.08,0.17,0.37,0.17
p_max,0.0780520346897932,0.2633624878522838,0.49382716049382713,0.24075471698113207
