,1-10,11-30,31-75,all
M-aupr,0.07671470402961532,0.3106457028207311,0.5585613470932785,0.13378694099121025
M-auc,0.5177874634642577,0.6600566273455951,0.6626838568576581,0.5440389926577819
aupr_list,"[0.02127659574468085, 0.2222222222222222, 0.1165028665028665, 0.010526315789473684, 0.07692310842465641, 0.1799012327935869, 0.00909090909090909, 0.15364344650058936, 0.0707196029776675, 0.021061869240895127, 0.03123486682808717, 0.02, 0.03458776892482575, 0.08499859273853082, 0.03333333333333333, 0.1340867992766727, 0.05827922077922078, 0.3537719298245614, 0.15966881227030358, 0.4099505988292753, 0.22285588638083076, 0.0125, 0.060142235785190644, 0.09502854502854503, 0.09521881026553924, 0.17337164750957854, 0.03333333333333333, 0.05510510648169108, 0.017241379310344827, 0.28403840888582155, 0.054325413124561774, 0.168592555105713, 0.022462149416728715, 0.30406793161739887, 0.017857142857142856, 0.2580758114938809, 0.04702380952380952, 0.018518518518518517, 0.1562902710367088, 0.016955114675671873, 0.30408620023691857, 0.010869565217391304, 0.03225806451612903, 0.05179157228733763, 0.07796733629507507, 0.0625, 0.020833333333333332, 0.12647192962726944, 0.02, 0.14001600640256104, 0.06746031746031746, 0.04729480773122486, 0.012345679012345678, 0.07889344262295082, 0.032958271805217584, 0.07142857142857142, 0.17932489451476794, 0.010752688172043012, 0.010869565217391304, 0.02127659574468085, 0.4207326924095556, 0.08274672187715665, 0.23829457364341083, 0.018518518518518517, 0.009174311926605505, 0.1588647670737223, 0.015384615384615385, 0.06204819277108434, 0.04001441961067051, 0.034650153978608565, 0.03571428571428571, 0.08391608391608392, 0.17668645270539868, 0.18636607137404143, 0.05094246031746032, 0.019230769230769232, 0.010638297872340425, 0.009708737864077669, 0.05299818544379685, 0.10565443297124331, 0.04, 0.019444444444444445, 0.09570508036025278, 0.19730022285749838, 0.05452875730811069, 0.028782894736842105, 0.01020408163265306, 0.013513513513513514, 0.4325563325563325, 0.02631578947368421, 0.015384615384615385, 0.01670843776106934, 0.010752688172043012, 0.13275199217897582, 0.010638297872340425, 0.03392167677881963, 0.03492537313432836, 0.1531188805312703, 0.013888888888888888, 0.03347930517896718, 0.033424908424908424, 0.04375, 0.011111111111111112, 0.042252906788403745, 0.021845694799658994, 0.19235228876789676, 0.038461538461538464, 0.010526315789473684, 0.04429708471317602, 0.13468056313415333, 0.018343653250773993, 0.14099103179635836, 0.0564228367528992, 0.01434406301662939, 0.06227081884976622, 0.008771929824561403, 0.041666666666666664, 0.010869565217391304, 0.038183694530443756, 0.022727272727272728, 0.022808572850566134, 0.009708737864077669, 0.025338608627685992, 0.028714859437751004, 0.04878741537952812, 0.045454545454545456, 0.012345679012345678, 0.02040816326530612, 0.04237400853799635, 0.38896260711909214, 0.008849557522123894, 0.021887803038534548, 0.2237787356321839, 0.01646825396825397, 0.030858676207513418, 0.01020408163265306, 0.035072951739618406, 0.17574452070948443, 0.20006337018623988, 0.010416666666666666, 0.008771929824561403, 0.009900990099009901, 0.0705826819417083, 0.013888888888888888, 0.01694915254237288, 0.013900062572628945, 0.125, 0.21174603174603174, 0.011111111111111112, 0.012987012987012988, 0.01639344262295082, 0.02820937820937821, 0.03935647685647686, 0.01020408163265306, 0.06666666666666667, 0.0136986301369863, 0.06388888888888888, 0.011111111111111112, 0.4968769765431255, 0.02040816326530612, 0.023333333333333334, 0.0710955710955711, 0.029411764705882353, 0.04808455433455433, 0.13814229249011858, 0.010638297872340425, 0.027083333333333334, 0.009900990099009901, 0.009523809523809525, 0.18132399817850636, 0.01020408163265306, 0.028800882054949642, 0.2662511508099743, 0.20155555555555557, 0.02857142857142857, 0.1184751633446901, 0.009615384615384616, 0.030303030303030304, 0.18818355412340376, 0.14380570409982174, 0.010752688172043012, 0.05128205128205128, 0.009174311926605505, 0.04163162321278385, 0.024390243902439025, 0.0136986301369863, 0.02040816326530612, 0.0264957264957265, 0.02307489451476793, 0.02277327935222672, 0.03485576923076923, 0.014285714285714285, 0.015625, 0.09090909090909091, 0.3696283391405342, 0.24716630721303617, 0.19040660474716203, 0.022727272727272728, 0.23937957038355093, 0.03400673400673401, 0.18361581920903955, 0.14540816326530612, 0.03571428571428571, 0.03525264394829612, 0.03568994750849035, 0.01098901098901099, 0.02040816326530612, 0.05101246105919003, 0.05, 0.014423076923076924, 0.04666666666666667, 0.03639344262295082, 0.16700279046169458, 0.010309278350515464, 0.15920260421167862, 0.010526315789473684, 0.12160930918041749, 0.010309278350515464, 0.07142857142857142]","[0.44621767120993566, 0.5314123319266568, 0.2189960396936235, 0.26245735883404603, 0.48035700767217965, 0.5118662887556519, 0.3198722619703023, 0.19909406685306044, 0.3230555862869484, 0.11729992981543082, 0.48021693005671234, 0.4037726454233479, 0.3576006232632738, 0.4492865856002382, 0.246242636927404, 0.2580758114938809, 0.4508437995761453, 0.2967343782550958, 0.44253731802452134, 0.25146796253711734, 0.23856491316270406, 0.41368640205374396, 0.2526253848521298, 0.35643873477658483, 0.32249887393967136, 0.2819147903602914, 0.1919071510523058, 0.2990547464231675, 0.292749698762149, 0.19730022285749838, 0.3258396065784537, 0.31000139787301617, 0.13275199217897582, 0.33803971204067945, 0.3410074648349409, 0.38896260711909214, 0.16978979274445502, 0.28451278534671376, 0.29398698298954057, 0.4968769765431255, 0.20408887741464415, 0.12910347798713512, 0.18066971448806882, 0.17863138355751113]","[0.3410351796168075, 0.6413032254799226, 0.5103770584806, 0.5921213615336495, 0.5213046134722922, 0.6483662919512302, 0.5919450215789774, 0.44266679721817176, 0.6303312444346257, 0.5057171896097746, 0.7319182800626663, 0.443415791478292, 0.6607954572956127]","[0.02127659574468085, 0.2222222222222222, 0.1165028665028665, 0.010526315789473684, 0.07692310842465641, 0.44621767120993566, 0.5314123319266568, 0.1799012327935869, 0.00909090909090909, 0.15364344650058936, 0.0707196029776675, 0.021061869240895127, 0.03123486682808717, 0.02, 0.2189960396936235, 0.3410351796168075, 0.03458776892482575, 0.08499859273853082, 0.26245735883404603, 0.03333333333333333, 0.48035700767217965, 0.1340867992766727, 0.05827922077922078, 0.3537719298245614, 0.6413032254799226, 0.15966881227030358, 0.5118662887556519, 0.4099505988292753, 0.22285588638083076, 0.3198722619703023, 0.0125, 0.060142235785190644, 0.09502854502854503, 0.09521881026553924, 0.5103770584806, 0.17337164750957854, 0.03333333333333333, 0.05510510648169108, 0.19909406685306044, 0.3230555862869484, 0.11729992981543082, 0.48021693005671234, 0.017241379310344827, 0.4037726454233479, 0.28403840888582155, 0.3576006232632738, 0.054325413124561774, 0.4492865856002382, 0.168592555105713, 0.246242636927404, 0.022462149416728715, 0.30406793161739887, 0.017857142857142856, 0.2580758114938809, 0.04702380952380952, 0.4508437995761453, 0.018518518518518517, 0.1562902710367088, 0.016955114675671873, 0.30408620023691857, 0.010869565217391304, 0.03225806451612903, 0.2967343782550958, 0.05179157228733763, 0.07796733629507507, 0.0625, 0.020833333333333332, 0.12647192962726944, 0.44253731802452134, 0.5921213615336495, 0.5213046134722922, 0.02, 0.25146796253711734, 0.14001600640256104, 0.06746031746031746, 0.04729480773122486, 0.012345679012345678, 0.23856491316270406, 0.07889344262295082, 0.032958271805217584, 0.07142857142857142, 0.17932489451476794, 0.010752688172043012, 0.010869565217391304, 0.02127659574468085, 0.41368640205374396, 0.4207326924095556, 0.08274672187715665, 0.2526253848521298, 0.23829457364341083, 0.018518518518518517, 0.009174311926605505, 0.1588647670737223, 0.015384615384615385, 0.35643873477658483, 0.06204819277108434, 0.6483662919512302, 0.32249887393967136, 0.2819147903602914, 0.04001441961067051, 0.1919071510523058, 0.2990547464231675, 0.034650153978608565, 0.03571428571428571, 0.08391608391608392, 0.5919450215789774, 0.292749698762149, 0.17668645270539868, 0.18636607137404143, 0.05094246031746032, 0.019230769230769232, 0.010638297872340425, 0.009708737864077669, 0.05299818544379685, 0.44266679721817176, 0.6303312444346257, 0.5057171896097746, 0.10565443297124331, 0.04, 0.019444444444444445, 0.09570508036025278, 0.19730022285749838, 0.05452875730811069, 0.028782894736842105, 0.01020408163265306, 0.013513513513513514, 0.4325563325563325, 0.02631578947368421, 0.015384615384615385, 0.7319182800626663, 0.01670843776106934, 0.3258396065784537, 0.31000139787301617, 0.010752688172043012, 0.13275199217897582, 0.443415791478292, 0.6607954572956127, 0.010638297872340425, 0.03392167677881963, 0.03492537313432836, 0.1531188805312703, 0.013888888888888888, 0.03347930517896718, 0.033424908424908424, 0.04375, 0.33803971204067945, 0.011111111111111112, 0.042252906788403745, 0.021845694799658994, 0.19235228876789676, 0.038461538461538464, 0.010526315789473684, 0.04429708471317602, 0.13468056313415333, 0.3410074648349409, 0.018343653250773993, 0.14099103179635836, 0.0564228367528992, 0.01434406301662939, 0.06227081884976622, 0.008771929824561403, 0.041666666666666664, 0.010869565217391304, 0.038183694530443756, 0.022727272727272728, 0.022808572850566134, 0.009708737864077669, 0.025338608627685992, 0.028714859437751004, 0.04878741537952812, 0.045454545454545456, 0.012345679012345678, 0.02040816326530612, 0.04237400853799635, 0.38896260711909214, 0.008849557522123894, 0.021887803038534548, 0.2237787356321839, 0.16978979274445502, 0.01646825396825397, 0.030858676207513418, 0.01020408163265306, 0.035072951739618406, 0.28451278534671376, 0.17574452070948443, 0.20006337018623988, 0.010416666666666666, 0.008771929824561403, 0.009900990099009901, 0.0705826819417083, 0.013888888888888888, 0.01694915254237288, 0.013900062572628945, 0.125, 0.21174603174603174, 0.011111111111111112, 0.012987012987012988, 0.01639344262295082, 0.02820937820937821, 0.03935647685647686, 0.01020408163265306, 0.06666666666666667, 0.0136986301369863, 0.29398698298954057, 0.06388888888888888, 0.011111111111111112, 0.4968769765431255, 0.20408887741464415, 0.02040816326530612, 0.023333333333333334, 0.0710955710955711, 0.029411764705882353, 0.04808455433455433, 0.13814229249011858, 0.010638297872340425, 0.027083333333333334, 0.009900990099009901, 0.009523809523809525, 0.18132399817850636, 0.01020408163265306, 0.12910347798713512, 0.028800882054949642, 0.2662511508099743, 0.20155555555555557, 0.02857142857142857, 0.1184751633446901, 0.009615384615384616, 0.030303030303030304, 0.18818355412340376, 0.14380570409982174, 0.010752688172043012, 0.05128205128205128, 0.009174311926605505, 0.04163162321278385, 0.024390243902439025, 0.0136986301369863, 0.02040816326530612, 0.0264957264957265, 0.02307489451476793, 0.02277327935222672, 0.03485576923076923, 0.014285714285714285, 0.015625, 0.09090909090909091, 0.3696283391405342, 0.24716630721303617, 0.19040660474716203, 0.18066971448806882, 0.022727272727272728, 0.23937957038355093, 0.03400673400673401, 0.17863138355751113, 0.18361581920903955, 0.14540816326530612, 0.03571428571428571, 0.03525264394829612, 0.03568994750849035, 0.01098901098901099, 0.02040816326530612, 0.05101246105919003, 0.05, 0.014423076923076924, 0.04666666666666667, 0.03639344262295082, 0.16700279046169458, 0.010309278350515464, 0.15920260421167862, 0.010526315789473684, 0.12160930918041749, 0.010309278350515464, 0.07142857142857142]"
num_pos_list,"[1.0, 2.0, 3.0, 1.0, 6.0, 7.0, 1.0, 7.0, 2.0, 2.0, 2.0, 1.0, 3.0, 3.0, 1.0, 4.0, 4.0, 5.0, 5.0, 8.0, 8.0, 1.0, 5.0, 4.0, 5.0, 3.0, 1.0, 5.0, 1.0, 7.0, 3.0, 6.0, 2.0, 9.0, 1.0, 10.0, 3.0, 1.0, 9.0, 2.0, 7.0, 1.0, 1.0, 5.0, 5.0, 1.0, 1.0, 5.0, 1.0, 6.0, 3.0, 7.0, 1.0, 2.0, 3.0, 1.0, 2.0, 1.0, 1.0, 1.0, 7.0, 3.0, 5.0, 1.0, 1.0, 3.0, 1.0, 2.0, 2.0, 3.0, 1.0, 2.0, 7.0, 7.0, 4.0, 1.0, 1.0, 1.0, 4.0, 8.0, 1.0, 2.0, 5.0, 10.0, 4.0, 2.0, 1.0, 1.0, 6.0, 1.0, 1.0, 2.0, 1.0, 10.0, 1.0, 2.0, 2.0, 8.0, 1.0, 4.0, 3.0, 2.0, 1.0, 5.0, 2.0, 5.0, 1.0, 1.0, 5.0, 6.0, 2.0, 4.0, 3.0, 2.0, 4.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0, 1.0, 4.0, 2.0, 6.0, 1.0, 1.0, 1.0, 7.0, 10.0, 1.0, 3.0, 8.0, 2.0, 2.0, 1.0, 2.0, 9.0, 7.0, 1.0, 1.0, 1.0, 5.0, 1.0, 1.0, 2.0, 1.0, 3.0, 1.0, 1.0, 1.0, 4.0, 4.0, 1.0, 1.0, 1.0, 2.0, 1.0, 10.0, 1.0, 2.0, 2.0, 1.0, 4.0, 3.0, 1.0, 2.0, 1.0, 1.0, 4.0, 1.0, 3.0, 8.0, 5.0, 1.0, 5.0, 1.0, 1.0, 7.0, 4.0, 1.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 4.0, 6.0, 5.0, 1.0, 7.0, 4.0, 2.0, 2.0, 1.0, 2.0, 5.0, 1.0, 1.0, 2.0, 1.0, 2.0, 2.0, 2.0, 6.0, 1.0, 5.0, 1.0, 6.0, 1.0, 1.0]","[26.0, 22.0, 15.0, 18.0, 26.0, 28.0, 22.0, 11.0, 17.0, 11.0, 27.0, 19.0, 12.0, 16.0, 12.0, 10.0, 26.0, 11.0, 26.0, 27.0, 12.0, 22.0, 20.0, 27.0, 25.0, 20.0, 12.0, 11.0, 13.0, 10.0, 22.0, 16.0, 10.0, 23.0, 12.0, 10.0, 13.0, 11.0, 13.0, 10.0, 11.0, 13.0, 11.0, 11.0]","[33.0, 59.0, 43.0, 49.0, 40.0, 38.0, 40.0, 36.0, 41.0, 34.0, 46.0, 32.0, 48.0]","[1.0, 2.0, 3.0, 1.0, 6.0, 26.0, 22.0, 7.0, 1.0, 7.0, 2.0, 2.0, 2.0, 1.0, 15.0, 33.0, 3.0, 3.0, 18.0, 1.0, 26.0, 4.0, 4.0, 5.0, 59.0, 5.0, 28.0, 8.0, 8.0, 22.0, 1.0, 5.0, 4.0, 5.0, 43.0, 3.0, 1.0, 5.0, 11.0, 17.0, 11.0, 27.0, 1.0, 19.0, 7.0, 12.0, 3.0, 16.0, 6.0, 12.0, 2.0, 9.0, 1.0, 10.0, 3.0, 26.0, 1.0, 9.0, 2.0, 7.0, 1.0, 1.0, 11.0, 5.0, 5.0, 1.0, 1.0, 5.0, 26.0, 49.0, 40.0, 1.0, 27.0, 6.0, 3.0, 7.0, 1.0, 12.0, 2.0, 3.0, 1.0, 2.0, 1.0, 1.0, 1.0, 22.0, 7.0, 3.0, 20.0, 5.0, 1.0, 1.0, 3.0, 1.0, 27.0, 2.0, 38.0, 25.0, 20.0, 2.0, 12.0, 11.0, 3.0, 1.0, 2.0, 40.0, 13.0, 7.0, 7.0, 4.0, 1.0, 1.0, 1.0, 4.0, 36.0, 41.0, 34.0, 8.0, 1.0, 2.0, 5.0, 10.0, 4.0, 2.0, 1.0, 1.0, 6.0, 1.0, 1.0, 46.0, 2.0, 22.0, 16.0, 1.0, 10.0, 32.0, 48.0, 1.0, 2.0, 2.0, 8.0, 1.0, 4.0, 3.0, 2.0, 23.0, 1.0, 5.0, 2.0, 5.0, 1.0, 1.0, 5.0, 6.0, 12.0, 2.0, 4.0, 3.0, 2.0, 4.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0, 1.0, 4.0, 2.0, 6.0, 1.0, 1.0, 1.0, 7.0, 10.0, 1.0, 3.0, 8.0, 13.0, 2.0, 2.0, 1.0, 2.0, 11.0, 9.0, 7.0, 1.0, 1.0, 1.0, 5.0, 1.0, 1.0, 2.0, 1.0, 3.0, 1.0, 1.0, 1.0, 4.0, 4.0, 1.0, 1.0, 1.0, 13.0, 2.0, 1.0, 10.0, 11.0, 1.0, 2.0, 2.0, 1.0, 4.0, 3.0, 1.0, 2.0, 1.0, 1.0, 4.0, 1.0, 13.0, 3.0, 8.0, 5.0, 1.0, 5.0, 1.0, 1.0, 7.0, 4.0, 1.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 4.0, 6.0, 5.0, 11.0, 1.0, 7.0, 4.0, 11.0, 2.0, 2.0, 1.0, 2.0, 5.0, 1.0, 1.0, 2.0, 1.0, 2.0, 2.0, 2.0, 6.0, 1.0, 5.0, 1.0, 6.0, 1.0, 1.0]"
auc_list,"[0.5929203539823009, 0.9196428571428572, 0.6966966966966968, 0.16814159292035402, 0.5725308641975309, 0.7316421895861149, 0.03539823008849563, 0.6248331108144192, 0.8169642857142858, 0.39285714285714285, 0.59375, 0.5663716814159292, 0.5195195195195195, 0.8108108108108109, 0.7433628318584071, 0.6886363636363637, 0.6045454545454545, 0.8972477064220185, 0.6293577981651376, 0.8714622641509434, 0.6002358490566038, 0.3008849557522124, 0.5504587155963303, 0.5204545454545454, 0.6091743119266054, 0.8498498498498498, 0.7433628318584071, 0.5431192660550459, 0.49557522123893805, 0.7970627503337784, 0.4144144144144144, 0.6635802469135803, 0.4330357142857143, 0.7756613756613756, 0.5132743362831859, 0.7471153846153846, 0.5345345345345345, 0.5309734513274336, 0.5947089947089947, 0.2455357142857143, 0.82109479305741, 0.19469026548672563, 0.7345132743362832, 0.4055045871559633, 0.6165137614678899, 0.8672566371681416, 0.584070796460177, 0.5908256880733944, 0.5663716814159292, 0.7700617283950617, 0.6096096096096095, 0.30173564753004006, 0.2920353982300885, 0.7053571428571428, 0.3903903903903904, 0.8849557522123894, 0.6473214285714286, 0.18584070796460173, 0.19469026548672563, 0.5929203539823009, 0.8718291054739653, 0.7237237237237237, 0.763302752293578, 0.5309734513274336, 0.04424778761061943, 0.7717717717717718, 0.4336283185840708, 0.5982142857142857, 0.6026785714285714, 0.45045045045045046, 0.7610619469026548, 0.8482142857142857, 0.595460614152203, 0.6929238985313751, 0.6, 0.5486725663716814, 0.17699115044247793, 0.09734513274336287, 0.5954545454545455, 0.6438679245283019, 0.7876106194690266, 0.34375, 0.7192660550458716, 0.6788461538461539, 0.6090909090909091, 0.5580357142857143, 0.1415929203539823, 0.35398230088495575, 0.8966049382716049, 0.6725663716814159, 0.4336283185840708, 0.2232142857142857, 0.18584070796460173, 0.5807692307692307, 0.17699115044247793, 0.6294642857142856, 0.6026785714285714, 0.5742924528301887, 0.37168141592920356, 0.3568181818181818, 0.4534534534534534, 0.5848214285714286, 0.21238938053097345, 0.4036697247706422, 0.4017857142857143, 0.7871559633027523, 0.7787610619469026, 0.16814159292035402, 0.39449541284403666, 0.5262345679012346, 0.29464285714285715, 0.5909090909090908, 0.6336336336336337, 0.1026785714285714, 0.6749999999999999, 0.0, 0.7964601769911505, 0.19469026548672563, 0.4285714285714286, 0.6194690265486726, 0.24924924924924924, 0.09734513274336287, 0.17272727272727273, 0.5089285714285714, 0.3271604938271605, 0.8141592920353982, 0.2920353982300885, 0.5752212389380531, 0.21495327102803738, 0.7682692307692308, 0.008849557522123908, 0.2282282282282282, 0.8066037735849058, 0.22321428571428575, 0.5892857142857143, 0.1415929203539823, 0.5535714285714286, 0.6835978835978835, 0.7850467289719627, 0.15929203539823011, 0.0, 0.11504424778761058, 0.5137614678899083, 0.37168141592920356, 0.48672566371681414, 0.0669642857142857, 0.9380530973451328, 0.7237237237237237, 0.21238938053097345, 0.327433628318584, 0.4690265486725663, 0.22954545454545455, 0.4068181818181818, 0.1415929203539823, 0.8761061946902655, 0.36283185840707965, 0.6473214285714286, 0.21238938053097345, 0.8432692307692309, 0.5752212389380531, 0.45535714285714285, 0.7901785714285715, 0.7079646017699115, 0.40227272727272734, 0.6936936936936936, 0.17699115044247793, 0.53125, 0.11504424778761058, 0.07964601769911506, 0.8181818181818182, 0.1415929203539823, 0.34534534534534533, 0.7653301886792453, 0.7137614678899082, 0.6991150442477876, 0.726605504587156, 0.08849557522123896, 0.7168141592920354, 0.5767690253671562, 0.8318181818181819, 0.18584070796460173, 0.6071428571428572, 0.04424778761061943, 0.7008928571428572, 0.6460176991150443, 0.36283185840707965, 0.5752212389380531, 0.5223214285714286, 0.4464285714285714, 0.3794642857142857, 0.6383928571428572, 0.3893805309734514, 0.4424778761061947, 0.911504424778761, 0.8863636363636362, 0.7083333333333334, 0.763302752293578, 0.6194690265486726, 0.8464619492656875, 0.3795454545454545, 0.7366071428571429, 0.7767857142857142, 0.7610619469026548, 0.6428571428571429, 0.29357798165137616, 0.20353982300884954, 0.5752212389380531, 0.48214285714285715, 0.831858407079646, 0.10714285714285715, 0.6116071428571428, 0.6294642857142857, 0.5817901234567902, 0.1504424778761062, 0.7908256880733945, 0.16814159292035402, 0.6759259259259259, 0.1504424778761062, 0.8849557522123894]","[0.763548951048951, 0.7761857707509882, 0.6626262626262627, 0.5376157407407407, 0.6215034965034965, 0.7080564784053155, 0.6847826086956521, 0.588702559576346, 0.7155852031534263, 0.562224183583407, 0.733929331630481, 0.773961218836565, 0.7107843137254902, 0.7538265306122449, 0.5645424836601308, 0.7471153846153846, 0.6245629370629371, 0.616946160635481, 0.763986013986014, 0.5070242656449553, 0.4199346405228758, 0.7223320158102766, 0.5957446808510639, 0.5810983397190292, 0.6786516853932585, 0.6132978723404255, 0.6495098039215687, 0.7855251544571933, 0.773038842345773, 0.6788461538461539, 0.6215415019762845, 0.7053571428571428, 0.5807692307692307, 0.6832298136645962, 0.7116013071895425, 0.7682692307692308, 0.5788271134805789, 0.6540158870255958, 0.7722772277227723, 0.8432692307692309, 0.528684907325684, 0.5361766945925361, 0.46954986760812, 0.6734333627537511]","[0.5065469509913955, 0.6570107858243451, 0.619718309859155, 0.6389324960753533, 0.6138513513513513, 0.8175207756232687, 0.7043918918918919, 0.5633903133903133, 0.7397260273972602, 0.6786764705882353, 0.7474424552429668, 0.6196646341463414, 0.7080176767676767]","[0.5929203539823009, 0.9196428571428572, 0.6966966966966968, 0.16814159292035402, 0.5725308641975309, 0.763548951048951, 0.7761857707509882, 0.7316421895861149, 0.03539823008849563, 0.6248331108144192, 0.8169642857142858, 0.39285714285714285, 0.59375, 0.5663716814159292, 0.6626262626262627, 0.5065469509913955, 0.5195195195195195, 0.8108108108108109, 0.5376157407407407, 0.7433628318584071, 0.6215034965034965, 0.6886363636363637, 0.6045454545454545, 0.8972477064220185, 0.6570107858243451, 0.6293577981651376, 0.7080564784053155, 0.8714622641509434, 0.6002358490566038, 0.6847826086956521, 0.3008849557522124, 0.5504587155963303, 0.5204545454545454, 0.6091743119266054, 0.619718309859155, 0.8498498498498498, 0.7433628318584071, 0.5431192660550459, 0.588702559576346, 0.7155852031534263, 0.562224183583407, 0.733929331630481, 0.49557522123893805, 0.773961218836565, 0.7970627503337784, 0.7107843137254902, 0.4144144144144144, 0.7538265306122449, 0.6635802469135803, 0.5645424836601308, 0.4330357142857143, 0.7756613756613756, 0.5132743362831859, 0.7471153846153846, 0.5345345345345345, 0.6245629370629371, 0.5309734513274336, 0.5947089947089947, 0.2455357142857143, 0.82109479305741, 0.19469026548672563, 0.7345132743362832, 0.616946160635481, 0.4055045871559633, 0.6165137614678899, 0.8672566371681416, 0.584070796460177, 0.5908256880733944, 0.763986013986014, 0.6389324960753533, 0.6138513513513513, 0.5663716814159292, 0.5070242656449553, 0.7700617283950617, 0.6096096096096095, 0.30173564753004006, 0.2920353982300885, 0.4199346405228758, 0.7053571428571428, 0.3903903903903904, 0.8849557522123894, 0.6473214285714286, 0.18584070796460173, 0.19469026548672563, 0.5929203539823009, 0.7223320158102766, 0.8718291054739653, 0.7237237237237237, 0.5957446808510639, 0.763302752293578, 0.5309734513274336, 0.04424778761061943, 0.7717717717717718, 0.4336283185840708, 0.5810983397190292, 0.5982142857142857, 0.8175207756232687, 0.6786516853932585, 0.6132978723404255, 0.6026785714285714, 0.6495098039215687, 0.7855251544571933, 0.45045045045045046, 0.7610619469026548, 0.8482142857142857, 0.7043918918918919, 0.773038842345773, 0.595460614152203, 0.6929238985313751, 0.6, 0.5486725663716814, 0.17699115044247793, 0.09734513274336287, 0.5954545454545455, 0.5633903133903133, 0.7397260273972602, 0.6786764705882353, 0.6438679245283019, 0.7876106194690266, 0.34375, 0.7192660550458716, 0.6788461538461539, 0.6090909090909091, 0.5580357142857143, 0.1415929203539823, 0.35398230088495575, 0.8966049382716049, 0.6725663716814159, 0.4336283185840708, 0.7474424552429668, 0.2232142857142857, 0.6215415019762845, 0.7053571428571428, 0.18584070796460173, 0.5807692307692307, 0.6196646341463414, 0.7080176767676767, 0.17699115044247793, 0.6294642857142856, 0.6026785714285714, 0.5742924528301887, 0.37168141592920356, 0.3568181818181818, 0.4534534534534534, 0.5848214285714286, 0.6832298136645962, 0.21238938053097345, 0.4036697247706422, 0.4017857142857143, 0.7871559633027523, 0.7787610619469026, 0.16814159292035402, 0.39449541284403666, 0.5262345679012346, 0.7116013071895425, 0.29464285714285715, 0.5909090909090908, 0.6336336336336337, 0.1026785714285714, 0.6749999999999999, 0.0, 0.7964601769911505, 0.19469026548672563, 0.4285714285714286, 0.6194690265486726, 0.24924924924924924, 0.09734513274336287, 0.17272727272727273, 0.5089285714285714, 0.3271604938271605, 0.8141592920353982, 0.2920353982300885, 0.5752212389380531, 0.21495327102803738, 0.7682692307692308, 0.008849557522123908, 0.2282282282282282, 0.8066037735849058, 0.5788271134805789, 0.22321428571428575, 0.5892857142857143, 0.1415929203539823, 0.5535714285714286, 0.6540158870255958, 0.6835978835978835, 0.7850467289719627, 0.15929203539823011, 0.0, 0.11504424778761058, 0.5137614678899083, 0.37168141592920356, 0.48672566371681414, 0.0669642857142857, 0.9380530973451328, 0.7237237237237237, 0.21238938053097345, 0.327433628318584, 0.4690265486725663, 0.22954545454545455, 0.4068181818181818, 0.1415929203539823, 0.8761061946902655, 0.36283185840707965, 0.7722772277227723, 0.6473214285714286, 0.21238938053097345, 0.8432692307692309, 0.528684907325684, 0.5752212389380531, 0.45535714285714285, 0.7901785714285715, 0.7079646017699115, 0.40227272727272734, 0.6936936936936936, 0.17699115044247793, 0.53125, 0.11504424778761058, 0.07964601769911506, 0.8181818181818182, 0.1415929203539823, 0.5361766945925361, 0.34534534534534533, 0.7653301886792453, 0.7137614678899082, 0.6991150442477876, 0.726605504587156, 0.08849557522123896, 0.7168141592920354, 0.5767690253671562, 0.8318181818181819, 0.18584070796460173, 0.6071428571428572, 0.04424778761061943, 0.7008928571428572, 0.6460176991150443, 0.36283185840707965, 0.5752212389380531, 0.5223214285714286, 0.4464285714285714, 0.3794642857142857, 0.6383928571428572, 0.3893805309734514, 0.4424778761061947, 0.911504424778761, 0.8863636363636362, 0.7083333333333334, 0.763302752293578, 0.46954986760812, 0.6194690265486726, 0.8464619492656875, 0.3795454545454545, 0.6734333627537511, 0.7366071428571429, 0.7767857142857142, 0.7610619469026548, 0.6428571428571429, 0.29357798165137616, 0.20353982300884954, 0.5752212389380531, 0.48214285714285715, 0.831858407079646, 0.10714285714285715, 0.6116071428571428, 0.6294642857142857, 0.5817901234567902, 0.1504424778761062, 0.7908256880733945, 0.16814159292035402, 0.6759259259259259, 0.1504424778761062, 0.8849557522123894]"
m-aupr,0.04919773720773443,0.2457799289033511,0.5012970860180852,0.25447373072804363
m-auc,0.6501611921955301,0.6636585720425758,0.6518571566291609,0.8041959587831516
F-max,0.11047928513403737,0.33290099437959364,0.5574250182882223,0.3574081716879901
t_max,0.06,0.13,0.24,0.14
p_max,0.07517965726920951,0.24475524475524477,0.4601449275362319,0.2921727395411606
