,1-10,11-30,31-75,all
M-aupr,0.06494200969150943,0.27788408120969615,0.6314188462166818,0.10417714918767824
M-auc,0.390397615437844,0.5532393705195976,0.6845351887290567,0.4179943465276581
aupr_list,"[0.046825396825396826, 0.07889344262295082, 0.21774313608725632, 0.16893084768710465, 0.05290026151045571, 0.011235955056179775, 0.0221850613154961, 0.010752688172043012, 0.07349393410094286, 0.01694915254237288, 0.21428571428571427, 0.010416666666666666, 0.022574637394886844, 0.11974329434006853, 0.06098915954068651, 0.08624201366136851, 0.0580485218447666, 0.01694915254237288, 0.050061018580587494, 0.010752688172043012, 0.03323564575860963, 0.011111111111111112, 0.010638297872340425, 0.08978226332320409, 0.012048192771084338, 0.09669376926887814, 0.05606758832565284, 0.2975602698976127, 0.030562303021802285, 0.5583333333333333, 0.012987012987012988, 0.13686478183194556, 0.023255813953488372, 0.03951755788080776, 0.42337164750957856, 0.0853362749782187, 0.013333333333333334, 0.164555904885617, 0.010869565217391304, 0.017591813849172973, 0.04330242889564924, 0.022727272727272728, 0.020114942528735632, 0.135573564921391, 0.011904761904761904, 0.015151515151515152, 0.03183705612829324, 0.023560973068708652, 0.13215736763110716, 0.01694915254237288, 0.014285714285714285, 0.012987012987012988, 0.019457013574660634, 0.036287323787323786, 0.19127492877492877, 0.16007099043716524, 0.04018882695754269, 0.1356382978723404, 0.012658227848101266, 0.018518518518518517, 0.36589281589281586, 0.010309278350515464, 0.043478260869565216, 0.25252659574468084, 0.2938264283091869, 0.03979511426319937, 0.015625, 0.01020408163265306, 0.020620581304006284, 0.010752688172043012, 0.014492753623188406, 0.03214285714285714, 0.014492753623188406, 0.010309278350515464, 0.010309278350515464, 0.023872273998856275, 0.024145658263305322, 0.012048192771084338, 0.011363636363636364, 0.13080808080808082, 0.05, 0.06898506926032763, 0.2892389918535301, 0.030641816279861817, 0.01020408163265306, 0.0191857323004864, 0.013513513513513514, 0.01020408163265306, 0.017794941693169773, 0.019457013574660634, 0.0625, 0.042937305855238986, 0.16666666666666666, 0.07375586502944993, 0.02495819853876631, 0.01863711001642036, 0.062048963186261075, 0.02578981302385558, 0.01282051282051282, 0.03333333333333333, 0.01897163120567376, 0.014285714285714285, 0.023462368061671197, 0.05399712332644142, 0.01020408163265306, 0.016551383399209488, 0.06255496244110496, 0.03157991405914426, 0.01020408163265306, 0.14612573099415205, 0.01020408163265306, 0.019569288389513106, 0.3914826480615954, 0.09120300075907137, 0.020673486786018755, 0.011494252873563218, 0.022399203583872575, 0.02127659574468085, 0.027509926262053317, 0.07164199012938507, 0.09090909090909091, 0.011111111111111112, 0.051844548314078254, 0.014492753623188406, 0.1111111111111111, 0.010752688172043012, 0.05263157894736842, 0.20535444947209652, 0.03125, 0.08081951376906686, 0.012345679012345678, 0.014285714285714285, 0.040625, 0.31813793636082793, 0.020326864147088865, 0.010752688172043012, 0.023255813953488372, 0.08333333333333333, 0.0741357612206259, 0.05576382380506092, 0.019256756756756758, 0.15531157439052176, 0.1827956989247312, 0.039194139194139194, 0.03704819277108434, 0.01639344262295082, 0.042444821731748725, 0.02976190476190476, 0.014705882352941176, 0.011235955056179775, 0.01020408163265306, 0.02127659574468085, 0.034482758620689655, 0.030303030303030304]","[0.33174588515850645, 0.22789539876115394, 0.1134013608935239, 0.3093834445282544, 0.5226926246275054, 0.13194006652088575, 0.20995768229047385, 0.27588727342453356, 0.37446811392694634, 0.1805091244391705, 0.31715282415634727, 0.09491998709116153, 0.16007099043716524, 0.2543681278327966, 0.5056619591276491, 0.3261456710223365, 0.0786512322545811, 0.13007501295477955, 0.5221445190928643, 0.21688826184610596, 0.3996248188347443, 0.3193383809390439, 0.46885790245449693, 0.34964819349281245, 0.15867904249992323, 0.24487821284433847]","[0.7341217269432665, 0.5349645743043172, 0.6251702374024617]","[0.046825396825396826, 0.07889344262295082, 0.21774313608725632, 0.16893084768710465, 0.05290026151045571, 0.011235955056179775, 0.0221850613154961, 0.010752688172043012, 0.07349393410094286, 0.33174588515850645, 0.01694915254237288, 0.21428571428571427, 0.22789539876115394, 0.1134013608935239, 0.010416666666666666, 0.022574637394886844, 0.7341217269432665, 0.11974329434006853, 0.3093834445282544, 0.06098915954068651, 0.08624201366136851, 0.0580485218447666, 0.01694915254237288, 0.050061018580587494, 0.010752688172043012, 0.03323564575860963, 0.5226926246275054, 0.011111111111111112, 0.010638297872340425, 0.13194006652088575, 0.08978226332320409, 0.20995768229047385, 0.012048192771084338, 0.09669376926887814, 0.05606758832565284, 0.27588727342453356, 0.2975602698976127, 0.030562303021802285, 0.5583333333333333, 0.012987012987012988, 0.13686478183194556, 0.023255813953488372, 0.03951755788080776, 0.42337164750957856, 0.37446811392694634, 0.0853362749782187, 0.013333333333333334, 0.164555904885617, 0.010869565217391304, 0.017591813849172973, 0.04330242889564924, 0.022727272727272728, 0.020114942528735632, 0.135573564921391, 0.1805091244391705, 0.5349645743043172, 0.31715282415634727, 0.011904761904761904, 0.09491998709116153, 0.015151515151515152, 0.03183705612829324, 0.023560973068708652, 0.13215736763110716, 0.01694915254237288, 0.014285714285714285, 0.012987012987012988, 0.019457013574660634, 0.036287323787323786, 0.19127492877492877, 0.16007099043716524, 0.04018882695754269, 0.1356382978723404, 0.2543681278327966, 0.5056619591276491, 0.3261456710223365, 0.0786512322545811, 0.012658227848101266, 0.018518518518518517, 0.13007501295477955, 0.36589281589281586, 0.010309278350515464, 0.043478260869565216, 0.5221445190928643, 0.25252659574468084, 0.2938264283091869, 0.03979511426319937, 0.015625, 0.01020408163265306, 0.020620581304006284, 0.010752688172043012, 0.014492753623188406, 0.21688826184610596, 0.3996248188347443, 0.3193383809390439, 0.03214285714285714, 0.014492753623188406, 0.010309278350515464, 0.010309278350515464, 0.023872273998856275, 0.024145658263305322, 0.012048192771084338, 0.011363636363636364, 0.13080808080808082, 0.46885790245449693, 0.05, 0.06898506926032763, 0.2892389918535301, 0.030641816279861817, 0.34964819349281245, 0.6251702374024617, 0.01020408163265306, 0.0191857323004864, 0.013513513513513514, 0.01020408163265306, 0.15867904249992323, 0.017794941693169773, 0.019457013574660634, 0.0625, 0.042937305855238986, 0.16666666666666666, 0.07375586502944993, 0.02495819853876631, 0.01863711001642036, 0.062048963186261075, 0.02578981302385558, 0.01282051282051282, 0.03333333333333333, 0.01897163120567376, 0.014285714285714285, 0.023462368061671197, 0.05399712332644142, 0.01020408163265306, 0.016551383399209488, 0.06255496244110496, 0.03157991405914426, 0.24487821284433847, 0.01020408163265306, 0.14612573099415205, 0.01020408163265306, 0.019569288389513106, 0.3914826480615954, 0.09120300075907137, 0.020673486786018755, 0.011494252873563218, 0.022399203583872575, 0.02127659574468085, 0.027509926262053317, 0.07164199012938507, 0.09090909090909091, 0.011111111111111112, 0.051844548314078254, 0.014492753623188406, 0.1111111111111111, 0.010752688172043012, 0.05263157894736842, 0.20535444947209652, 0.03125, 0.08081951376906686, 0.012345679012345678, 0.014285714285714285, 0.040625, 0.31813793636082793, 0.020326864147088865, 0.010752688172043012, 0.023255813953488372, 0.08333333333333333, 0.0741357612206259, 0.05576382380506092, 0.019256756756756758, 0.15531157439052176, 0.1827956989247312, 0.039194139194139194, 0.03704819277108434, 0.01639344262295082, 0.042444821731748725, 0.02976190476190476, 0.014705882352941176, 0.011235955056179775, 0.01020408163265306, 0.02127659574468085, 0.034482758620689655, 0.030303030303030304]"
num_pos_list,"[2.0, 2.0, 8.0, 8.0, 6.0, 1.0, 2.0, 1.0, 6.0, 1.0, 2.0, 1.0, 3.0, 4.0, 6.0, 6.0, 8.0, 1.0, 3.0, 1.0, 3.0, 1.0, 1.0, 7.0, 1.0, 6.0, 2.0, 9.0, 4.0, 5.0, 1.0, 6.0, 1.0, 4.0, 3.0, 9.0, 1.0, 9.0, 1.0, 2.0, 3.0, 1.0, 2.0, 6.0, 1.0, 1.0, 3.0, 3.0, 7.0, 1.0, 1.0, 1.0, 2.0, 4.0, 4.0, 10.0, 5.0, 2.0, 1.0, 1.0, 9.0, 1.0, 1.0, 8.0, 5.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 3.0, 3.0, 1.0, 1.0, 3.0, 1.0, 9.0, 9.0, 4.0, 1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 3.0, 1.0, 6.0, 3.0, 2.0, 4.0, 2.0, 1.0, 1.0, 2.0, 1.0, 3.0, 5.0, 1.0, 2.0, 7.0, 4.0, 1.0, 5.0, 1.0, 2.0, 6.0, 5.0, 2.0, 1.0, 2.0, 1.0, 3.0, 3.0, 1.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 5.0, 1.0, 5.0, 1.0, 1.0, 2.0, 4.0, 2.0, 1.0, 1.0, 1.0, 4.0, 2.0, 2.0, 5.0, 2.0, 2.0, 2.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[22.0, 11.0, 11.0, 23.0, 25.0, 11.0, 13.0, 12.0, 18.0, 14.0, 25.0, 11.0, 10.0, 23.0, 20.0, 19.0, 11.0, 11.0, 23.0, 15.0, 22.0, 24.0, 24.0, 24.0, 17.0, 13.0]","[47.0, 39.0, 32.0]","[2.0, 2.0, 8.0, 8.0, 6.0, 1.0, 2.0, 1.0, 6.0, 22.0, 1.0, 2.0, 11.0, 11.0, 1.0, 3.0, 47.0, 4.0, 23.0, 6.0, 6.0, 8.0, 1.0, 3.0, 1.0, 3.0, 25.0, 1.0, 1.0, 11.0, 7.0, 13.0, 1.0, 6.0, 2.0, 12.0, 9.0, 4.0, 5.0, 1.0, 6.0, 1.0, 4.0, 3.0, 18.0, 9.0, 1.0, 9.0, 1.0, 2.0, 3.0, 1.0, 2.0, 6.0, 14.0, 39.0, 25.0, 1.0, 11.0, 1.0, 3.0, 3.0, 7.0, 1.0, 1.0, 1.0, 2.0, 4.0, 4.0, 10.0, 5.0, 2.0, 23.0, 20.0, 19.0, 11.0, 1.0, 1.0, 11.0, 9.0, 1.0, 1.0, 23.0, 8.0, 5.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 15.0, 22.0, 24.0, 2.0, 1.0, 1.0, 1.0, 3.0, 3.0, 1.0, 1.0, 3.0, 24.0, 1.0, 9.0, 9.0, 4.0, 24.0, 32.0, 1.0, 2.0, 1.0, 1.0, 17.0, 2.0, 2.0, 1.0, 3.0, 1.0, 6.0, 3.0, 2.0, 4.0, 2.0, 1.0, 1.0, 2.0, 1.0, 3.0, 5.0, 1.0, 2.0, 7.0, 4.0, 13.0, 1.0, 5.0, 1.0, 2.0, 6.0, 5.0, 2.0, 1.0, 2.0, 1.0, 3.0, 3.0, 1.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 5.0, 1.0, 5.0, 1.0, 1.0, 2.0, 4.0, 2.0, 1.0, 1.0, 1.0, 4.0, 2.0, 2.0, 5.0, 2.0, 2.0, 2.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
auc_list,"[0.47395833333333337, 0.65625, 0.6652777777777779, 0.6625, 0.3369565217391305, 0.09278350515463918, 0.31770833333333337, 0.05154639175257736, 0.43659420289855067, 0.4020618556701031, 0.890625, 0.020618556701030966, 0.11228070175438598, 0.5319148936170213, 0.44021739130434784, 0.572463768115942, 0.2375, 0.4020618556701031, 0.3929824561403509, 0.05154639175257736, 0.4140350877192982, 0.08247422680412375, 0.04123711340206182, 0.5714285714285714, 0.15463917525773196, 0.6177536231884058, 0.7447916666666667, 0.7290886392009988, 0.17819148936170215, 0.9483870967741935, 0.21649484536082475, 0.4764492753623188, 0.5670103092783505, 0.3776595744680851, 0.9017543859649123, 0.4219725343320849, 0.23711340206185572, 0.5942571785268413, 0.061855670103092786, 0.13541666666666669, 0.5508771929824562, 0.5567010309278351, 0.2604166666666667, 0.4692028985507246, 0.14432989690721654, 0.3298969072164949, 0.35789473684210527, 0.14385964912280702, 0.521193092621664, 0.4020618556701031, 0.28865979381443296, 0.21649484536082475, 0.234375, 0.31648936170212766, 0.699468085106383, 0.48409090909090907, 0.2645161290322581, 0.5052083333333333, 0.19587628865979378, 0.45360824742268047, 0.8014981273408239, 0.010309278350515427, 0.7731958762886598, 0.7875, 0.7612903225806452, 0.6302083333333334, 0.35051546391752575, 0.0, 0.2708333333333333, 0.05154639175257736, 0.2989690721649485, 0.5052083333333333, 0.2989690721649485, 0.010309278350515427, 0.010309278350515427, 0.16140350877192985, 0.16491228070175437, 0.15463917525773196, 0.1030927835051546, 0.42105263157894735, 0.8041237113402062, 0.2983770287141073, 0.8389513108614233, 0.2047872340425532, 0.0, 0.22395833333333331, 0.24742268041237114, 0.0, 0.16145833333333337, 0.234375, 0.845360824742268, 0.3017543859649123, 0.9484536082474226, 0.4601449275362318, 0.2105263157894737, 0.19791666666666669, 0.4654255319148936, 0.35416666666666663, 0.20618556701030932, 0.7010309278350515, 0.21354166666666663, 0.28865979381443296, 0.16140350877192983, 0.43870967741935485, 0.0, 0.078125, 0.37676609105180536, 0.2047872340425532, 0.0, 0.6451612903225805, 0.0, 0.23958333333333331, 0.7246376811594202, 0.5720430107526882, 0.2708333333333333, 0.11340206185567014, 0.3333333333333333, 0.5257731958762887, 0.2807017543859649, 0.5649122807017544, 0.8969072164948454, 0.08247422680412375, 0.3397849462365592, 0.2989690721649485, 0.9175257731958762, 0.05154639175257736, 0.8144329896907216, 0.7419354838709677, 0.6804123711340206, 0.6150537634408602, 0.17525773195876293, 0.28865979381443296, 0.640625, 0.6542553191489362, 0.265625, 0.05154639175257736, 0.5670103092783505, 0.8865979381443299, 0.46542553191489366, 0.453125, 0.21354166666666669, 0.589247311827957, 0.6770833333333333, 0.5677083333333333, 0.4791666666666667, 0.38144329896907214, 0.59375, 0.5052083333333334, 0.30927835051546393, 0.09278350515463918, 0.0, 0.5257731958762887, 0.711340206185567, 0.6701030927835052]","[0.6010765550239234, 0.599791013584117, 0.47962382445141066, 0.48985507246376814, 0.7194520547945206, 0.37513061650992685, 0.5800904977375566, 0.5872093023255813, 0.6326388888888889, 0.4736394557823129, 0.48986301369863017, 0.34169278996865204, 0.48409090909090907, 0.5037681159420289, 0.708974358974359, 0.6322451698867422, 0.26227795193312436, 0.5736677115987461, 0.7947826086956522, 0.5919678714859438, 0.6566985645933014, 0.5315315315315315, 0.7460585585585586, 0.4926801801801802, 0.39288307915758897, 0.6425339366515836]","[0.6904463913224864, 0.6032159930465015, 0.7599431818181819]","[0.47395833333333337, 0.65625, 0.6652777777777779, 0.6625, 0.3369565217391305, 0.09278350515463918, 0.31770833333333337, 0.05154639175257736, 0.43659420289855067, 0.6010765550239234, 0.4020618556701031, 0.890625, 0.599791013584117, 0.47962382445141066, 0.020618556701030966, 0.11228070175438598, 0.6904463913224864, 0.5319148936170213, 0.48985507246376814, 0.44021739130434784, 0.572463768115942, 0.2375, 0.4020618556701031, 0.3929824561403509, 0.05154639175257736, 0.4140350877192982, 0.7194520547945206, 0.08247422680412375, 0.04123711340206182, 0.37513061650992685, 0.5714285714285714, 0.5800904977375566, 0.15463917525773196, 0.6177536231884058, 0.7447916666666667, 0.5872093023255813, 0.7290886392009988, 0.17819148936170215, 0.9483870967741935, 0.21649484536082475, 0.4764492753623188, 0.5670103092783505, 0.3776595744680851, 0.9017543859649123, 0.6326388888888889, 0.4219725343320849, 0.23711340206185572, 0.5942571785268413, 0.061855670103092786, 0.13541666666666669, 0.5508771929824562, 0.5567010309278351, 0.2604166666666667, 0.4692028985507246, 0.4736394557823129, 0.6032159930465015, 0.48986301369863017, 0.14432989690721654, 0.34169278996865204, 0.3298969072164949, 0.35789473684210527, 0.14385964912280702, 0.521193092621664, 0.4020618556701031, 0.28865979381443296, 0.21649484536082475, 0.234375, 0.31648936170212766, 0.699468085106383, 0.48409090909090907, 0.2645161290322581, 0.5052083333333333, 0.5037681159420289, 0.708974358974359, 0.6322451698867422, 0.26227795193312436, 0.19587628865979378, 0.45360824742268047, 0.5736677115987461, 0.8014981273408239, 0.010309278350515427, 0.7731958762886598, 0.7947826086956522, 0.7875, 0.7612903225806452, 0.6302083333333334, 0.35051546391752575, 0.0, 0.2708333333333333, 0.05154639175257736, 0.2989690721649485, 0.5919678714859438, 0.6566985645933014, 0.5315315315315315, 0.5052083333333333, 0.2989690721649485, 0.010309278350515427, 0.010309278350515427, 0.16140350877192985, 0.16491228070175437, 0.15463917525773196, 0.1030927835051546, 0.42105263157894735, 0.7460585585585586, 0.8041237113402062, 0.2983770287141073, 0.8389513108614233, 0.2047872340425532, 0.4926801801801802, 0.7599431818181819, 0.0, 0.22395833333333331, 0.24742268041237114, 0.0, 0.39288307915758897, 0.16145833333333337, 0.234375, 0.845360824742268, 0.3017543859649123, 0.9484536082474226, 0.4601449275362318, 0.2105263157894737, 0.19791666666666669, 0.4654255319148936, 0.35416666666666663, 0.20618556701030932, 0.7010309278350515, 0.21354166666666663, 0.28865979381443296, 0.16140350877192983, 0.43870967741935485, 0.0, 0.078125, 0.37676609105180536, 0.2047872340425532, 0.6425339366515836, 0.0, 0.6451612903225805, 0.0, 0.23958333333333331, 0.7246376811594202, 0.5720430107526882, 0.2708333333333333, 0.11340206185567014, 0.3333333333333333, 0.5257731958762887, 0.2807017543859649, 0.5649122807017544, 0.8969072164948454, 0.08247422680412375, 0.3397849462365592, 0.2989690721649485, 0.9175257731958762, 0.05154639175257736, 0.8144329896907216, 0.7419354838709677, 0.6804123711340206, 0.6150537634408602, 0.17525773195876293, 0.28865979381443296, 0.640625, 0.6542553191489362, 0.265625, 0.05154639175257736, 0.5670103092783505, 0.8865979381443299, 0.46542553191489366, 0.453125, 0.21354166666666669, 0.589247311827957, 0.6770833333333333, 0.5677083333333333, 0.4791666666666667, 0.38144329896907214, 0.59375, 0.5052083333333334, 0.30927835051546393, 0.09278350515463918, 0.0, 0.5257731958762887, 0.711340206185567, 0.6701030927835052]"
m-aupr,0.04078694667986294,0.24446204697729088,0.6012949616857131,0.2227479720213159
m-auc,0.5769826354223269,0.599266196041343,0.6640504622496147,0.7447612118768325
F-max,0.08739495798319327,0.3204369594902139,0.6182965299684543,0.2830957230142567
t_max,0.07,0.09,0.27,0.12
p_max,0.057692307692307696,0.2017191977077364,0.49246231155778897,0.21351766513056836
