,cytokine,cell,Cell ontology Label
0,IL2,CL_0000084,T cell
1,IFNG,CL_0000235,macrophage
2,CXCL8,CL_0000775,neutrophil
3,IL2,CL_0000623,natural killer cell
4,IL2,CL_0000542,lymphocyte
5,CSF3,CL_0000775,neutrophil
6,IFNG,CL_0000084,T cell
7,IL4,CL_0000236,B cell
8,IL5,CL_0000771,eosinophil
9,TNF,CL_0000115,endothelial cell
10,FGF2,CL_0000115,endothelial cell
11,TGFB1,CL_0000057,fibroblast
12,TNF,CL_0000775,neutrophil
13,IFNG,CL_0000576,monocyte
14,CSF1,CL_0000235,macrophage
15,IL12,CL_0000084,T cell
16,TNF,CL_0000576,monocyte
17,CSF3,CL_0000034,stem cell
18,CSF2,CL_0000775,neutrophil
19,TNF,CL_0000235,macrophage
20,TGFB,CL_0000057,fibroblast
21,IL10,CL_0000084,T cell
22,CCL2,CL_0000576,monocyte
23,IL2,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
24,IL2,CL_0000824,mature natural killer cell
25,IL7,CL_0000084,T cell
26,CCL2,CL_0000235,macrophage
27,IL12,CL_0000545,T-helper 1 cell
28,CCL11,CL_0000771,eosinophil
29,TNF,CL_0000182,hepatocyte
30,CSF2,CL_0000235,macrophage
31,TNF,CL_0000084,T cell
32,IL2,CL_0000236,B cell
33,CD40LG,CL_0000236,B cell
34,IL4,CL_0000084,T cell
35,FGF2,CL_0000540,neuron
36,IL2,CL_0000624,"CD4-positive, alpha-beta T cell"
37,IL10,CL_0000235,macrophage
38,IL15,CL_0000623,natural killer cell
39,IFNG,CL_0000625,"CD8-positive, alpha-beta T cell"
40,IL2,CL_0000625,"CD8-positive, alpha-beta T cell"
41,IL1B,CL_0000138,chondrocyte
42,IL12,CL_0000623,natural killer cell
43,IL4,CL_0000235,macrophage
44,IL6,CL_0000236,B cell
45,IL15,CL_0000084,T cell
46,CSF1,CL_0000092,osteoclast
47,TNF,CL_0000738,leukocyte
48,CSF2,CL_0000576,monocyte
49,FGF2,CL_0000057,fibroblast
50,CSF3,CL_0000037,hematopoietic stem cell
51,IL4,CL_0000546,T-helper 2 cell
52,IL10,CL_0000576,monocyte
53,TNF,CL_0000057,fibroblast
54,IL1,CL_0000084,T cell
55,CSF3,CL_0000094,granulocyte
56,CSF2,CL_0000084,T cell
57,HGF,CL_0000066,epithelial cell
58,TGFB,CL_0000084,T cell
59,IL6,CL_0000084,T cell
60,IFNG,CL_0000312,keratinocyte
61,CSF3,CL_0002246,peripheral blood stem cell
62,IL3,CL_0000767,basophil
63,CD40LG,CL_0000084,T cell
64,THPO,CL_0000233,platelet
65,IFNG,CL_0000624,"CD4-positive, alpha-beta T cell"
66,TNF,CL_0000136,fat cell
67,IL15,CL_0000625,"CD8-positive, alpha-beta T cell"
68,PF4,CL_0000233,platelet
69,IFNA,CL_0000084,T cell
70,IL1,CL_0000057,fibroblast
71,IFNA,CL_0000623,natural killer cell
72,TNF,CL_0000540,neuron
73,IFNG,CL_0000542,lymphocyte
74,IL1B,CL_0000057,fibroblast
75,IL4,CL_0000576,monocyte
76,EPO,CL_0000595,enucleate erythrocyte
77,CSF2,CL_0000451,dendritic cell
78,IL17,CL_0000775,neutrophil
79,IFNG,CL_0000623,natural killer cell
80,EPO,CL_0000038,erythroid progenitor cell
81,TNFSF9,CL_0000084,T cell
82,IL6,CL_0000235,macrophage
83,TNF,CL_0000092,osteoclast
84,CSF3,CL_0000738,leukocyte
85,IL21,CL_0000236,B cell
86,IL6,CL_0000775,neutrophil
87,IL2,CL_0000910,cytotoxic T cell
88,TNFSF13B,CL_0000236,B cell
89,IL6,CL_0000057,fibroblast
90,TGFB1,CL_0000066,epithelial cell
91,TGFB1,CL_0000235,macrophage
92,IFNG,CL_0000775,neutrophil
