EntrezGene Symbol (Human),UniProtDB ID (Human)
TNFSF13B,TN13B_HUMAN
CCL1 ,CCL1_HUMAN
IL15 ,IL15_HUMAN
IL16 ,IL16_HUMAN
IL17A ,IL17_HUMAN
IL17B ,IL17B_HUMAN
IL17C ,IL17C_HUMAN
IL17D ,IL17D_HUMAN
IL17F ,IL17F_HUMAN
IL18 ,IL18_HUMAN
IL19 ,IL19_HUMAN
CCL11 ,CCL11_HUMAN
IL2 ,IL2_HUMAN
IL20 ,IL20_HUMAN
IL21 ,IL21_HUMAN
IL22 ,IL22_HUMAN
IL23A ,IL23A_HUMAN
IL24 ,IL24_HUMAN
IL25 ,IL25_HUMAN
IL26 ,IL26_HUMAN
CCL12 ,Q6I9T4_HUMAN
IL27 ,IL27A_HUMAN
EBI3 ,IL27B_HUMAN
IFNL2 ,IFNL2_HUMAN
IFNL3 ,IFNL3_HUMAN
IFNL1 ,IFNL1_HUMAN
IL3 ,IL3_HUMAN
IL31 ,IL31_HUMAN
IL32 ,IL32_HUMAN
IL33 ,IL33_HUMAN
IL34 ,IL34_HUMAN
CCL13 ,CCL13_HUMAN
IL4 ,IL4_HUMAN
IL5 ,IL5_HUMAN
IL6 ,IL6_HUMAN
IL7 ,IL7_HUMAN
IL9 ,IL9_HUMAN
LIF ,LIF_HUMAN
LECT1 ,LECT1_HUMAN
LECT2 ,LECT2_HUMAN
CCL14 ,CCL14_HUMAN
LTA ,TNFB_HUMAN
CSF1 ,CSF1_HUMAN
MIF ,MIF_HUMAN
OSM ,ONCM_HUMAN
SPP1 ,OSTP_HUMAN
PF4V1 ,PF4V_HUMAN
CCL15 ,CCL15_HUMAN
PDGFA ,PDGFA_HUMAN
PDGFB ,PDGFB_HUMAN
RETN ,RETN_HUMAN
KITLG ,SCF_HUMAN
TDGF1P2 ,
TDGF1P3 ,
THPO ,TPO_HUMAN
CCL16 ,CCL16_HUMAN
TGFA ,TGFA_HUMAN
TGFB1 ,TGFB1_HUMAN
TGFB2 ,TGFB2_HUMAN
TGFB3 ,TGFB3_HUMAN
TNFSF11 ,TNF11_HUMAN
TNFSF12 ,TNF12_HUMAN
TNFSF13 ,TNF13_HUMAN
TNFSF14 ,TNF14_HUMAN
CCL17 ,CCL17_HUMAN
TNFSF15 ,TNF15_HUMAN
TNFSF4 ,TNFL4_HUMAN
TNFSF8 ,TNFL8_HUMAN
TNFSF9 ,TNFL9_HUMAN
TNF ,TNFA_HUMAN
XCL1 ,XCL1_HUMAN
XCL2 ,XCL2_HUMAN
FAS,TNR6_HUMAN
TNFRSF17,TNR17_HUMAN
CCL18 ,CCL18_HUMAN
CXCR5,CXCR5_HUMAN
CD4,CD4_HUMAN
CD27,CD27_HUMAN
TNFRSF8,TNR8_HUMAN
CD40,TNR5_HUMAN
CCR1,CCR1_HUMAN
CCR3,CCR3_HUMAN
CCR4,CCR4_HUMAN
CCR5,CCR5_HUMAN
CCR6,CCR6_HUMAN
CCL19 ,CCL19_HUMAN
CCR7,CCR7_HUMAN
CCR8,CCR8_HUMAN
CSF1R,CSF1R_HUMAN
CSF2RA,CSF2R_HUMAN
CSF2RB,IL3RB_HUMAN
CSF3R,CSF3R_HUMAN
CX3CR1,CX3C1_HUMAN
EPOR,EPOR_HUMAN
FLT3,FLT3_HUMAN
CCR10,CCR10_HUMAN
CLCF1,CLCF1_HUMAN
CCL2 ,CCL2_HUMAN
XCR1,XCR1_HUMAN
CXCR3,CXCR3_HUMAN
IFNGR1,INGR1_HUMAN
IL1R1,IL1R1_HUMAN
IL2RA,IL2RA_HUMAN
IL2RB,IL2RB_HUMAN
IL2RG,IL2RG_HUMAN
IL3RA,IL3RA_HUMAN
IL4R,IL4RA_HUMAN
IL5RA,IL5RA_HUMAN
CCL20 ,CCL20_HUMAN
IL6R,IL6RA_HUMAN
IL6ST,IL6RB_HUMAN
IL7R,IL7RA_HUMAN
CXCR1,CXCR1_HUMAN
CXCR2,CXCR2_HUMAN
IL9R,IL9R_HUMAN
IL10RA,I10R1_HUMAN
IL12RB1,I12R1_HUMAN
IL13RA1,I13R1_HUMAN
IL13RA2,I13R2_HUMAN
CCL21 ,CCL21_HUMAN
IL15RA,I15RA_HUMAN
