Cytokine Ontology Label,Cytokine name
CCL1,CCL1_HUMAN
CCL11,CCL11_HUMAN
CCL13,CCL13_HUMAN
CCL14,CCL14_HUMAN
CCL15,CCL15_HUMAN
CCL16,CCL16_HUMAN
CCL17,CCL17_HUMAN
CCL18,CCL18_HUMAN
CCL19,CCL19_HUMAN
CCL2,CCL2_HUMAN
CCL20,CCL20_HUMAN
CCL21,CCL21_HUMAN
CCL22,CCL22_HUMAN
CCL23,CCL23_HUMAN
CCL24,CCL24_HUMAN
CCL25,CCL25_HUMAN
CCL26,CCL26_HUMAN
CCL27,CCL27_HUMAN
CCL3,CCL3_HUMAN
CCL3L1,CL3L1_HUMAN
CCL4,CCL4_HUMAN
CCL4L2,CC4L_HUMAN
CCL5,CCL5_HUMAN
CCL6,
CCL7,CCL7_HUMAN
CCL8,CCL8_HUMAN
CCL9,
CD40LG,CD40L_HUMAN
CD70,CD70_HUMAN
CKLF,CKLF_HUMAN
CLCF1,CLCF1_HUMAN
CSF1,CSF1_HUMAN
CSF2,CSF2_HUMAN
CSF3,CSF3_HUMAN
CX3CL1,X3CL1_HUMAN
CXCL1,GROA_HUMAN
CXCL10,CXL10_HUMAN
CXCL11,CXL11_HUMAN
CXCL12,SDF1_HUMAN
CXCL13,CXL13_HUMAN
CXCL14,CXL14_HUMAN
CXCL16,CXL16_HUMAN
CXCL2,CXCL2_HUMAN
CXCL3,CXCL3_HUMAN
CXCL5,CXCL5_HUMAN
CXCL6,CXCL6_HUMAN
CXCL8,IL8_HUMAN
CXCL9,CXCL9_HUMAN
EBI3,IL27B_HUMAN
EGF,EGF_HUMAN
EPO,EPO_HUMAN
FGF1,FGF1_HUMAN
FGF2,FGF2_HUMAN
GDF15,GDF15_HUMAN
HGF,HGF_HUMAN
IFN1,
IFNA,
IFNA1,IFNA1_HUMAN
IFNA2,IFNA2_HUMAN
IFNA6,IFNA6_HUMAN
IFNB1,IFNB_HUMAN
IFNG,IFNG_HUMAN
IFNK,IFNK_HUMAN
IFNL1,IFNL1_HUMAN
IFNL2,IFNL2_HUMAN
IFNL3,IFNL3_HUMAN
IL1,
IL10,IL10_HUMAN
IL11,IL11_HUMAN
IL12,
IL12A,IL12A_HUMAN
IL12B,IL12B_HUMAN
IL13,IL13_HUMAN
IL15,IL15_HUMAN
IL16,IL16_HUMAN
IL17,
IL17A,IL17_HUMAN
IL17B,IL17B_HUMAN
IL17C,IL17C_HUMAN
IL17F,IL17F_HUMAN
IL18,IL18_HUMAN
IL19,IL19_HUMAN
IL1A,IL1A_HUMAN
IL1B,IL1B_HUMAN
IL1F10,IL1FA_HUMAN
IL1RN,IL1RA_HUMAN
IL2,IL2_HUMAN
IL20,IL20_HUMAN
IL21,IL21_HUMAN
IL22,IL22_HUMAN
IL23,
IL23A,IL23A_HUMAN
IL24,IL24_HUMAN
IL25,IL25_HUMAN
IL26,IL26_HUMAN
IL27,IL27A_HUMAN
IL3,IL3_HUMAN
IL31,IL31_HUMAN
IL32,IL32_HUMAN
IL33,IL33_HUMAN
IL34,IL34_HUMAN
IL35,
IL36G,IL36G_HUMAN
IL36RN,I36RA_HUMAN
IL4,IL4_HUMAN
IL5,IL5_HUMAN
IL6,IL6_HUMAN
IL7,IL7_HUMAN
IL9,IL9_HUMAN
KITLG,SCF_HUMAN
LECT1,LECT1_HUMAN
LECT2,LECT2_HUMAN
LIF,LIF_HUMAN
LTA,TNFB_HUMAN
MIF,MIF_HUMAN
Monocyte-CSF,
OSM,ONCM_HUMAN
PDGF,
PDGFA,PDGFA_HUMAN
PDGFB,PDGFB_HUMAN
PF4,PLF4_HUMAN
PF4V1,PF4V_HUMAN
PPBP,CXCL7_HUMAN
RETN,RETN_HUMAN
SPP1,OSTP_HUMAN
TDGF1P3,
TGF,
TGFA,TGFA_HUMAN
TGFB,
TGFB1,TGFB1_HUMAN
TGFB2,TGFB2_HUMAN
TGFB3,TGFB3_HUMAN
THPO,TPO_HUMAN
TNF,TNFA_HUMAN
TNFSF11,TNR11_HUMAN
TNFSF13,TNF13_HUMAN
TNFSF13B,TN13B_HUMAN
TNFSF14,TNF14_HUMAN
TNFSF15,TNF15_HUMAN
TNFSF4,TNFL4_HUMAN
TNFSF8,TNFL8_HUMAN
TNFSF9,TNFL9_HUMAN
XCL1,XCL1_HUMAN
