ID,Entry,Gene names,Cross-reference (STRING)
0,P32929,CTH,9606.ENSP00000359976
1,Q49A92,C8orf34,9606.ENSP00000427820
2,Q9UFW8,CGGBP1 CGGBP,9606.ENSP00000381428
3,Q96K31,C8orf76,9606.ENSP00000276704
4,Q8IWX8,CHERP DAN26 SCAF6,9606.ENSP00000439856
5,Q99653,CHP1 CHP,9606.ENSP00000335632
6,Q8NA66,CNBD1,9606.ENSP00000430073
7,Q96M20,CNBD2 C20orf152,9606.ENSP00000340954
8,Q86VU5,COMTD1 UNQ766/PRO1558,9606.ENSP00000361616
9,Q8IYT2,CMTR2 AFT FTSJD1,9606.ENSP00000337512
10,Q9NSA3,CTNNBIP1 ICAT,9606.ENSP00000366466
11,Q96KP4,CNDP2 CN2 CPGL HEL-S-13 PEPA,9606.ENSP00000325548
12,Q13956,PDE6H,9606.ENSP00000266395
13,O95476,CTDNEP1 DULLARD,9606.ENSP00000321732
14,Q9BYD5,CNFN,9606.ENSP00000222032
15,Q969H4,CNKSR1 CNK1,9606.ENSP00000354609
16,Q6P9H4,CNKSR3 MAGI1,9606.ENSP00000356182
17,O95406,CNIH1 CNIH CNIL UNQ155/PRO181,9606.ENSP00000216416
18,Q3B7I2,CNPY1,9606.ENSP00000317439
19,P18545,PDE6G PDEG,9606.ENSP00000328412
20,Q6PJW8,CNST C1orf71,9606.ENSP00000355470
21,P26992,CNTFR,9606.ENSP00000242338
22,Q8N8G6,C15orf54,9606.ENSP00000323686
23,P06681,C2,9606.ENSP00000299367
24,P27658,COL8A1 C3orf7,9606.ENSP00000261037
25,P02748,C9,9606.ENSP00000263408
26,P10643,C7,9606.ENSP00000322061
27,Q7L8W6,DPH6 ATPBD4,9606.ENSP00000256538
28,Q9BTV6,DPH7 C9orf112 WDR85,9606.ENSP00000277540
29,Q13057,COASY PSEC0106,9606.ENSP00000464814
30,P00414,MT-CO3 COIII COXIII MTCO3,9606.ENSP00000354982
31,Q9NRP2,CMC2 C16orf61 DC13,9606.ENSP00000219400
32,Q6UWD8,C16orf54 UNQ9389/PRO34280,9606.ENSP00000327506
33,O43174,CYP26A1 CYP26 P450RAI1,9606.ENSP00000224356
34,P22680,CYP7A1 CYP7,9606.ENSP00000301645
35,P05177,CYP1A2,9606.ENSP00000342007
36,O43809,NUDT21 CFIM25 CPSF25 CPSF5,9606.ENSP00000300291
37,Q02318,CYP27A1 CYP27,9606.ENSP00000258415
38,Q16678,CYP1B1,9606.ENSP00000260630
39,Q6UW02,CYP20A1 UNQ667/PRO1301,9606.ENSP00000348380
40,P10635,CYP2D6 CYP2DL1,9606.ENSP00000353820
41,P05813,CRYBA1 CRYB1,9606.ENSP00000225387
42,Q9NQ79,CRTAC1 ASPIC1 CEP68,9606.ENSP00000359629
43,P43320,CRYBB2 CRYB2 CRYB2A,9606.ENSP00000381273
44,O94985,CLSTN1 CS1 KIAA0911,9606.ENSP00000366513
45,Q9GZN8,C20orf27,9606.ENSP00000217195
46,Q8N8Q3,ENDOV,9606.ENSP00000429190
47,Q9H4G1,CST9L CTES7B UNQ1835/PRO3543,9606.ENSP00000366178
48,Q5W186,CST9 CLM CTES7A,9606.ENSP00000366170
49,Q53GD3,SLC44A4 C6orf29 CTL4 NG22 TPPT1 UNQ441/PRO874,9606.ENSP00000229729
50,O43310,CTIF KIAA0427,9606.ENSP00000372459
51,Q8NCS7,SLC44A5 CTL5,9606.ENSP00000359892
52,Q8WVB6,CHTF18 C16orf41 CTF18,9606.ENSP00000262315
53,P29279,CTGF CCN2 HCS24 IGFBP8,9606.ENSP00000356954
54,P52569,SLC7A2 ATRC2 CAT2,9606.ENSP00000004531
55,Q7RTX7,CATSPER4,9606.ENSP00000390423
56,Q9NTU4,CATSPERZ C11orf20 TEX40,9606.ENSP00000330877
57,P58512,LINC01547 C21orf67 C21orf69,9606.ENSP00000380941
58,O60888,CUTA ACHAP C6orf82,9606.ENSP00000363624
59,P06733,ENO1 ENO1L1 MBPB1 MPB1,9606.ENSP00000234590
60,P13929,ENO3,9606.ENSP00000324105
61,P09104,ENO2,9606.ENSP00000229277
62,Q02221,COX6A2 COX6A COX6AH,9606.ENSP00000287490
63,P14854,COX6B1 COX6B,9606.ENSP00000246554
64,Q969M2,GJA10 CX62,9606.ENSP00000358358
65,P48165,GJA8,9606.ENSP00000240986
66,P35212,GJA4,9606.ENSP00000343676
67,O95452,GJB6,9606.ENSP00000241124
68,P19876,CXCL3 GRO3 GROG SCYB3,9606.ENSP00000296026
69,P08034,GJB1 CX32,9606.ENSP00000354900
70,P80162,CXCL6 GCP2 SCYB6,9606.ENSP00000226317
71,P02775,PPBP CTAP3 CXCL7 SCYB7 TGB1 THBGB1,9606.ENSP00000296028
72,O75712,GJB3 CX31,9606.ENSP00000362460
73,Q96KN9,GJD4 CX40.1,9606.ENSP00000315070
74,P25025,CXCR2 IL8RB,9606.ENSP00000319635
75,A6NN92,GJE1,9606.ENSP00000455469
76,P61073,CXCR4,9606.ENSP00000386884
77,P00167,CYB5A CYB5,9606.ENSP00000341625
78,Q9BQA9,CYBC1 C17orf62 EROS,9606.ENSP00000307765
79,Q9HB71,CACYBP S100A6BP SIP PNAS-107,9606.ENSP00000356652
80,P00156,MT-CYB COB CYTB MTCYB,9606.ENSP00000354554
81,P00403,MT-CO2 COII COX2 COXII MTCO2,9606.ENSP00000354876
82,Q7Z7K0,CMC1 C3orf68,9606.ENSP00000418348
83,O14548,COX7A2L COX7AR COX7RP,9606.ENSP00000234301
84,P10632,CYP2C8,9606.ENSP00000360317
85,P51589,CYP2J2,9606.ENSP00000360247
86,Q86X59,C17orf82,9606.ENSP00000335229
87,Q96SQ9,CYP2S1 UNQ891/PRO1906,9606.ENSP00000308032
88,O75718,CRTAP CASP,9606.ENSP00000323696
89,O75462,CRLF1 UNQ288/PRO327,9606.ENSP00000376188
90,Q9HC73,CRLF2 CRL2 ILXR TSLPR,9606.ENSP00000370979
91,P02489,CRYAA CRYA1 HSPB4,9606.ENSP00000291554
92,Q9Y2W7,KCNIP3 CSEN DREAM KCHIP3,9606.ENSP00000295225
93,P0DML2,CSH1,9606.ENSP00000316416
94,Q9BV81,EMC6 TMEM93,9606.ENSP00000248378
95,Q9Y3B6,EMC9 C14orf122 FAM158A CGI-112,9606.ENSP00000216799
96,P50402,EMD EDMD STA,9606.ENSP00000358857
97,Q99062,CSF3R GCSFR,9606.ENSP00000362195
98,Q96A84,EMID1 EMU1,9606.ENSP00000335481
99,Q7L5N1,COPS6 CSN6 HVIP,9606.ENSP00000304102
100,Q9UBW8,COPS7A CSN7A DERP10,9606.ENSP00000229251
101,Q99708,RBBP8 CTIP,9606.ENSP00000323050
102,P35221,CTNNA1,9606.ENSP00000304669
103,Q8WWI5,SLC44A1 CD92 CDW92 CTL1,9606.ENSP00000363852
104,Q13618,CUL3 KIAA0617,9606.ENSP00000264414
105,Q13619,CUL4A,9606.ENSP00000364589
106,Q9NTM9,CUTC CGI-32,9606.ENSP00000359507
107,P19875,CXCL2 GRO2 GROB MIP2A SCYB2,9606.ENSP00000427279
108,P42830,CXCL5 ENA78 SCYB5,9606.ENSP00000296027
109,P32302,CXCR5 BLR1 MDR15,9606.ENSP00000292174
110,Q9NTQ9,GJB4,9606.ENSP00000345868
111,O43927,CXCL13 BCA1 BLC SCYB13,9606.ENSP00000286758
112,O95715,CXCL14 MIP2G NJAC SCYB14 PSEC0212 UNQ240/PRO273,9606.ENSP00000337065
113,Q6UXB2,CXCL17 VCC1 UNQ473/PRO842,9606.ENSP00000472467
114,P49447,CYB561,9606.ENSP00000354028
115,P04839,CYBB NOX2,9606.ENSP00000367851
116,Q53TN4,CYBRD1 DCYTB FRRS3,9606.ENSP00000319141
117,O95674,CDS2,9606.ENSP00000419879
118,Q2WEN9,CEACAM16 CEAL2,9606.ENSP00000385576
119,A8MTB9,CEACAM18,9606.ENSP00000402203
120,Q16739,UGCG,9606.ENSP00000363397
121,Q96LK0,CEP19 C3orf34 HSD5,9606.ENSP00000387209
122,Q9BS16,CENPK ICEN37 FKSG14,9606.ENSP00000242872
123,P07199,CENPB,9606.ENSP00000369075
124,Q9BU64,CENPO ICEN36 MCM21R,9606.ENSP00000260662
