,1-10,11-30,31-75,all
M-aupr,0.08320411142867863,0.3437042176673967,0.6455247381351004,0.11617914272523067
M-auc,0.450417716594095,0.6092859556297893,0.5852272727272727,0.4675533253499139
aupr_list,"[0.0485423494911161, 0.049719318921648936, 0.026292226292226294, 0.013513513513513514, 0.015625, 0.020796019900497512, 0.01694915254237288, 0.037037037037037035, 0.015873015873015872, 0.0521680216802168, 0.0683982683982684, 0.2851731601731602, 0.06060059048169186, 0.1983551040154814, 0.03372359187962025, 0.33655028546332894, 0.5625370243791297, 0.3808809523809524, 0.05555555555555555, 0.4059114386495339, 0.041666666666666664, 0.14527701800887285, 0.03153467384370768, 0.2649164096103832, 0.21186868686868685, 0.028066378066378066, 0.016129032258064516, 0.015384615384615385, 0.056990881458966566, 0.07177033492822966, 0.0636986301369863, 0.03856987506541078, 0.11842105263157894, 0.04635480704245658, 0.03225806451612903, 0.01889750783957749, 0.01282051282051282, 0.26363636363636367, 0.03571428571428571, 0.09601139601139602, 0.017241379310344827, 0.014925373134328358, 0.23721537517485464, 0.02015817901234568, 0.013157894736842105, 0.08240959119496855, 0.013888888888888888, 0.17523309350091854, 0.15683408159820908, 0.013157894736842105, 0.020510835913312694, 0.022727272727272728, 0.45506356388709324, 0.40233924895550865, 0.11133011655112994, 0.04782608695652174, 0.21313149079393512, 0.02564102564102564, 0.017543859649122806, 0.012345679012345678, 0.3515384615384616, 0.08696463843522667, 0.14583333333333334, 0.013333333333333334, 0.01282051282051282, 0.023809523809523808, 0.15422405941878198, 0.013513513513513514, 0.05873015873015873, 0.42650920293196715, 0.12363636363636364, 0.06920384093176947, 0.012987012987012988, 0.15543850394596664, 0.01895187870797627, 0.014925373134328358, 0.23735243801033273, 0.1117627438717826, 0.2533333333333333, 0.017857142857142856, 0.013157894736842105, 0.14285714285714285, 0.058582202111613885, 0.10302197802197802, 0.02857142857142857, 0.014084507042253521, 0.013513513513513514, 0.03761214630779848, 0.014492753623188406, 0.015384615384615385, 0.013333333333333334, 0.018518518518518517, 0.28846153846153844, 0.01282051282051282, 0.4583333333333333, 0.3132275132275132, 0.07609202075511651, 0.014285714285714285, 0.014705882352941176, 0.1063011063011063, 0.06066851281562094, 0.011904761904761904, 0.03103146853146853, 0.02040816326530612, 0.027777777777777776, 0.026524357510273003, 0.1484848484848485, 0.1619553902642138, 0.016129032258064516, 0.017543859649122806, 0.02702702702702703, 0.014285714285714285, 0.013513513513513514, 0.012987012987012988, 0.02702702702702703, 0.055322128851540614, 0.05263157894736842, 0.09090909090909091, 0.052380952380952375, 0.14285714285714285, 0.012658227848101266, 0.012048192771084338, 0.060056186751102004, 0.030285422281565, 0.03420017796147995, 0.03333333333333333, 0.014705882352941176, 0.025657894736842105, 0.011904761904761904, 0.05555555555555555, 0.047619047619047616, 0.017543859649122806, 0.07505574839906637, 0.030536130536130537, 0.05555555555555555, 0.09353547485839867, 0.02702702702702703, 0.28125, 0.015151515151515152, 0.016666666666666666, 0.012987012987012988, 0.027777777777777776, 0.05558712121212121, 0.02857142857142857, 0.03732303732303732, 0.09415584415584416, 0.014925373134328358, 0.021739130434782608, 0.0625, 0.043478260869565216, 0.023973585989089864, 0.03571428571428571, 0.015873015873015872, 0.012987012987012988, 0.020375586854460094]","[0.3586175168403467, 0.2856845235360193, 0.30724738499378124, 0.5114452700510496, 0.4271777898765923, 0.29361945563451564, 0.27597843579268183, 0.34124221415620654, 0.1852633534019297, 0.4269258053660838, 0.42727561413345394, 0.2587412139449938, 0.29266206920208054, 0.28444184188982113, 0.15683408159820908, 0.609823276579115, 0.40233924895550865, 0.21313149079393512, 0.42367549427095047, 0.3859370619788738, 0.2775342017863464, 0.4158954439002342]",[0.6455247381351004],"[0.0485423494911161, 0.049719318921648936, 0.026292226292226294, 0.013513513513513514, 0.015625, 0.020796019900497512, 0.3586175168403467, 0.01694915254237288, 0.2856845235360193, 0.037037037037037035, 0.30724738499378124, 0.015873015873015872, 0.0521680216802168, 0.0683982683982684, 0.5114452700510496, 0.2851731601731602, 0.06060059048169186, 0.1983551040154814, 0.03372359187962025, 0.4271777898765923, 0.33655028546332894, 0.5625370243791297, 0.3808809523809524, 0.29361945563451564, 0.05555555555555555, 0.4059114386495339, 0.27597843579268183, 0.041666666666666664, 0.14527701800887285, 0.03153467384370768, 0.2649164096103832, 0.21186868686868685, 0.028066378066378066, 0.016129032258064516, 0.015384615384615385, 0.056990881458966566, 0.34124221415620654, 0.07177033492822966, 0.0636986301369863, 0.03856987506541078, 0.11842105263157894, 0.04635480704245658, 0.03225806451612903, 0.01889750783957749, 0.1852633534019297, 0.6455247381351004, 0.4269258053660838, 0.01282051282051282, 0.42727561413345394, 0.26363636363636367, 0.03571428571428571, 0.09601139601139602, 0.017241379310344827, 0.014925373134328358, 0.23721537517485464, 0.02015817901234568, 0.013157894736842105, 0.2587412139449938, 0.08240959119496855, 0.013888888888888888, 0.29266206920208054, 0.28444184188982113, 0.17523309350091854, 0.15683408159820908, 0.013157894736842105, 0.020510835913312694, 0.022727272727272728, 0.609823276579115, 0.45506356388709324, 0.40233924895550865, 0.11133011655112994, 0.04782608695652174, 0.21313149079393512, 0.42367549427095047, 0.3859370619788738, 0.02564102564102564, 0.017543859649122806, 0.012345679012345678, 0.3515384615384616, 0.08696463843522667, 0.14583333333333334, 0.013333333333333334, 0.01282051282051282, 0.2775342017863464, 0.023809523809523808, 0.15422405941878198, 0.013513513513513514, 0.05873015873015873, 0.42650920293196715, 0.4158954439002342, 0.12363636363636364, 0.06920384093176947, 0.012987012987012988, 0.15543850394596664, 0.01895187870797627, 0.014925373134328358, 0.23735243801033273, 0.1117627438717826, 0.2533333333333333, 0.017857142857142856, 0.013157894736842105, 0.14285714285714285, 0.058582202111613885, 0.10302197802197802, 0.02857142857142857, 0.014084507042253521, 0.013513513513513514, 0.03761214630779848, 0.014492753623188406, 0.015384615384615385, 0.013333333333333334, 0.018518518518518517, 0.28846153846153844, 0.01282051282051282, 0.4583333333333333, 0.3132275132275132, 0.07609202075511651, 0.014285714285714285, 0.014705882352941176, 0.1063011063011063, 0.06066851281562094, 0.011904761904761904, 0.03103146853146853, 0.02040816326530612, 0.027777777777777776, 0.026524357510273003, 0.1484848484848485, 0.1619553902642138, 0.016129032258064516, 0.017543859649122806, 0.02702702702702703, 0.014285714285714285, 0.013513513513513514, 0.012987012987012988, 0.02702702702702703, 0.055322128851540614, 0.05263157894736842, 0.09090909090909091, 0.052380952380952375, 0.14285714285714285, 0.012658227848101266, 0.012048192771084338, 0.060056186751102004, 0.030285422281565, 0.03420017796147995, 0.03333333333333333, 0.014705882352941176, 0.025657894736842105, 0.011904761904761904, 0.05555555555555555, 0.047619047619047616, 0.017543859649122806, 0.07505574839906637, 0.030536130536130537, 0.05555555555555555, 0.09353547485839867, 0.02702702702702703, 0.28125, 0.015151515151515152, 0.016666666666666666, 0.012987012987012988, 0.027777777777777776, 0.05558712121212121, 0.02857142857142857, 0.03732303732303732, 0.09415584415584416, 0.014925373134328358, 0.021739130434782608, 0.0625, 0.043478260869565216, 0.023973585989089864, 0.03571428571428571, 0.015873015873015872, 0.012987012987012988, 0.020375586854460094]"
num_pos_list,"[3.0, 5.0, 3.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 3.0, 6.0, 4.0, 5.0, 3.0, 5.0, 7.0, 5.0, 1.0, 7.0, 1.0, 6.0, 3.0, 9.0, 3.0, 3.0, 1.0, 1.0, 2.0, 2.0, 2.0, 4.0, 3.0, 5.0, 1.0, 2.0, 1.0, 4.0, 1.0, 3.0, 1.0, 1.0, 9.0, 2.0, 1.0, 4.0, 1.0, 8.0, 10.0, 1.0, 2.0, 1.0, 6.0, 10.0, 6.0, 2.0, 10.0, 1.0, 1.0, 1.0, 5.0, 4.0, 2.0, 1.0, 1.0, 1.0, 6.0, 1.0, 3.0, 9.0, 3.0, 3.0, 1.0, 6.0, 2.0, 1.0, 6.0, 5.0, 3.0, 1.0, 1.0, 2.0, 3.0, 3.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 4.0, 5.0, 5.0, 1.0, 1.0, 3.0, 7.0, 1.0, 3.0, 1.0, 1.0, 3.0, 3.0, 6.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 4.0, 3.0, 3.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 5.0, 2.0, 1.0, 5.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 4.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0]","[26.0, 11.0, 19.0, 29.0, 16.0, 16.0, 11.0, 12.0, 13.0, 24.0, 24.0, 17.0, 19.0, 14.0, 10.0, 21.0, 10.0, 10.0, 18.0, 15.0, 18.0, 15.0]",[40.0],"[3.0, 5.0, 3.0, 1.0, 1.0, 2.0, 26.0, 1.0, 11.0, 1.0, 19.0, 1.0, 2.0, 3.0, 29.0, 6.0, 4.0, 5.0, 3.0, 16.0, 5.0, 7.0, 5.0, 16.0, 1.0, 7.0, 11.0, 1.0, 6.0, 3.0, 9.0, 3.0, 3.0, 1.0, 1.0, 2.0, 12.0, 2.0, 2.0, 4.0, 3.0, 5.0, 1.0, 2.0, 13.0, 40.0, 24.0, 1.0, 24.0, 4.0, 1.0, 3.0, 1.0, 1.0, 9.0, 2.0, 1.0, 17.0, 4.0, 1.0, 19.0, 14.0, 8.0, 10.0, 1.0, 2.0, 1.0, 21.0, 6.0, 10.0, 6.0, 2.0, 10.0, 18.0, 15.0, 1.0, 1.0, 1.0, 5.0, 4.0, 2.0, 1.0, 1.0, 18.0, 1.0, 6.0, 1.0, 3.0, 9.0, 15.0, 3.0, 3.0, 1.0, 6.0, 2.0, 1.0, 6.0, 5.0, 3.0, 1.0, 1.0, 2.0, 3.0, 3.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 4.0, 5.0, 5.0, 1.0, 1.0, 3.0, 7.0, 1.0, 3.0, 1.0, 1.0, 3.0, 3.0, 6.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 4.0, 3.0, 3.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 5.0, 2.0, 1.0, 5.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 4.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0]"
auc_list,"[0.5308641975308641, 0.3189873417721519, 0.1152263374485597, 0.12048192771084343, 0.24096385542168675, 0.15243902439024387, 0.3012048192771084, 0.6867469879518072, 0.2530120481927711, 0.6585365853658537, 0.6213991769547325, 0.7371794871794871, 0.471875, 0.7240506329113925, 0.32098765432098764, 0.7569620253164556, 0.8812615955473098, 0.6734177215189874, 0.7951807228915663, 0.75139146567718, 0.7228915662650602, 0.532051282051282, 0.2757201646090535, 0.597037037037037, 0.7160493827160493, 0.17283950617283952, 0.2650602409638554, 0.22891566265060237, 0.646341463414634, 0.7195121951219513, 0.5121951219512195, 0.259375, 0.7736625514403291, 0.25569620253164554, 0.6385542168674698, 0.06707317073170732, 0.07228915662650603, 0.809375, 0.6746987951807228, 0.7777777777777778, 0.3132530120481928, 0.20481927710843373, 0.5466666666666666, 0.13414634146341464, 0.09638554216867468, 0.61875, 0.14457831325301207, 0.618421052631579, 0.5851351351351352, 0.09638554216867468, 0.1402439024390244, 0.4819277108433735, 0.9102564102564102, 0.7459459459459459, 0.6025641025641025, 0.5060975609756098, 0.6513513513513514, 0.5421686746987953, 0.32530120481927716, 0.03614457831325302, 0.9113924050632911, 0.671875, 0.7012195121951219, 0.10843373493975905, 0.07228915662650603, 0.5060240963855422, 0.3931623931623932, 0.12048192771084343, 0.448559670781893, 0.6859259259259259, 0.7654320987654321, 0.3662551440329218, 0.08433734939759041, 0.5299145299145299, 0.06707317073170732, 0.20481927710843373, 0.8162393162393162, 0.5949367088607594, 0.7695473251028806, 0.3373493975903614, 0.09638554216867468, 0.6524390243902438, 0.6213991769547325, 0.7901234567901234, 0.39634146341463417, 0.15662650602409633, 0.12048192771084343, 0.49390243902439024, 0.1807228915662651, 0.22891566265060237, 0.10843373493975905, 0.3614457831325302, 0.8475609756097561, 0.07228915662650603, 0.95625, 0.8936708860759495, 0.5088607594936709, 0.1686746987951807, 0.19277108433734935, 0.8024691358024691, 0.2541743970315399, 0.0, 0.2551440329218107, 0.42168674698795183, 0.5783132530120482, 0.10699588477366258, 0.6460905349794239, 0.7158119658119658, 0.2650602409638554, 0.32530120481927716, 0.5662650602409638, 0.1686746987951807, 0.12048192771084343, 0.08433734939759041, 0.5662650602409638, 0.6219512195121951, 0.7831325301204819, 0.8795180722891567, 0.5670731707317074, 0.927710843373494, 0.06024096385542166, 0.012048192771084376, 0.465625, 0.24279835390946503, 0.3251028806584362, 0.6506024096385542, 0.19277108433734935, 0.31097560975609756, 0.0, 0.7951807228915663, 0.7590361445783133, 0.32530120481927716, 0.5341772151898734, 0.42073170731707316, 0.7951807228915663, 0.6430379746835443, 0.5662650602409638, 0.8109756097560976, 0.2168674698795181, 0.28915662650602414, 0.08433734939759041, 0.5783132530120482, 0.49375, 0.5903614457831325, 0.5365853658536586, 0.7073170731707317, 0.20481927710843373, 0.45783132530120485, 0.8192771084337349, 0.7349397590361446, 0.2621951219512195, 0.6746987951807228, 0.2530120481927711, 0.08433734939759041, 0.12804878048780488]","[0.47413793103448276, 0.47198007471980075, 0.551417004048583, 0.6269592476489028, 0.6700367647058824, 0.6443014705882353, 0.6488169364881694, 0.6863425925925927, 0.5687973997833153, 0.5076388888888889, 0.6006944444444445, 0.5548726953467955, 0.5263157894736842, 0.5683673469387756, 0.5851351351351352, 0.8080120937263794, 0.7459459459459459, 0.6513513513513514, 0.6355218855218855, 0.6753623188405797, 0.4747474747474747, 0.7275362318840579]",[0.5852272727272727],"[0.5308641975308641, 0.3189873417721519, 0.1152263374485597, 0.12048192771084343, 0.24096385542168675, 0.15243902439024387, 0.47413793103448276, 0.3012048192771084, 0.47198007471980075, 0.6867469879518072, 0.551417004048583, 0.2530120481927711, 0.6585365853658537, 0.6213991769547325, 0.6269592476489028, 0.7371794871794871, 0.471875, 0.7240506329113925, 0.32098765432098764, 0.6700367647058824, 0.7569620253164556, 0.8812615955473098, 0.6734177215189874, 0.6443014705882353, 0.7951807228915663, 0.75139146567718, 0.6488169364881694, 0.7228915662650602, 0.532051282051282, 0.2757201646090535, 0.597037037037037, 0.7160493827160493, 0.17283950617283952, 0.2650602409638554, 0.22891566265060237, 0.646341463414634, 0.6863425925925927, 0.7195121951219513, 0.5121951219512195, 0.259375, 0.7736625514403291, 0.25569620253164554, 0.6385542168674698, 0.06707317073170732, 0.5687973997833153, 0.5852272727272727, 0.5076388888888889, 0.07228915662650603, 0.6006944444444445, 0.809375, 0.6746987951807228, 0.7777777777777778, 0.3132530120481928, 0.20481927710843373, 0.5466666666666666, 0.13414634146341464, 0.09638554216867468, 0.5548726953467955, 0.61875, 0.14457831325301207, 0.5263157894736842, 0.5683673469387756, 0.618421052631579, 0.5851351351351352, 0.09638554216867468, 0.1402439024390244, 0.4819277108433735, 0.8080120937263794, 0.9102564102564102, 0.7459459459459459, 0.6025641025641025, 0.5060975609756098, 0.6513513513513514, 0.6355218855218855, 0.6753623188405797, 0.5421686746987953, 0.32530120481927716, 0.03614457831325302, 0.9113924050632911, 0.671875, 0.7012195121951219, 0.10843373493975905, 0.07228915662650603, 0.4747474747474747, 0.5060240963855422, 0.3931623931623932, 0.12048192771084343, 0.448559670781893, 0.6859259259259259, 0.7275362318840579, 0.7654320987654321, 0.3662551440329218, 0.08433734939759041, 0.5299145299145299, 0.06707317073170732, 0.20481927710843373, 0.8162393162393162, 0.5949367088607594, 0.7695473251028806, 0.3373493975903614, 0.09638554216867468, 0.6524390243902438, 0.6213991769547325, 0.7901234567901234, 0.39634146341463417, 0.15662650602409633, 0.12048192771084343, 0.49390243902439024, 0.1807228915662651, 0.22891566265060237, 0.10843373493975905, 0.3614457831325302, 0.8475609756097561, 0.07228915662650603, 0.95625, 0.8936708860759495, 0.5088607594936709, 0.1686746987951807, 0.19277108433734935, 0.8024691358024691, 0.2541743970315399, 0.0, 0.2551440329218107, 0.42168674698795183, 0.5783132530120482, 0.10699588477366258, 0.6460905349794239, 0.7158119658119658, 0.2650602409638554, 0.32530120481927716, 0.5662650602409638, 0.1686746987951807, 0.12048192771084343, 0.08433734939759041, 0.5662650602409638, 0.6219512195121951, 0.7831325301204819, 0.8795180722891567, 0.5670731707317074, 0.927710843373494, 0.06024096385542166, 0.012048192771084376, 0.465625, 0.24279835390946503, 0.3251028806584362, 0.6506024096385542, 0.19277108433734935, 0.31097560975609756, 0.0, 0.7951807228915663, 0.7590361445783133, 0.32530120481927716, 0.5341772151898734, 0.42073170731707316, 0.7951807228915663, 0.6430379746835443, 0.5662650602409638, 0.8109756097560976, 0.2168674698795181, 0.28915662650602414, 0.08433734939759041, 0.5783132530120482, 0.49375, 0.5903614457831325, 0.5365853658536586, 0.7073170731707317, 0.20481927710843373, 0.45783132530120485, 0.8192771084337349, 0.7349397590361446, 0.2621951219512195, 0.6746987951807228, 0.2530120481927711, 0.08433734939759041, 0.12804878048780488]"
m-aupr,0.06216551846712186,0.2966602265225723,0.6455247381351004,0.2328830931447889
m-auc,0.642033734090809,0.635559268507638,0.5852272727272727,0.7652657687507152
F-max,0.1214876033057851,0.38621679827709976,0.6611570247933884,0.3208226221079692
t_max,0.07,0.17,0.34,0.17
p_max,0.07295285359801489,0.2624390243902439,0.49382716049382713,0.2685025817555938
