ID,Entry,Gene names,Cross-reference (STRING)
0,P19876,CXCL3 GRO3 GROG SCYB3,9606.ENSP00000296026
1,P80162,CXCL6 GCP2 SCYB6,9606.ENSP00000226317
2,P02775,PPBP CTAP3 CXCL7 SCYB7 TGB1 THBGB1,9606.ENSP00000296028
3,P19875,CXCL2 GRO2 GROB MIP2A SCYB2,9606.ENSP00000427279
4,P42830,CXCL5 ENA78 SCYB5,9606.ENSP00000296027
5,O43927,CXCL13 BCA1 BLC SCYB13,9606.ENSP00000286758
6,O95715,CXCL14 MIP2G NJAC SCYB14 PSEC0212 UNQ240/PRO273,9606.ENSP00000337065
7,O14625,CXCL11 ITAC SCYB11 SCYB9B,9606.ENSP00000306884
8,Q07325,CXCL9 CMK MIG SCYB9,9606.ENSP00000354901
9,P04141,CSF2 GMCSF,9606.ENSP00000296871
10,P02778,CXCL10 INP10 SCYB10,9606.ENSP00000305651
11,Q9H2A7,CXCL16 SCYB16 SRPSOX UNQ2759/PRO6714,9606.ENSP00000293778
12,P13236,CCL4 LAG1 MIP1B SCYA4,9606.ENSP00000250151
13,P01588,EPO,9606.ENSP00000252723
14,P09341,CXCL1 GRO GRO1 GROA MGSA SCYB1,9606.ENSP00000379110
15,Q8NHW4,CCL4L1 CCL4L LAG1 SCYA4L1; CCL4L2 CCL4L SCYA4L2,9606.ENSP00000405533
16,P80075,CCL8 MCP2 SCYA10 SCYA8,9606.ENSP00000378118
17,O00585,CCL21 SCYA21 UNQ784/PRO1600,9606.ENSP00000259607
18,P13500,CCL2 MCP1 SCYA2,9606.ENSP00000225831
19,Q9Y258,CCL26 SCYA26 UNQ216/PRO242,9606.ENSP00000005180
20,Q92583,CCL17 SCYA17 TARC,9606.ENSP00000219244
21,P80098,CCL7 MCP3 SCYA6 SCYA7,9606.ENSP00000367832
22,P78556,CCL20 LARC MIP3A SCYA20,9606.ENSP00000351671
23,P32970,CD70 CD27L CD27LG TNFSF7,9606.ENSP00000245903
24,P29965,CD40LG CD40L TNFSF5 TRAP,9606.ENSP00000359663
25,P13501,CCL5 D17S136E SCYA5,9606.ENSP00000293272
26,Q99731,CCL19 ELC MIP3B SCYA19,9606.ENSP00000308815
27,P22362,CCL1 SCYA1,9606.ENSP00000225842
28,Q9Y4X3,CCL27 ILC SCYA27,9606.ENSP00000259631
29,O00626,CCL22 MDC SCYA22 A-152E5.1,9606.ENSP00000219235
30,O00175,CCL24 MPIF2 SCYA24,9606.ENSP00000222902
31,O15444,CCL25 SCYA25 TECK,9606.ENSP00000375086
32,Q16663,CCL15 MIP5 NCC3 SCYA15,9606.ENSP00000432034
33,P55774,CCL18 AMAC1 DCCK1 MIP4 PARC SCYA18,9606.ENSP00000004921
34,P51671,CCL11 SCYA11,9606.ENSP00000302234
35,O15467,CCL16 ILINCK NCC4 SCYA16,9606.ENSP00000293275
36,P09919,CSF3 C17orf33 GCSF,9606.ENSP00000225474
37,P10147,CCL3 G0S19-1 MIP1A SCYA3,9606.ENSP00000225245
38,Q99616,CCL13 MCP4 NCC1 SCYA13,9606.ENSP00000225844
39,P09603,CSF1,9606.ENSP00000327513
40,P35225,IL13 NC30,9606.ENSP00000304915
41,Q6EBC2,IL31,9606.ENSP00000366234
42,P05113,IL5,9606.ENSP00000231454
43,P01584,IL1B IL1F2,9606.ENSP00000263341
44,Q9NPH9,IL26 AK155,9606.ENSP00000229134
45,P40933,IL15,9606.ENSP00000296545
46,Q9HBE4,IL21,9606.ENSP00000264497
47,Q9GZX6,IL22 ILTIF ZCYTO18 UNQ3099/PRO10096,9606.ENSP00000329384
48,P05112,IL4,9606.ENSP00000231449
49,Q14213,EBI3 IL27B,9606.ENSP00000221847
50,Q9P0M4,IL17C UNQ561/PRO1122,9606.ENSP00000244241
51,Q9H293,IL25 IL17E UNQ3120/PRO10272,9606.ENSP00000328111
52,Q8NEV9,IL27 IL27A IL30,9606.ENSP00000349365
53,P01562,IFNA1; IFNA13,9606.ENSP00000276927
54,Q14116,IL18 IGIF IL1F4,9606.ENSP00000280357
55,P20809,IL11,9606.ENSP00000264563
56,Q16552,IL17A CTLA8 IL17,9606.ENSP00000344192
57,Q13007,IL24 MDA7 ST16,9606.ENSP00000375795
58,P01574,IFNB1 IFB IFNB,9606.ENSP00000369581
59,P05013,IFNA6,9606.ENSP00000369558
60,P01579,IFNG,9606.ENSP00000229135
61,P01583,IL1A IL1F1,9606.ENSP00000263339
62,P14210,HGF HPTA,9606.ENSP00000222390
63,P09038,FGF2 FGFB,9606.ENSP00000264498
64,P05230,FGF1 FGFA,9606.ENSP00000338548
65,Q9P0W0,IFNK UNQ6124/PRO20084,9606.ENSP00000276943
66,P29459,IL12A NKSF1,9606.ENSP00000303231
67,Q8IU54,IFNL1 IL29 ZCYTO21,9606.ENSP00000329991
68,Q8IZJ0,IFNL2 IL28A ZCYTO20,9606.ENSP00000333639
69,P01563,IFNA2 IFNA2A IFNA2B IFNA2C,9606.ENSP00000369554
70,Q9UHD0,IL19 ZMDA1,9606.ENSP00000343000
71,Q9UHF5,IL17B IL20 NIRF ZCYTO7 UNQ516/PRO1031,9606.ENSP00000261796
72,P15248,IL9,9606.ENSP00000274520
73,P40225,THPO MGDF,9606.ENSP00000204615
74,Q9Y6Q6,TNFRSF11A RANK,9606.ENSP00000465500
75,P32971,TNFSF8 CD30L CD30LG,9606.ENSP00000223795
76,P41273,TNFSF9,9606.ENSP00000245817
77,P01375,TNF TNFA TNFSF2,9606.ENSP00000398698
78,O95150,TNFSF15 TL1 VEGI,9606.ENSP00000363157
79,O75888,TNFSF13 APRIL TALL2 ZTNF2 UNQ383/PRO715,9606.ENSP00000343505
80,O43557,TNFSF14 HVEML LIGHT UNQ391/PRO726,9606.ENSP00000469049
81,P01374,LTA TNFB TNFSF1,9606.ENSP00000403495
82,P23510,TNFSF4 TXGP1,9606.ENSP00000281834
83,P21583,KITLG MGF SCF,9606.ENSP00000228280
84,P48061,CXCL12 SDF1 SDF1A SDF1B,9606.ENSP00000379140
85,P10600,TGFB3,9606.ENSP00000238682
86,Q9Y275,TNFSF13B BAFF BLYS TALL1 TNFSF20 ZTNF4 UNQ401/PRO738,9606.ENSP00000365048
87,Q9HD89,RETN FIZZ3 HXCP1 RSTN UNQ407/PRO1199,9606.ENSP00000221515
88,P10720,PF4V1 CXCL4V1 SCYB4V1,9606.ENSP00000226524
89,P04085,PDGFA PDGF1,9606.ENSP00000346508
90,P01127,PDGFB PDGF2 SIS,9606.ENSP00000330382
91,P02776,PF4 CXCL4 SCYB4,9606.ENSP00000296029
92,P14174,MIF GLIF MMIF,9606.ENSP00000215754
93,P15018,LIF HILDA,9606.ENSP00000249075
94,Q9UBD9,CLCF1 BSF3 CLC NNT1,9606.ENSP00000309338
95,P47992,XCL1 LTN SCYC1,9606.ENSP00000356792
96,P78423,CX3CL1 FKN NTT SCYD1 A-152E5.2,9606.ENSP00000006053
97,P01137,TGFB1 TGFB,9606.ENSP00000221930
98,P01135,TGFA,9606.ENSP00000295400
99,Q9UBR5,CKLF CKLF1 HSPC224 UNQ410/PRO772,9606.ENSP00000264001
100,P16619,CCL3L1 D17S1718 G0S19-2 SCYA3L1; CCL3L3,9606.ENSP00000408984
101,Q99988,GDF15 MIC1 PDF PLAB PTGFB,9606.ENSP00000252809
102,P10451,SPP1 BNSP OPN PSEC0156,9606.ENSP00000378517
103,P13725,OSM,9606.ENSP00000215781
104,Q6ZMJ4,IL34 C16orf77,9606.ENSP00000288098
105,P22301,IL10,9606.ENSP00000412237
106,P29460,IL12B NKSF2,9606.ENSP00000231228
107,P10145,CXCL8 IL8,9606.ENSP00000306512
108,Q9NPF7,IL23A SGRF UNQ2498/PRO5798,9606.ENSP00000228534
109,Q9UBH0,IL36RN FIL1D IL1F5 IL1HY1 IL1L1 IL1RP3 UNQ1896/PRO4342,9606.ENSP00000259212
110,Q8WWZ1,IL1F10 FIL1T IL1HY2 IL38 FKSG75 UNQ6119/PRO20041,9606.ENSP00000341794
111,P13232,IL7,9606.ENSP00000263851
112,Q9NYY1,IL20 ZCYTO10 UNQ852/PRO1801,9606.ENSP00000356063
113,P08700,IL3,9606.ENSP00000296870
114,Q8IZI9,IFNL3 IL28B IL28C ZCYTO22,9606.ENSP00000409000
115,Q96PD4,IL17F,9606.ENSP00000337432
116,O95760,IL33 C9orf26 IL1F11 NFHEV,9606.ENSP00000370842
117,P18510,IL1RN IL1F3 IL1RA,9606.ENSP00000259206
118,Q9NZH8,IL36G IL1E IL1F9 IL1H1 IL1RP2 UNQ2456/PRO5737,9606.ENSP00000259205
119,P60568,IL2,9606.ENSP00000226730
120,P05231,IL6 IFNB2,9606.ENSP00000258743
121,O14960,LECT2,9606.ENSP00000274507
