cytokine,cell
IL2,CL_0000084
IFNG,CL_0000235
CXCL8,CL_0000775
IL2,CL_0000623
IL2,CL_0000542
CSF3,CL_0000775
IFNG,CL_0000084
IL4,CL_0000236
IL5,CL_0000771
TNF,CL_0000115
FGF2,CL_0000115
TGFB1,CL_0000057
TNF,CL_0000775
IFNG,CL_0000576
CSF1,CL_0000235
IL12,CL_0000084
TNF,CL_0000576
CSF3,CL_0000034
CSF2,CL_0000775
TNF,CL_0000235
TGFB,CL_0000057
IL10,CL_0000084
CCL2,CL_0000576
IL2,CL_0000792
IL2,CL_0000824
IL7,CL_0000084
CCL2,CL_0000235
IL12,CL_0000545
CCL11,CL_0000771
TNF,CL_0000182
CSF2,CL_0000235
TNF,CL_0000084
IL2,CL_0000236
CD40LG,CL_0000236
IL4,CL_0000084
FGF2,CL_0000540
IL2,CL_0000624
IL10,CL_0000235
IL15,CL_0000623
IFNG,CL_0000625
IL2,CL_0000625
IL1B,CL_0000138
IL12,CL_0000623
IL4,CL_0000235
IL6,CL_0000236
IL15,CL_0000084
CSF1,CL_0000092
TNF,CL_0000738
CSF2,CL_0000576
FGF2,CL_0000057
CSF3,CL_0000037
IL4,CL_0000546
IL10,CL_0000576
TNF,CL_0000057
IL1,CL_0000084
CSF3,CL_0000094
CSF2,CL_0000084
HGF,CL_0000066
TGFB,CL_0000084
IL6,CL_0000084
IFNG,CL_0000312
CSF3,CL_0002246
IL3,CL_0000767
CD40LG,CL_0000084
THPO,CL_0000233
IFNG,CL_0000624
TNF,CL_0000136
IL15,CL_0000625
PF4,CL_0000233
IFNA,CL_0000084
IL1,CL_0000057
IFNA,CL_0000623
TNF,CL_0000540
IFNG,CL_0000542
IL1B,CL_0000057
IL4,CL_0000576
EPO,CL_0000595
CSF2,CL_0000451
IL17,CL_0000775
IFNG,CL_0000623
EPO,CL_0000038
TNFSF9,CL_0000084
IL6,CL_0000235
TNF,CL_0000092
CSF3,CL_0000738
IL21,CL_0000236
IL6,CL_0000775
IL2,CL_0000910
TNFSF13B,CL_0000236
IL6,CL_0000057
TGFB1,CL_0000066
TGFB1,CL_0000235
IFNG,CL_0000775
TGFB1,CL_0000115
IL1B,CL_0000235
IFNG,CL_0000581
CSF2,CL_0000771
IL2,CL_0000893
