ID,Entry,Gene names,Cross-reference (STRING)
0,P80162,CXCL6 GCP2 SCYB6,9606.ENSP00000226317
1,P02775,PPBP CTAP3 CXCL7 SCYB7 TGB1 THBGB1,9606.ENSP00000296028
2,P19875,CXCL2 GRO2 GROB MIP2A SCYB2,9606.ENSP00000427279
3,P42830,CXCL5 ENA78 SCYB5,9606.ENSP00000296027
4,O43927,CXCL13 BCA1 BLC SCYB13,9606.ENSP00000286758
5,O95715,CXCL14 MIP2G NJAC SCYB14 PSEC0212 UNQ240/PRO273,9606.ENSP00000337065
6,O14625,CXCL11 ITAC SCYB11 SCYB9B,9606.ENSP00000306884
7,Q07325,CXCL9 CMK MIG SCYB9,9606.ENSP00000354901
8,P04141,CSF2 GMCSF,9606.ENSP00000296871
9,P02778,CXCL10 INP10 SCYB10,9606.ENSP00000305651
10,Q9H2A7,CXCL16 SCYB16 SRPSOX UNQ2759/PRO6714,9606.ENSP00000293778
11,P13236,CCL4 LAG1 MIP1B SCYA4,9606.ENSP00000250151
12,P01588,EPO,9606.ENSP00000252723
13,P09341,CXCL1 GRO GRO1 GROA MGSA SCYB1,9606.ENSP00000379110
14,Q8NHW4,CCL4L1 CCL4L LAG1 SCYA4L1; CCL4L2 CCL4L SCYA4L2,9606.ENSP00000405533
15,P80075,CCL8 MCP2 SCYA10 SCYA8,9606.ENSP00000378118
16,O00585,CCL21 SCYA21 UNQ784/PRO1600,9606.ENSP00000259607
17,P13500,CCL2 MCP1 SCYA2,9606.ENSP00000225831
18,Q9Y258,CCL26 SCYA26 UNQ216/PRO242,9606.ENSP00000005180
19,Q92583,CCL17 SCYA17 TARC,9606.ENSP00000219244
20,P80098,CCL7 MCP3 SCYA6 SCYA7,9606.ENSP00000367832
21,P78556,CCL20 LARC MIP3A SCYA20,9606.ENSP00000351671
22,P32970,CD70 CD27L CD27LG TNFSF7,9606.ENSP00000245903
23,P29965,CD40LG CD40L TNFSF5 TRAP,9606.ENSP00000359663
24,P13501,CCL5 D17S136E SCYA5,9606.ENSP00000293272
25,Q99731,CCL19 ELC MIP3B SCYA19,9606.ENSP00000308815
26,P22362,CCL1 SCYA1,9606.ENSP00000225842
27,Q9Y4X3,CCL27 ILC SCYA27,9606.ENSP00000259631
28,O00626,CCL22 MDC SCYA22 A-152E5.1,9606.ENSP00000219235
29,O00175,CCL24 MPIF2 SCYA24,9606.ENSP00000222902
30,O15444,CCL25 SCYA25 TECK,9606.ENSP00000375086
31,Q16663,CCL15 MIP5 NCC3 SCYA15,9606.ENSP00000432034
32,P55774,CCL18 AMAC1 DCCK1 MIP4 PARC SCYA18,9606.ENSP00000004921
33,P51671,CCL11 SCYA11,9606.ENSP00000302234
34,O15467,CCL16 ILINCK NCC4 SCYA16,9606.ENSP00000293275
35,P09919,CSF3 C17orf33 GCSF,9606.ENSP00000225474
36,P10147,CCL3 G0S19-1 MIP1A SCYA3,9606.ENSP00000225245
37,Q99616,CCL13 MCP4 NCC1 SCYA13,9606.ENSP00000225844
38,P09603,CSF1,9606.ENSP00000327513
39,P35225,IL13 NC30,9606.ENSP00000304915
40,Q6EBC2,IL31,9606.ENSP00000366234
41,P05113,IL5,9606.ENSP00000231454
42,P01584,IL1B IL1F2,9606.ENSP00000263341
