,1-10,11-30,31-75,all
M-aupr,0.06753946063354042,0.28999285393076385,0.5567996371423919,0.12423497446854467
M-auc,0.4813930560231578,0.6466738514604443,0.6583955227526774,0.5125368483901522
aupr_list,"[0.014925373134328358, 0.06964006259780907, 0.11335125448028674, 0.00980392156862745, 0.055190989064933506, 0.2418721334687721, 0.008849557522123894, 0.13445190041828697, 0.023064687168610817, 0.03492063492063492, 0.018367961457392352, 0.012048192771084338, 0.03733733733733734, 0.2133838383838384, 0.03571428571428571, 0.14144183989385228, 0.06425124533001246, 0.19896709917229755, 0.16386773136773136, 0.3227824463118581, 0.23723391542914016, 0.019230769230769232, 0.10849625285109155, 0.06930944706174064, 0.18517082917082917, 0.036275859192525864, 0.009345794392523364, 0.05608309339974568, 0.00980392156862745, 0.13337428616931724, 0.022584750740090545, 0.21834768545294858, 0.02904040404040404, 0.23597976110732927, 0.030303030303030304, 0.24885157430924024, 0.04006568144499179, 0.010752688172043012, 0.11985597563537825, 0.01691017316017316, 0.2913731414665545, 0.02631578947368421, 0.047619047619047616, 0.0451213162848383, 0.14964494569757725, 0.16666666666666666, 0.010638297872340425, 0.10665428300535981, 0.013157894736842105, 0.10274676590466064, 0.07439024390243902, 0.04778069911795088, 0.0196078431372549, 0.07472826086956522, 0.04269586622527799, 0.034482758620689655, 0.06083916083916084, 0.011235955056179775, 0.01639344262295082, 0.01, 0.463992673992674, 0.03255052767821585, 0.23495361781076063, 0.01, 0.009433962264150943, 0.15505050505050505, 0.1, 0.08689024390243902, 0.037142857142857144, 0.024697028262204133, 0.05, 0.02023338979860719, 0.20026595030026528, 0.173952972625539, 0.09851190476190476, 0.015384615384615385, 0.010638297872340425, 0.009259259259259259, 0.0639945652173913, 0.12490700728496168, 0.015151515151515152, 0.017105263157894735, 0.0620906432748538, 0.18787318162318162, 0.052167443064182195, 0.05572755417956656, 0.009900990099009901, 0.018518518518518517, 0.22017066085693535, 0.009523809523809525, 0.018518518518518517, 0.018205892088712344, 0.011111111111111112, 0.1378132199862974, 0.009259259259259259, 0.01568562243653697, 0.03575581395348837, 0.15984681353564006, 0.017543859649122806, 0.025095151126078963, 0.022293309527352083, 0.03684210526315789, 0.010638297872340425, 0.043699421093891334, 0.014854426619132503, 0.18257372478268002, 0.009433962264150943, 0.010416666666666666, 0.053854497354497356, 0.10585975525443542, 0.01733351603178953, 0.04647994915957668, 0.050937081659973224, 0.01610062893081761, 0.05318142602452759, 0.008771929824561403, 0.06666666666666667, 0.010309278350515464, 0.027419354838709678, 0.021739130434782608, 0.02337718123800598, 0.010309278350515464, 0.031981067663124016, 0.027051561365286855, 0.09635083109951827, 0.02631578947368421, 0.012345679012345678, 0.016666666666666666, 0.04168286565077748, 0.17435203441607305, 0.009259259259259259, 0.019854511851324416, 0.19954212454212455, 0.01685024914765277, 0.023796791443850267, 0.011764705882352941, 0.046583850931677016, 0.18401147828327505, 0.24638446766266314, 0.009433962264150943, 0.01282051282051282, 0.008928571428571428, 0.044311657789918656, 0.014285714285714285, 0.022222222222222223, 0.013847209122867188, 0.14285714285714285, 0.08500417710944026, 0.01282051282051282, 0.01, 0.02564102564102564, 0.027203955464825035, 0.0304960740276972, 0.009259259259259259, 0.038461538461538464, 0.023809523809523808, 0.07045454545454546, 0.008928571428571428, 0.37265464323968156, 0.06666666666666667, 0.017316017316017316, 0.043697478991596636, 0.019230769230769232, 0.037434137499108934, 0.21822803195352214, 0.020833333333333332, 0.03736413043478261, 0.014492753623188406, 0.015625, 0.27160177595628415, 0.010309278350515464, 0.03035060177917321, 0.2556098073633379, 0.10297864297864298, 0.02127659574468085, 0.06564284628580114, 0.010101010101010102, 0.02040816326530612, 0.1824595078461058, 0.2791385135135135, 0.013333333333333334, 0.03260302556077204, 0.012987012987012988, 0.03456221198156682, 0.009900990099009901, 0.022222222222222223, 0.015384615384615385, 0.02982456140350877, 0.031235750113999088, 0.014753111200321155, 0.017148526077097506, 0.011627906976744186, 0.011627906976744186, 0.03333333333333333, 0.06408939271745384, 0.12241611831951571, 0.11006889564336372, 0.0125, 0.2838062522273048, 0.03074824945729867, 0.11282051282051282, 0.036630036630036625, 0.009174311926605505, 0.0239010989010989, 0.03380064785673298, 0.015384615384615385, 0.02631578947368421, 0.04298245614035087, 0.012195121951219513, 0.014536003080477474, 0.03774928774928775, 0.013926568999819134, 0.1997722500371386, 0.05, 0.18141025641025643, 0.012345679012345678, 0.1427050727050727, 0.016129032258064516, 0.020833333333333332]","[0.39865553444274604, 0.47651322005282837, 0.26131103026308455, 0.27079714963098395, 0.3833947239157025, 0.518694110495127, 0.3665985702322602, 0.11884302607355332, 0.33492656405305987, 0.12559286457676216, 0.4244950104326515, 0.4780095948108881, 0.23729364703066402, 0.413168529155302, 0.190198677321727, 0.24885157430924024, 0.5549313880623735, 0.14613376196858407, 0.4915535020881887, 0.2634979626430119, 0.23476388230824496, 0.33360551260744, 0.24500478627966574, 0.36730056878621153, 0.3367938684298387, 0.28214853226087155, 0.15761717498248254, 0.26090605085635193, 0.29988840955884744, 0.18787318162318162, 0.2312669212306388, 0.2609690943322719, 0.1378132199862974, 0.3431003412211018, 0.3648697438779935, 0.17435203441607305, 0.14063050869276644, 0.3349050316193733, 0.29529665387766235, 0.37265464323968156, 0.185195276193034, 0.1375936410759947, 0.19434046832949303, 0.1773355856093581]","[0.3886501703247053, 0.6662123994334752, 0.546577023792485, 0.6249695999208352, 0.5195384959362652, 0.7225522965935925, 0.5361024360279646, 0.452984756194945, 0.6072170760934333, 0.42757847940489524, 0.710024165556781, 0.4366320894278179, 0.5993562941438992]","[0.014925373134328358, 0.06964006259780907, 0.11335125448028674, 0.00980392156862745, 0.055190989064933506, 0.39865553444274604, 0.47651322005282837, 0.2418721334687721, 0.008849557522123894, 0.13445190041828697, 0.023064687168610817, 0.03492063492063492, 0.018367961457392352, 0.012048192771084338, 0.26131103026308455, 0.3886501703247053, 0.03733733733733734, 0.2133838383838384, 0.27079714963098395, 0.03571428571428571, 0.3833947239157025, 0.14144183989385228, 0.06425124533001246, 0.19896709917229755, 0.6662123994334752, 0.16386773136773136, 0.518694110495127, 0.3227824463118581, 0.23723391542914016, 0.3665985702322602, 0.019230769230769232, 0.10849625285109155, 0.06930944706174064, 0.18517082917082917, 0.546577023792485, 0.036275859192525864, 0.009345794392523364, 0.05608309339974568, 0.11884302607355332, 0.33492656405305987, 0.12559286457676216, 0.4244950104326515, 0.00980392156862745, 0.4780095948108881, 0.13337428616931724, 0.23729364703066402, 0.022584750740090545, 0.413168529155302, 0.21834768545294858, 0.190198677321727, 0.02904040404040404, 0.23597976110732927, 0.030303030303030304, 0.24885157430924024, 0.04006568144499179, 0.5549313880623735, 0.010752688172043012, 0.11985597563537825, 0.01691017316017316, 0.2913731414665545, 0.02631578947368421, 0.047619047619047616, 0.14613376196858407, 0.0451213162848383, 0.14964494569757725, 0.16666666666666666, 0.010638297872340425, 0.10665428300535981, 0.4915535020881887, 0.6249695999208352, 0.5195384959362652, 0.013157894736842105, 0.2634979626430119, 0.10274676590466064, 0.07439024390243902, 0.04778069911795088, 0.0196078431372549, 0.23476388230824496, 0.07472826086956522, 0.04269586622527799, 0.034482758620689655, 0.06083916083916084, 0.011235955056179775, 0.01639344262295082, 0.01, 0.33360551260744, 0.463992673992674, 0.03255052767821585, 0.24500478627966574, 0.23495361781076063, 0.01, 0.009433962264150943, 0.15505050505050505, 0.1, 0.36730056878621153, 0.08689024390243902, 0.7225522965935925, 0.3367938684298387, 0.28214853226087155, 0.037142857142857144, 0.15761717498248254, 0.26090605085635193, 0.024697028262204133, 0.05, 0.02023338979860719, 0.5361024360279646, 0.29988840955884744, 0.20026595030026528, 0.173952972625539, 0.09851190476190476, 0.015384615384615385, 0.010638297872340425, 0.009259259259259259, 0.0639945652173913, 0.452984756194945, 0.6072170760934333, 0.42757847940489524, 0.12490700728496168, 0.015151515151515152, 0.017105263157894735, 0.0620906432748538, 0.18787318162318162, 0.052167443064182195, 0.05572755417956656, 0.009900990099009901, 0.018518518518518517, 0.22017066085693535, 0.009523809523809525, 0.018518518518518517, 0.710024165556781, 0.018205892088712344, 0.2312669212306388, 0.2609690943322719, 0.011111111111111112, 0.1378132199862974, 0.4366320894278179, 0.5993562941438992, 0.009259259259259259, 0.01568562243653697, 0.03575581395348837, 0.15984681353564006, 0.017543859649122806, 0.025095151126078963, 0.022293309527352083, 0.03684210526315789, 0.3431003412211018, 0.010638297872340425, 0.043699421093891334, 0.014854426619132503, 0.18257372478268002, 0.009433962264150943, 0.010416666666666666, 0.053854497354497356, 0.10585975525443542, 0.3648697438779935, 0.01733351603178953, 0.04647994915957668, 0.050937081659973224, 0.01610062893081761, 0.05318142602452759, 0.008771929824561403, 0.06666666666666667, 0.010309278350515464, 0.027419354838709678, 0.021739130434782608, 0.02337718123800598, 0.010309278350515464, 0.031981067663124016, 0.027051561365286855, 0.09635083109951827, 0.02631578947368421, 0.012345679012345678, 0.016666666666666666, 0.04168286565077748, 0.17435203441607305, 0.009259259259259259, 0.019854511851324416, 0.19954212454212455, 0.14063050869276644, 0.01685024914765277, 0.023796791443850267, 0.011764705882352941, 0.046583850931677016, 0.3349050316193733, 0.18401147828327505, 0.24638446766266314, 0.009433962264150943, 0.01282051282051282, 0.008928571428571428, 0.044311657789918656, 0.014285714285714285, 0.022222222222222223, 0.013847209122867188, 0.14285714285714285, 0.08500417710944026, 0.01282051282051282, 0.01, 0.02564102564102564, 0.027203955464825035, 0.0304960740276972, 0.009259259259259259, 0.038461538461538464, 0.023809523809523808, 0.29529665387766235, 0.07045454545454546, 0.008928571428571428, 0.37265464323968156, 0.185195276193034, 0.06666666666666667, 0.017316017316017316, 0.043697478991596636, 0.019230769230769232, 0.037434137499108934, 0.21822803195352214, 0.020833333333333332, 0.03736413043478261, 0.014492753623188406, 0.015625, 0.27160177595628415, 0.010309278350515464, 0.1375936410759947, 0.03035060177917321, 0.2556098073633379, 0.10297864297864298, 0.02127659574468085, 0.06564284628580114, 0.010101010101010102, 0.02040816326530612, 0.1824595078461058, 0.2791385135135135, 0.013333333333333334, 0.03260302556077204, 0.012987012987012988, 0.03456221198156682, 0.009900990099009901, 0.022222222222222223, 0.015384615384615385, 0.02982456140350877, 0.031235750113999088, 0.014753111200321155, 0.017148526077097506, 0.011627906976744186, 0.011627906976744186, 0.03333333333333333, 0.06408939271745384, 0.12241611831951571, 0.11006889564336372, 0.19434046832949303, 0.0125, 0.2838062522273048, 0.03074824945729867, 0.1773355856093581, 0.11282051282051282, 0.036630036630036625, 0.009174311926605505, 0.0239010989010989, 0.03380064785673298, 0.015384615384615385, 0.02631578947368421, 0.04298245614035087, 0.012195121951219513, 0.014536003080477474, 0.03774928774928775, 0.013926568999819134, 0.1997722500371386, 0.05, 0.18141025641025643, 0.012345679012345678, 0.1427050727050727, 0.016129032258064516, 0.020833333333333332]"
num_pos_list,"[1.0, 2.0, 3.0, 1.0, 6.0, 7.0, 1.0, 7.0, 2.0, 2.0, 2.0, 1.0, 3.0, 3.0, 1.0, 4.0, 4.0, 5.0, 5.0, 8.0, 8.0, 1.0, 5.0, 4.0, 5.0, 3.0, 1.0, 5.0, 1.0, 7.0, 3.0, 6.0, 2.0, 9.0, 1.0, 10.0, 3.0, 1.0, 9.0, 2.0, 7.0, 1.0, 1.0, 5.0, 5.0, 1.0, 1.0, 5.0, 1.0, 6.0, 3.0, 7.0, 1.0, 2.0, 3.0, 1.0, 2.0, 1.0, 1.0, 1.0, 7.0, 3.0, 5.0, 1.0, 1.0, 3.0, 1.0, 2.0, 2.0, 3.0, 1.0, 2.0, 7.0, 7.0, 4.0, 1.0, 1.0, 1.0, 4.0, 8.0, 1.0, 2.0, 5.0, 10.0, 4.0, 2.0, 1.0, 1.0, 6.0, 1.0, 1.0, 2.0, 1.0, 10.0, 1.0, 2.0, 2.0, 8.0, 1.0, 4.0, 3.0, 2.0, 1.0, 5.0, 2.0, 5.0, 1.0, 1.0, 5.0, 6.0, 2.0, 4.0, 3.0, 2.0, 4.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0, 1.0, 4.0, 2.0, 6.0, 1.0, 1.0, 1.0, 7.0, 10.0, 1.0, 3.0, 8.0, 2.0, 2.0, 1.0, 2.0, 9.0, 7.0, 1.0, 1.0, 1.0, 5.0, 1.0, 1.0, 2.0, 1.0, 3.0, 1.0, 1.0, 1.0, 4.0, 4.0, 1.0, 1.0, 1.0, 2.0, 1.0, 10.0, 1.0, 2.0, 2.0, 1.0, 4.0, 3.0, 1.0, 2.0, 1.0, 1.0, 4.0, 1.0, 3.0, 8.0, 5.0, 1.0, 5.0, 1.0, 1.0, 7.0, 4.0, 1.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 4.0, 6.0, 5.0, 1.0, 7.0, 4.0, 2.0, 2.0, 1.0, 2.0, 5.0, 1.0, 1.0, 2.0, 1.0, 2.0, 2.0, 2.0, 6.0, 1.0, 5.0, 1.0, 6.0, 1.0, 1.0]","[26.0, 22.0, 15.0, 18.0, 26.0, 28.0, 22.0, 11.0, 17.0, 11.0, 27.0, 19.0, 12.0, 16.0, 12.0, 10.0, 26.0, 11.0, 26.0, 27.0, 12.0, 22.0, 20.0, 27.0, 25.0, 20.0, 12.0, 11.0, 13.0, 10.0, 22.0, 16.0, 10.0, 23.0, 12.0, 10.0, 13.0, 11.0, 13.0, 10.0, 11.0, 13.0, 11.0, 11.0]","[33.0, 59.0, 43.0, 49.0, 40.0, 38.0, 40.0, 36.0, 41.0, 34.0, 46.0, 32.0, 48.0]","[1.0, 2.0, 3.0, 1.0, 6.0, 26.0, 22.0, 7.0, 1.0, 7.0, 2.0, 2.0, 2.0, 1.0, 15.0, 33.0, 3.0, 3.0, 18.0, 1.0, 26.0, 4.0, 4.0, 5.0, 59.0, 5.0, 28.0, 8.0, 8.0, 22.0, 1.0, 5.0, 4.0, 5.0, 43.0, 3.0, 1.0, 5.0, 11.0, 17.0, 11.0, 27.0, 1.0, 19.0, 7.0, 12.0, 3.0, 16.0, 6.0, 12.0, 2.0, 9.0, 1.0, 10.0, 3.0, 26.0, 1.0, 9.0, 2.0, 7.0, 1.0, 1.0, 11.0, 5.0, 5.0, 1.0, 1.0, 5.0, 26.0, 49.0, 40.0, 1.0, 27.0, 6.0, 3.0, 7.0, 1.0, 12.0, 2.0, 3.0, 1.0, 2.0, 1.0, 1.0, 1.0, 22.0, 7.0, 3.0, 20.0, 5.0, 1.0, 1.0, 3.0, 1.0, 27.0, 2.0, 38.0, 25.0, 20.0, 2.0, 12.0, 11.0, 3.0, 1.0, 2.0, 40.0, 13.0, 7.0, 7.0, 4.0, 1.0, 1.0, 1.0, 4.0, 36.0, 41.0, 34.0, 8.0, 1.0, 2.0, 5.0, 10.0, 4.0, 2.0, 1.0, 1.0, 6.0, 1.0, 1.0, 46.0, 2.0, 22.0, 16.0, 1.0, 10.0, 32.0, 48.0, 1.0, 2.0, 2.0, 8.0, 1.0, 4.0, 3.0, 2.0, 23.0, 1.0, 5.0, 2.0, 5.0, 1.0, 1.0, 5.0, 6.0, 12.0, 2.0, 4.0, 3.0, 2.0, 4.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0, 1.0, 4.0, 2.0, 6.0, 1.0, 1.0, 1.0, 7.0, 10.0, 1.0, 3.0, 8.0, 13.0, 2.0, 2.0, 1.0, 2.0, 11.0, 9.0, 7.0, 1.0, 1.0, 1.0, 5.0, 1.0, 1.0, 2.0, 1.0, 3.0, 1.0, 1.0, 1.0, 4.0, 4.0, 1.0, 1.0, 1.0, 13.0, 2.0, 1.0, 10.0, 11.0, 1.0, 2.0, 2.0, 1.0, 4.0, 3.0, 1.0, 2.0, 1.0, 1.0, 4.0, 1.0, 13.0, 3.0, 8.0, 5.0, 1.0, 5.0, 1.0, 1.0, 7.0, 4.0, 1.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 4.0, 6.0, 5.0, 11.0, 1.0, 7.0, 4.0, 11.0, 2.0, 2.0, 1.0, 2.0, 5.0, 1.0, 1.0, 2.0, 1.0, 2.0, 2.0, 2.0, 6.0, 1.0, 5.0, 1.0, 6.0, 1.0, 1.0]"
auc_list,"[0.415929203539823, 0.65625, 0.7657657657657657, 0.10619469026548678, 0.45987654320987653, 0.7823765020026701, 0.008849557522123908, 0.630173564753004, 0.4196428571428571, 0.5178571428571428, 0.2857142857142857, 0.2743362831858407, 0.5495495495495495, 0.9039039039039038, 0.7610619469026548, 0.8431818181818181, 0.5386363636363636, 0.781651376146789, 0.7027522935779816, 0.8537735849056605, 0.6179245283018868, 0.5486725663716814, 0.6440366972477064, 0.4568181818181818, 0.6862385321100917, 0.5375375375375375, 0.06194690265486724, 0.5229357798165137, 0.10619469026548678, 0.6995994659546061, 0.24324324324324323, 0.6651234567901234, 0.5580357142857143, 0.6497354497354497, 0.7168141592920354, 0.8096153846153846, 0.5825825825825826, 0.18584070796460173, 0.5195767195767196, 0.24107142857142855, 0.7730307076101468, 0.6725663716814159, 0.8230088495575221, 0.42935779816513764, 0.6403669724770642, 0.9557522123893806, 0.17699115044247793, 0.5926605504587156, 0.33628318584070793, 0.7253086419753086, 0.7687687687687687, 0.30841121495327106, 0.5575221238938053, 0.8392857142857143, 0.5375375375375375, 0.752212389380531, 0.6741071428571428, 0.22123893805309736, 0.4690265486725663, 0.12389380530973448, 0.9345794392523364, 0.4774774774774775, 0.8458715596330275, 0.12389380530973448, 0.07079646017699115, 0.8618618618618618, 0.9203539823008849, 0.7946428571428572, 0.5848214285714286, 0.31531531531531526, 0.831858407079646, 0.3616071428571429, 0.5914552736982643, 0.5954606141522029, 0.7704545454545455, 0.4336283185840708, 0.17699115044247793, 0.053097345132743334, 0.6454545454545455, 0.6533018867924528, 0.4247787610619469, 0.23660714285714285, 0.5834862385321101, 0.7153846153846154, 0.6090909090909091, 0.7767857142857143, 0.11504424778761058, 0.5309734513274336, 0.7407407407407407, 0.07964601769911506, 0.5309734513274336, 0.26785714285714285, 0.21238938053097345, 0.5788461538461538, 0.053097345132743334, 0.16517857142857145, 0.6428571428571428, 0.5990566037735849, 0.504424778761062, 0.14090909090909093, 0.23123123123123124, 0.5044642857142857, 0.17699115044247793, 0.4238532110091743, 0.11607142857142855, 0.7559633027522936, 0.07079646017699115, 0.15929203539823011, 0.46972477064220186, 0.5185185185185185, 0.25, 0.49772727272727274, 0.5525525525525525, 0.20535714285714285, 0.6090909090909091, 0.0, 0.8761061946902655, 0.1504424778761062, 0.4642857142857143, 0.6017699115044248, 0.25825825825825827, 0.1504424778761062, 0.23863636363636365, 0.5, 0.4089506172839506, 0.6725663716814159, 0.2920353982300885, 0.47787610619469023, 0.19759679572763683, 0.6538461538461539, 0.053097345132743334, 0.14114114114114112, 0.7724056603773585, 0.23214285714285715, 0.4642857142857143, 0.2566371681415929, 0.5401785714285714, 0.7068783068783069, 0.8758344459279038, 0.07079646017699115, 0.31858407079646023, 0.017699115044247815, 0.4201834862385321, 0.3893805309734514, 0.6106194690265487, 0.04910714285714285, 0.9469026548672567, 0.6606606606606606, 0.31858407079646023, 0.12389380530973448, 0.663716814159292, 0.22727272727272727, 0.2863636363636363, 0.053097345132743334, 0.7787610619469026, 0.6371681415929203, 0.7857142857142857, 0.017699115044247815, 0.7826923076923077, 0.8761061946902655, 0.24553571428571425, 0.625, 0.5486725663716814, 0.40454545454545454, 0.7177177177177176, 0.584070796460177, 0.625, 0.3982300884955752, 0.4424778761061947, 0.8318181818181819, 0.1504424778761062, 0.3723723723723723, 0.7759433962264151, 0.6036697247706422, 0.5929203539823009, 0.46422018348623856, 0.1327433628318584, 0.5752212389380531, 0.5367156208277704, 0.7318181818181817, 0.34513274336283184, 0.5758928571428571, 0.327433628318584, 0.5044642857142857, 0.11504424778761058, 0.6106194690265487, 0.4336283185840708, 0.5401785714285714, 0.59375, 0.12053571428571425, 0.25446428571428575, 0.24778761061946908, 0.24778761061946908, 0.7433628318584071, 0.6545454545454545, 0.5879629629629629, 0.7357798165137615, 0.3008849557522124, 0.8157543391188251, 0.32045454545454544, 0.6428571428571428, 0.5714285714285714, 0.04424778761061943, 0.46875, 0.25871559633027524, 0.4336283185840708, 0.6725663716814159, 0.6607142857142857, 0.2831858407079646, 0.1026785714285714, 0.6607142857142858, 0.07142857142857145, 0.654320987654321, 0.831858407079646, 0.8366972477064221, 0.2920353982300885, 0.6589506172839505, 0.4601769911504425, 0.584070796460177]","[0.7508741258741258, 0.7341897233201581, 0.686868686868687, 0.542824074074074, 0.5887237762237763, 0.7196843853820598, 0.7114624505928854, 0.4854368932038835, 0.750758035172832, 0.4916151809355693, 0.6909323116219668, 0.7927977839335181, 0.6045751633986928, 0.784438775510204, 0.5392156862745099, 0.8096153846153846, 0.701486013986014, 0.5233892321270962, 0.7718531468531469, 0.5232013622818221, 0.4746732026143791, 0.6793478260869564, 0.5755319148936171, 0.5968497232865049, 0.6835955056179776, 0.6414893617021277, 0.6176470588235294, 0.7502206531332745, 0.7364813404417365, 0.7153846153846154, 0.567193675889328, 0.659438775510204, 0.5788461538461538, 0.6674629718107978, 0.6323529411764706, 0.6538461538461539, 0.5833968012185834, 0.706972639011474, 0.7844630616907845, 0.7826923076923077, 0.5463371579876435, 0.49809596344249807, 0.4748455428067078, 0.6425419240953222]","[0.55331088664422, 0.6810477657935285, 0.643956763838847, 0.6480376766091052, 0.6114864864864865, 0.8078254847645429, 0.6729729729729729, 0.5801282051282052, 0.7180086869361845, 0.6294117647058823, 0.7330562659846548, 0.6208079268292682, 0.6590909090909092]","[0.415929203539823, 0.65625, 0.7657657657657657, 0.10619469026548678, 0.45987654320987653, 0.7508741258741258, 0.7341897233201581, 0.7823765020026701, 0.008849557522123908, 0.630173564753004, 0.4196428571428571, 0.5178571428571428, 0.2857142857142857, 0.2743362831858407, 0.686868686868687, 0.55331088664422, 0.5495495495495495, 0.9039039039039038, 0.542824074074074, 0.7610619469026548, 0.5887237762237763, 0.8431818181818181, 0.5386363636363636, 0.781651376146789, 0.6810477657935285, 0.7027522935779816, 0.7196843853820598, 0.8537735849056605, 0.6179245283018868, 0.7114624505928854, 0.5486725663716814, 0.6440366972477064, 0.4568181818181818, 0.6862385321100917, 0.643956763838847, 0.5375375375375375, 0.06194690265486724, 0.5229357798165137, 0.4854368932038835, 0.750758035172832, 0.4916151809355693, 0.6909323116219668, 0.10619469026548678, 0.7927977839335181, 0.6995994659546061, 0.6045751633986928, 0.24324324324324323, 0.784438775510204, 0.6651234567901234, 0.5392156862745099, 0.5580357142857143, 0.6497354497354497, 0.7168141592920354, 0.8096153846153846, 0.5825825825825826, 0.701486013986014, 0.18584070796460173, 0.5195767195767196, 0.24107142857142855, 0.7730307076101468, 0.6725663716814159, 0.8230088495575221, 0.5233892321270962, 0.42935779816513764, 0.6403669724770642, 0.9557522123893806, 0.17699115044247793, 0.5926605504587156, 0.7718531468531469, 0.6480376766091052, 0.6114864864864865, 0.33628318584070793, 0.5232013622818221, 0.7253086419753086, 0.7687687687687687, 0.30841121495327106, 0.5575221238938053, 0.4746732026143791, 0.8392857142857143, 0.5375375375375375, 0.752212389380531, 0.6741071428571428, 0.22123893805309736, 0.4690265486725663, 0.12389380530973448, 0.6793478260869564, 0.9345794392523364, 0.4774774774774775, 0.5755319148936171, 0.8458715596330275, 0.12389380530973448, 0.07079646017699115, 0.8618618618618618, 0.9203539823008849, 0.5968497232865049, 0.7946428571428572, 0.8078254847645429, 0.6835955056179776, 0.6414893617021277, 0.5848214285714286, 0.6176470588235294, 0.7502206531332745, 0.31531531531531526, 0.831858407079646, 0.3616071428571429, 0.6729729729729729, 0.7364813404417365, 0.5914552736982643, 0.5954606141522029, 0.7704545454545455, 0.4336283185840708, 0.17699115044247793, 0.053097345132743334, 0.6454545454545455, 0.5801282051282052, 0.7180086869361845, 0.6294117647058823, 0.6533018867924528, 0.4247787610619469, 0.23660714285714285, 0.5834862385321101, 0.7153846153846154, 0.6090909090909091, 0.7767857142857143, 0.11504424778761058, 0.5309734513274336, 0.7407407407407407, 0.07964601769911506, 0.5309734513274336, 0.7330562659846548, 0.26785714285714285, 0.567193675889328, 0.659438775510204, 0.21238938053097345, 0.5788461538461538, 0.6208079268292682, 0.6590909090909092, 0.053097345132743334, 0.16517857142857145, 0.6428571428571428, 0.5990566037735849, 0.504424778761062, 0.14090909090909093, 0.23123123123123124, 0.5044642857142857, 0.6674629718107978, 0.17699115044247793, 0.4238532110091743, 0.11607142857142855, 0.7559633027522936, 0.07079646017699115, 0.15929203539823011, 0.46972477064220186, 0.5185185185185185, 0.6323529411764706, 0.25, 0.49772727272727274, 0.5525525525525525, 0.20535714285714285, 0.6090909090909091, 0.0, 0.8761061946902655, 0.1504424778761062, 0.4642857142857143, 0.6017699115044248, 0.25825825825825827, 0.1504424778761062, 0.23863636363636365, 0.5, 0.4089506172839506, 0.6725663716814159, 0.2920353982300885, 0.47787610619469023, 0.19759679572763683, 0.6538461538461539, 0.053097345132743334, 0.14114114114114112, 0.7724056603773585, 0.5833968012185834, 0.23214285714285715, 0.4642857142857143, 0.2566371681415929, 0.5401785714285714, 0.706972639011474, 0.7068783068783069, 0.8758344459279038, 0.07079646017699115, 0.31858407079646023, 0.017699115044247815, 0.4201834862385321, 0.3893805309734514, 0.6106194690265487, 0.04910714285714285, 0.9469026548672567, 0.6606606606606606, 0.31858407079646023, 0.12389380530973448, 0.663716814159292, 0.22727272727272727, 0.2863636363636363, 0.053097345132743334, 0.7787610619469026, 0.6371681415929203, 0.7844630616907845, 0.7857142857142857, 0.017699115044247815, 0.7826923076923077, 0.5463371579876435, 0.8761061946902655, 0.24553571428571425, 0.625, 0.5486725663716814, 0.40454545454545454, 0.7177177177177176, 0.584070796460177, 0.625, 0.3982300884955752, 0.4424778761061947, 0.8318181818181819, 0.1504424778761062, 0.49809596344249807, 0.3723723723723723, 0.7759433962264151, 0.6036697247706422, 0.5929203539823009, 0.46422018348623856, 0.1327433628318584, 0.5752212389380531, 0.5367156208277704, 0.7318181818181817, 0.34513274336283184, 0.5758928571428571, 0.327433628318584, 0.5044642857142857, 0.11504424778761058, 0.6106194690265487, 0.4336283185840708, 0.5401785714285714, 0.59375, 0.12053571428571425, 0.25446428571428575, 0.24778761061946908, 0.24778761061946908, 0.7433628318584071, 0.6545454545454545, 0.5879629629629629, 0.7357798165137615, 0.4748455428067078, 0.3008849557522124, 0.8157543391188251, 0.32045454545454544, 0.6425419240953222, 0.6428571428571428, 0.5714285714285714, 0.04424778761061943, 0.46875, 0.25871559633027524, 0.4336283185840708, 0.6725663716814159, 0.6607142857142857, 0.2831858407079646, 0.1026785714285714, 0.6607142857142858, 0.07142857142857145, 0.654320987654321, 0.831858407079646, 0.8366972477064221, 0.2920353982300885, 0.6589506172839505, 0.4601769911504425, 0.584070796460177]"
m-aupr,0.04685329179810151,0.24101208080733627,0.5025983471094149,0.2781913784505483
m-auc,0.6343018239223037,0.6592107425479736,0.6443022210330195,0.7991761773097518
F-max,0.1084070796460177,0.3290488431876607,0.5494901019796041,0.35779621357158053
t_max,0.07,0.15,0.2,0.15
p_max,0.08484848484848485,0.26556016597510373,0.40602836879432624,0.2983327421071302
