cytokine,cell
IL2,CL_0000084
IL10,CL_0000084
IFNG,CL_0000235
IFNG,CL_0000084
TNF,CL_0000235
CXCL8,CL_0000775
IL10,CL_0000235
IL10,CL_0000576
TGFB,CL_0000084
CCL2,CL_0000235
TNF,CL_0000136
CSF3,CL_0000775
IL5,CL_0000771
TNF,CL_0000775
IL4,CL_0000576
IFNG,CL_0000576
TNF,CL_0000576
IFNG,CL_0000236
IL4,CL_0000236
CCL2,CL_0000576
TNF,CL_0000115
IL2,CL_0000623
IL12,CL_0000084
TGFB,CL_0000066
TNF,CL_0000084
IL4,CL_0000235
IL6,CL_0000775
TGFB1,CL_0000084
CSF2,CL_0000775
IL10,CL_0000775
TGFB,CL_0000792
TGFB,CL_0000235
IL7,CL_0000084
IL10,CL_0000545
IFNB1,CL_0000084
IL1B,CL_0000138
TGFB,CL_0000236
TGFB1,CL_0000312
IFNG,CL_0000623
IL2,CL_0000542
IFNG,CL_0000625
CSF2,CL_0000235
IL4,CL_0000084
TNF,CL_0000062
IFNG,CL_0000624
TGFB1,CL_0000057
IL15,CL_0000084
IFNG,CL_0000057
IL2,CL_0000236
TGFB,CL_0000138
TGFB1,CL_0000182
CSF1,CL_0000235
IFNG,CL_0000542
IFNG,CL_0000775
TNF,CL_0000738
IL2,CL_0000792
CD40LG,CL_0000236
TNFSF9,CL_0000084
IL27,CL_0000899
FGF2,CL_0000115
IL12,CL_0000771
IFNA,CL_0000236
FGF2,CL_0000540
CCL11,CL_0000771
IL10,CL_0000623
IFNG,CL_0000792
IL2,CL_0000624
TNF,CL_0000542
CSF2,CL_0000084
IL4,CL_0000092
PF4,CL_0000115
TGFB,CL_0000057
IL10,CL_0000624
IFNG,CL_0000738
CSF2,CL_0000771
IL18,CL_0000623
IL17,CL_0000775
IL1B,CL_0000576
IFNG,CL_0000546
IL1,CL_0000775
IFNA,CL_0000623
CSF1,CL_0000092
IL10,CL_0000236
IL4,CL_0000623
IL1,CL_0000576
TGFB,CL_0000115
IL10,CL_0000451
TGFB,CL_0000312
IL17A,CL_0000775
IL6,CL_0000235
CSF3,CL_0000233
TGFB1,CL_0000062
IL2,CL_0000625
TNF,CL_0000127
IL2,CL_0000910
TNF,CL_0000540
IL4,CL_0000775
FGF2,CL_0000062
IL4,CL_0000546
CSF3,CL_0000034
IL12,CL_0000545
IL6,CL_0000182
IL12,CL_0000623
IL1,CL_0000893
IFNA,CL_0000542
CSF2,CL_0000576
IL10,CL_0000625
IL21,CL_0000236
TNF,CL_0000746
IL4,CL_0000624
MIF,CL_0000235
IL2,CL_0000893
IFNA,CL_0000084
TGFB,CL_0000062
IL1RN,CL_0000775
IL12,CL_0000546
TNF,CL_0000771
IL4,CL_0000545
IL7,CL_0000624
TGFB1,CL_0000066
IFNG,CL_0000092
CXCL1,CL_0000775
IL10,CL_0000542
TNF,CL_0000056
IFNA,CL_0000576
CSF3,CL_0000540
TGFB1,CL_0000235
TGFB1,CL_0000623
IFNG,CL_0000115
CSF2,CL_0000583
CXCL12,CL_0000084
CD40LG,CL_0000084
IL1B,CL_0000127
IL4,CL_0000625
TGFB,CL_0000056
TGFB,CL_0000623
CXCL8,CL_0000115
IL10,CL_0000546
IL6,CL_0000084
CCL4,CL_0000182
CSF1,CL_0000129
TGFB1,CL_0000540
IL2,CL_0000824
CXCL2,CL_0000775
TGFB1,CL_0000056
TNF,CL_0000057
TGFB1,CL_0000236
IL1B,CL_0000182
IL27,CL_0000235
IL12,CL_0000236
TNF,CL_0000312
IL10,CL_0000771
IL1A,CL_0000084
TGFB,CL_0000129
RETN,CL_0000136
IL4,CL_0000792
IFNG,CL_0000038
IL1B,CL_0000775
TGFB1,CL_0000097
IL6,CL_0000746
IL1,CL_0000057
IL13,CL_0000235
IL27,CL_0000084
TGFB1,CL_0000576
TGFB1,CL_0002092
IFNA,CL_0000557
IL1B,CL_0000169
IFNG,CL_0000771
IL6,CL_0000624
IL6,CL_0000576
IL6,CL_0000792
IL21,CL_0000084
IL10,CL_0000738
IFNA,CL_0000792
TGFB1,CL_0000138
CXCL10,CL_0000084
CCL2,CL_0000775
IL13,CL_0000576
IFNA,CL_0000182
EPO,CL_0000540
IFNG,CL_0000545
CXCL10,CL_0000115
TGFB1,CL_0000037
IL33,CL_0000092
TGFB,CL_0000540
TGFB,CL_0000624
IFNG,CL_0000581
CCL2,CL_0000057
IL1RN,CL_0000235
IFNB1,CL_0000235
CSF3,CL_0000094
IFNG,CL_0000312
HGF,CL_0000115
IL1,CL_0000084
CXCL12,CL_0000034
FGF2,CL_0000148
IL7,CL_0000236
TGFB,CL_0000546
IL1RN,CL_0000576
IL4,CL_0000115
IL27,CL_0000775
IL17,CL_0000545
IFNG,CL_0000138
TGFB,CL_0000542
TNF,CL_0000623
PDGF,CL_0000192
CCL24,CL_0000771
IL1A,CL_0000775
CXCL10,CL_0000057
TGFB,CL_0000092
TNF,CL_0000129
CD40LG,CL_0000235
CCL2,CL_0000625
IL4,CL_0000557
IL15,CL_0000623
CXCL12,CL_0000738
IL21,CL_0000625
TGFB1,CL_0000771
IFNB1,CL_0000542
IL21,CL_0000792
IL12,CL_0000092
IL6,CL_0000115
IL10,CL_0000899
TNF,CL_0002334
IL15,CL_0000625
IL1,CL_0000138
CSF3,CL_0000623
IL10,CL_0000792
IL1B,CL_0000092
IL6,CL_0000540
EPO,CL_0000595
IL1,CL_0000540
TNFSF13B,CL_0000236
IL1B,CL_0000542
IL23,CL_0000775
IL4,CL_0000910
IL4,CL_0000893
CD40LG,CL_0000233
IL27,CL_0000545
IL12,CL_0000624
IL7,CL_0000625
EPO,CL_0000232
IL10,CL_0000097
TGFB,CL_0000899
CCL2,CL_0000738
IL17,CL_0000792
IL6,CL_0000623
IL2,CL_0000775
TGFB,CL_0000771
IL16,CL_0000624
IFNG,CL_0000037
CCL2,CL_0000092
IFNG,CL_0000097
IFNG,CL_0000824
IL6,CL_0000556
IL6,CL_0000062
IFNB1,CL_0000899
IL1B,CL_0000540
IL27,CL_0000792
IL6,CL_0000136
CCL3,CL_0000037
IL35,CL_0000899
IFNG,CL_0000557
CCL3,CL_0000775
IL16,CL_0000542
TGFB,CL_0000625
TNF,CL_0000182
IL22,CL_0000312
IL33,CL_0000235
TNF,CL_0000092
IL4,CL_0000453
IL1B,CL_0000235
TGFB,CL_0000576
IL3,CL_0000767
FGF2,CL_0000057
TGFB,CL_0000650
IL4,CL_0000499
IL1RN,CL_0000540
IL6,CL_0000092
TNF,CL_0002619
IL4,CL_0000771
CCL4,CL_0000084
IL10,CL_0000910
IFNG,CL_0000893
IL1,CL_0000235
SPP1,CL_0000092
IL7,CL_0000817
TGFB1,CL_0000129
CSF1,CL_0000576
IL1,CL_0000738
IFNB1,CL_0000576
IL10,CL_0000540
IL6,CL_0000057
CXCL12,CL_0000115
TGFB,CL_0002231
FGF2,CL_0000746
TGFB1,CL_0000178
TGFB,CL_0000775
IL25,CL_0000084
TNF,CL_0000453
IL10,CL_0000192
IL13,CL_0000738
IL1,CL_0000542
IL4,CL_0000214
IL23,CL_0000815
IL12,CL_0000576
FGF2,CL_0000134
FGF1,CL_0000182
IL4,CL_0000899
IL3,CL_0000576
LIF,CL_0000128
CXCL12,CL_0000893
IFNG,CL_0000034
CCL5,CL_0000235
TNF,CL_0000034
IL13,CL_0000624
TGFB,CL_0000097
IFNB1,CL_0000057
TGF,CL_0000066
IL33,CL_0000160
IL33,CL_0000746
IL2,CL_0000545
TNF,CL_0000351
CCL20,CL_0000738
CCL2,CL_0000860
IFNA,CL_0000115
CXCL12,CL_0000138
CSF2,CL_0000129
IL22,CL_0000775
IL15,CL_0000136
TNF,CL_0000583
IL17,CL_0000624
TGFB1,CL_0000023
IL5,CL_0000819
IFNB1,CL_0000624
CSF3,CL_0000576
CSF2,CL_0002092
CSF3,CL_0000084
IFNA,CL_0000235
IL4,CL_0000129
IFNB1,CL_0000775
TGFB1,CL_0000792
TNF,CL_0000178
TGFB,CL_0002092
TGFB1,CL_0000775
IL1,CL_0000115
PPBP,CL_0000233
IL6,CL_0000514
IL13,CL_0000057
GDF15,CL_0000084
TNFSF9,CL_0000092
IL4,CL_0000097
PF4,CL_0000556
IL13,CL_0000771
TNFSF9,CL_0000625
IL7,CL_0000893
CCL2,CL_0000115
TGFB1,CL_0000824
IFNG,CL_0000910
IL18,CL_0000092
LECT1,CL_0000115
IFNG,CL_0000127
TNF,CL_0000214
IFNG,CL_0000990
CSF3,CL_0000556
TNF,CL_0000188
TNF,CL_0000236
IL1RN,CL_0000057
IL2,CL_0000763
TGFB1,CL_0000351
TGFB1,CL_0000092
CCL2,CL_0000084
TGFB1,CL_0000148
FGF2,CL_0000092
IL1,CL_0000136
IL6,CL_0000557
TGFB,CL_0002322
IL1,CL_0000092
IFNG,CL_0002368
IFNG,CL_0000192
IL1B,CL_0000499
IL13,CL_0000236
CSF2,CL_0000763
CXCL12,CL_0000763
IL15,CL_0000911
TGFB,CL_0000322
CX3CL1,CL_0000084
IL33,CL_0000136
TGFB1,CL_0000763
LTA,CL_0000236
IL1B,CL_0000128
TGFB1,CL_0000214
CSF1,CL_0000624
IL6,CL_0000899
IL4,CL_0000542
IL18,CL_0000236
CCL5,CL_0000084
CXCL8,CL_0000542
EGF,CL_0000312
CXCL8,CL_0000576
IL17,CL_0000771
TGFB,CL_0000182
TGFB,CL_0000127
IL18,CL_0000115
TGFB,CL_0000082
FGF1,CL_0000540
IL1,CL_0000771
IFNA,CL_0000625
IL2,CL_0000557
TGFB1,CL_0000136
IL17,CL_0000576
CCL20,CL_0000899
CXCL8,CL_0000767
IL22,CL_0000182
IL3,CL_0000092
TNF,CL_0002372
IL3,CL_0002092
TGFB,CL_0000595
TGFB1,CL_0000192
IL7,CL_0000826
TNF,CL_0000148
TNF,CL_0000557
TGFB1,CL_0002322
CSF3,CL_0000235
CSF2,CL_0000540
IFNA,CL_0000624
IL33,CL_0000097
IL12B,CL_0000084
CSF2,CL_0000625
FGF1,CL_0000057
PF4,CL_0000084
TGFB,CL_0002327
RETN,CL_0002334
IL6,CL_0000127
IL6,CL_0002608
IFNG,CL_0000129
TNF,CL_0000624
IL33,CL_0000775
PDGFB,CL_0000669
IFNG,CL_0000540
IL10,CL_0000581
CCL2,CL_0000771
IL10,CL_0000129
IFNA,CL_0000545
IL21,CL_0000235
IL3,CL_0000236
CSF2,CL_0000738
EPO,CL_0000038
TGFB1,CL_0000034
IL17A,CL_0000763
EPO,CL_0000653
IL1,CL_0000499
IL10,CL_0002629
TNF,CL_0000233
IL2,CL_0000057
CSF3,CL_0000115
TGFB1,CL_0002620
IL21,CL_0000545
IL1RN,CL_0000236
IL1B,CL_0000062
IFNA,CL_0000233
IL10,CL_0000096
CXCL8,CL_0000236
IL22,CL_0000771
CD40LG,CL_0000542
CX3CL1,CL_0000129
TNF,CL_0000037
IL1B,CL_0000136
TGFB,CL_0000134
CX3CL1,CL_0000576
CSF3,CL_0000625
IFNB1,CL_0000540
CD40LG,CL_0000624
IFNB1,CL_0000792
IL10,CL_0000115
TNF,CL_0000514
IL10,CL_0000145
IL1,CL_0000763
IL6,CL_0000625
IL17A,CL_0000092
TGFB2,CL_0000138
IL1B,CL_0000233
IL18,CL_0000545
IL17,CL_0000625
CSF2,CL_0000092
IFNB1,CL_0000545
TNF,CL_0000138
IL18,CL_0000160
IL21,CL_0000624
TNF,CL_0000019
IFNG,CL_0000182
IL7,CL_0000909
IL3,CL_0000038
IL1,CL_0000182
IL4,CL_0000917
IL12,CL_0000235
IFNG,CL_0000122
LTA,CL_0000623
CCL5,CL_0000625
IFNG,CL_0000233
IFNB1,CL_0000192
TNF,CL_0000798
CXCL10,CL_0000899
CCL2,CL_0000863
FGF1,CL_0002327
IL4,CL_0002334
IL6,CL_0000558
TGFA,CL_0000057
IL6,CL_0000763
IFNA,CL_0000775
TNF,CL_0000625
FGF2,CL_0000700
IFNB1,CL_0000581
IL2,CL_0000815
TNF,CL_0002322
TNFSF11,CL_0000092
CSF2,CL_0000556
CX3CL1,CL_0000540
IFNG,CL_0000128
IL22,CL_0000307
IL6,CL_0000322
TGFB1,CL_0000624
CXCL5,CL_0000115
TNFSF8,CL_0000771
CSF2,CL_0000557
IFNG,CL_0000899
EPO,CL_0000034
IL18,CL_0000084
IL18,CL_0000624
CCL6,CL_0000738
IL3,CL_0000049
TNF,CL_0000232
CXCL8,CL_0000501
IL25,CL_0000899
HGF,CL_0000451
IFNG,CL_0000145
TGFB3,CL_0000066
TNF,CL_0000216
IL11,CL_0000359
CXCL11,CL_0000542
IL1,CL_0000624
IFNA,CL_0000910
IL15,CL_0000066
TGFB1,CL_0000622
IFNB1,CL_0000127
IL15,CL_0000793
IL35,CL_0000451
FGF2,CL_0000499
TGFB1,CL_0000115
TGFB2,CL_0000057
IL17A,CL_0000746
IL12,CL_0000115
CSF1,CL_0000038
IL18,CL_0000057
IL4,CL_0000738
IL33,CL_0000084
IL3,CL_0000037
IFNG,CL_0002061
CXCL8,CL_0000235
CSF3,CL_0000096
IFNG,CL_0000583
IL10,CL_0000763
IFNB1,CL_0000646
IL1A,CL_0000092
LECT2,CL_0000115
IFNA,CL_0000499
IL4,CL_0000863
TGFB1,CL_0000910
IFNA,CL_0000784
IL1,CL_0000236
IL1A,CL_0000545
CCL20,CL_0000794
THPO,CL_0000233
IL1B,CL_0000057
TNF,CL_0000893
CXCL12,CL_0000233
IL17A,CL_0000082
TGFB,CL_0000909
IL6,CL_0000145
IL22,CL_0000082
CCL6,CL_0000084
PDGF,CL_0000037
IL27,CL_0002061
EPO,CL_0000542
EPO,CL_0000235
IL10,CL_0000583
IL12,CL_0000910
LTA,CL_0000625
TGFB2,CL_0000738
IFNL2,CL_0000771
IL1B,CL_0002334
TNFSF9,CL_0000623
CD40LG,CL_0000815
IL4,CL_0000844
IL19,CL_0000738
IL24,CL_0002322
IL21,CL_0000814
CX3CL1,CL_0000738
IL13,CL_0000890
IL1RN,CL_0000218
FGF2,CL_0000132
IL17A,CL_0000235
IFNA,CL_0000556
IFNL3,CL_0000084
CCL2,CL_0000545
IFNL1,CL_0000182
IL32,CL_0000623
CCL2,CL_0002397
CD40LG,CL_0000545
IL3,CL_0000138
IL6,CL_0000902
CXCL10,CL_0000917
FGF2,CL_0000235
IFNA,CL_0000136
PF4,CL_0000057
IL16,CL_0000084
IL13,CL_0000546
TNF,CL_0000128
LTA,CL_0000682
PF4,CL_0000775
IFNB1,CL_0000625
CXCL8,CL_0000084
IL2,CL_0000899
CCL20,CL_0002563
IL11,CL_0000235
CXCL12,CL_0000097
IFNG,CL_1001319
IL22,CL_0000084
GDF15,CL_0000092
TNF,CL_0000581
IL5,CL_0000542
IL1RN,CL_0000097
IL3,CL_0000556
IFNG,CL_0000912
CSF3,CL_0000545
IL6,CL_0000056
CCL3,CL_0000625
IL1B,CL_0000162
EGF,CL_0000057
TGFB1,CL_0000902
IL12,CL_0002128
IL4,CL_0000763
IL6,CL_0000912
IL4,CL_0000182
IL18,CL_0000546
CXCL10,CL_0000169
CCL3,CL_0000738
CSF3,CL_0000581
CXCL10,CL_0002563
IL13,CL_0000540
EPO,CL_0000547
CCL21,CL_0000084
IL12B,CL_0000236
TNF,CL_0000160
TGFB,CL_0000794
TGFB,CL_0002328
TNF,CL_0002097
IFNG,CL_0000911
TGFB,CL_0000449
IL33,CL_0000625
CSF3,CL_0000786
IL1RN,CL_0000322
TNF,CL_0000499
IL10,CL_0000233
CCL3,CL_0000557
CSF2,CL_0000863
IFNG,CL_0002363
IL1B,CL_0009004
TGFB1,CL_0000653
IFNL2,CL_0000623
IFNB1,CL_0000700
CCL3,CL_0000092
CXCL12,CL_0000501
CXCL12,CL_0000182
IFNA,CL_0000145
IL35,CL_0000624
CSF3,CL_0000542
CX3CL1,CL_0000235
IL11,CL_0000128
CXCL10,CL_0000625
IL32,CL_0000451
EGF,CL_0000499
CSF3,CL_0000557
SPP1,CL_0000084
FGF2,CL_0002544
IL18,CL_0000312
IFNG,CL_0000213
IFNG,CL_0000148
IFN1,CL_0000764
IL12,CL_0000081
CSF2,CL_0000094
TNFSF11,CL_0000743
IFNA,CL_0000738
IL17,CL_0000813
IL27,CL_0000576
CSF2,CL_0000236
IL17,CL_0000182
TGFB,CL_0000738
IFNA,CL_0000771
IL17,CL_0000066
FGF2,CL_0000136
TGFB1,CL_0000556
CX3CL1,CL_0000187
IL6,CL_0000451
SPP1,CL_0000062
PDGFB,CL_0000632
IL17A,CL_0000738
EGF,CL_0000023
IFNL3,CL_0000236
IL13,CL_0000160
IL1A,CL_0000312
IL5,CL_0000041
IL6,CL_0000019
CSF2,CL_0000453
CX3CL1,CL_0000233
IL4,CL_0000442
IL35,CL_0000084
CXCL1,CL_0000127
IL17,CL_0000902
IL21,CL_0002061
IL15,CL_0000763
IL1RN,CL_0000351
IFNG,CL_0000187
FGF2,CL_0002609
TGFA,CL_0000584
IL27,CL_0000233
IL10,CL_0000557
TGFB,CL_0000136
CSF1,CL_0000113
IL1,CL_0000034
CCL5,CL_0000775
IL4,CL_0000990
IL4,CL_0000581
FGF2,CL_0000056
IL10,CL_0000453
IL1A,CL_0000138
IL1,CL_0000062
CSF1,CL_0002397
IL4,CL_0000902
TNFSF9,CL_0000235
IL17A,CL_0000583
IL15,CL_0000624
TGFB1,CL_0000128
IL27,CL_0000092
IL1B,CL_0000187
IL17,CL_0000127
IL2,CL_0002092
IL10,CL_0000903
IL1B,CL_0000158
IFNL3,CL_0000815
TGFB,CL_0000192
IL6,CL_0000844
IL1B,CL_0000738
CXCL12,CL_0000135
IFNA,CL_1001319
IFNA,CL_0000037
IL6,CL_0000546
IL21,CL_0000312
TGFB1,CL_0000060
HGF,CL_0000066
TGFB,CL_0000125
CD40LG,CL_0000576
TGFB,CL_0000499
CSF2,CL_0000545
IL13,CL_0000182
IFNG,CL_0000319
MIF,CL_0000540
IL9,CL_0000624
CCL25,CL_0000625
IL17,CL_0000451
IFN1,CL_0000233
FGF2,CL_0000192
CSF1,CL_0000084
IL10,CL_0000094
IL1,CL_0000214
EPO,CL_0000746
GDF15,CL_0000540
HGF,CL_0000775
SPP1,CL_0000792
TGFB1,CL_0000625
IFNG,CL_0000178
TNF,CL_0000097
IL6,CL_0000236
CXCL14,CL_0002319
IFNB1,CL_0000115
TNF,CL_0000595
IL12,CL_0000815
CSF2,CL_0000182
IL21,CL_0000899
CCL6,CL_0002563
IL1RN,CL_0000893
TGFB1,CL_0000826
IL4,CL_0000794
IL24,CL_0000312
CD40LG,CL_0000787
IL18,CL_0000792
IFNB1,CL_0000092
IL19,CL_0000235
IL4,CL_0000556
EPO,CL_0000127
LIF,CL_0000056
TGF,CL_0000624
IL3,CL_0000062
TGFB,CL_0000162
IL25,CL_0000767
IFN1,CL_0000540
CCL2,CL_0000831
TGFB,CL_0000187
IL33,CL_0000127
IL6,CL_0000232
TNFSF15,CL_0000084
IL23,CL_0000899
IL22,CL_0000738
FGF2,CL_0000138
CCL22,CL_0000084
IL36G,CL_0000312
CXCL8,CL_0000738
SPP1,CL_0000235
TGFB,CL_0000890
TGFB1,CL_1001573
IL23,CL_0000792
IL11,CL_0000092
CXCL10,CL_0000771
CCL9,CL_0000136
IL13,CL_0000647
IL33,CL_0000066
IL6,CL_0000129
TNF,CL_0000653
IFNG,CL_0002627
TGFB1,CL_1000490
CCL9,CL_0000092
IL27,CL_0000815
TGFB,CL_0000514
IL15,CL_0002563
IL1B,CL_0000091
IL24,CL_0000542
CSF3,CL_0000062
CCL2,CL_0000127
CXCL1,CL_0000235
IL24,CL_0000359
TGFB,CL_0000824
CXCL9,CL_0000771
IL2,CL_0000235
EGF,CL_0000136
TGFB1,CL_0000134
CCL2,CL_0000187
EPO,CL_0002092
EPO,CL_0000115
TGFB,CL_0000352
TGFB,CL_0000586
TGF,CL_0000084
CD40LG,CL_0000845
IL12,CL_0000814
CCL18,CL_0000817
IL6,CL_0000066
IL10,CL_0000160
IL1B,CL_0000084
IL1B,CL_0000148
TGFB1,CL_1001609
IL5,CL_0000499
IL18,CL_0000775
CSF2,CL_0000057
CXCL12,CL_0000094
IL18,CL_0000182
IFNA,CL_0000351
TGFB,CL_0000911
FGF1,CL_0002334
THPO,CL_0000556
IL7,CL_0000793
TNFSF8,CL_0000624
IL5,CL_0000775
IL21,CL_0000969
IFNA,CL_0000057
HGF,CL_1000497
IL15,CL_0000542
IFNL3,CL_0000235
IL1B,CL_0002322
IL9,CL_0000066
CCL2,CL_0000113
IL10,CL_0000782
EPO,CL_0000549
CXCL12,CL_0000037
IL1B,CL_0000545
IL22,CL_0000169
LECT2,CL_0000235
FGF2,CL_0000218
IL21,CL_0000990
TGFB,CL_0002489
CXCL9,CL_0000066
IL7,CL_0000499
IL1B,CL_0000125
IL27,CL_0000623
HGF,CL_0000062
IL12,CL_0000451
IL10,CL_0000062
TNF,CL_0002064
CXCL12,CL_0000057
EPO,CL_0000094
TNF,CL_0000545
TNFSF9,CL_0000813
CXCL12,CL_0000236
IL11,CL_0000546
CSF3,CL_0002619
IL18,CL_0000187
IL17,CL_0002372
IL1RN,CL_0002609
IL17,CL_0000362
CXCL16,CL_0000084
TGFB2,CL_0000084
CXCL12,CL_0000099
TGFB1,CL_1000488
IL12,CL_0002343
IL6,CL_0000023
FGF2,CL_0007010
PDGFA,CL_0000061
TGFB,CL_0000148
CCL3,CL_0000771
IL12,CL_0000097
OSM,CL_0000499
IL17,CL_0000056
IL17A,CL_0000062
TGFB2,CL_0000082
TGFB,CL_0000037
TGFB1,CL_0002543
EPO,CL_0000096
IFNG,CL_0000136
PF4,CL_0000576
IL9,CL_0000792
IL32,CL_0000235
IL1RN,CL_0000187
CSF1,CL_0000581
IL13,CL_0000232
IL1A,CL_0000542
TGFB2,CL_0000092
TGFB,CL_0000814
IL2,CL_0000771
LIF,CL_0000746
IL25,CL_0000624
IL18,CL_0000576
IL7,CL_0000898
TNF,CL_0000575
IL4,CL_0000588
CCL5,CL_0000911
IL20,CL_0000115
CCL7,CL_0000771
IL4,CL_0000038
LIF,CL_0000210
CCL2,CL_0000136
PF4,CL_0000540
CXCL11,CL_0000115
IL6,CL_0000094
TNFSF15,CL_0000902
HGF,CL_0000365
IL17A,CL_0000096
IL27,CL_0000129
CXCL1,CL_0000034
TGFB,CL_0000653
IL12B,CL_0000545
TGFB2,CL_0000625
