,1-10,11-30,31-75,all
M-aupr,0.1204012832778091,0.45124320040646515,0.7314206248120362,0.1769919227354649
M-auc,0.6757965123892266,0.730158340718618,0.742568121117314,0.6845863263884846
aupr_list,"[0.2361111111111111, 0.1380952380952381, 0.1789681080982708, 0.1804882970276897, 0.0660227984460259, 0.015384615384615385, 0.02724137931034483, 0.010869565217391304, 0.4514355742296918, 0.03571428571428571, 0.06904761904761905, 0.16666666666666666, 0.05265009647032119, 0.7309782608695652, 0.11194118178391997, 0.10959430892357849, 0.15116869489467294, 0.01818181818181818, 0.1893939393939394, 0.047619047619047616, 0.08063541396874731, 0.16666666666666666, 0.045454545454545456, 0.1967635494646299, 0.058823529411764705, 0.545845004668534, 0.03273809523809523, 0.47716851050184383, 0.20503663003663003, 0.5077731092436975, 0.1, 0.4848357524828113, 0.125, 0.12220853858784893, 0.08553312629399587, 0.15532231386580897, 0.022222222222222223, 0.6855565458506636, 0.016666666666666666, 0.05011520737327189, 0.07299880525686978, 0.04, 0.02470238095238095, 0.2546963575234651, 0.010526315789473684, 0.2, 0.02767635616707449, 0.033013088276246175, 0.20582791180988524, 0.1111111111111111, 0.08333333333333333, 0.04, 0.34090909090909094, 0.05341342486651411, 0.2708333333333333, 0.2558527719321946, 0.07896993308758014, 0.3333333333333333, 0.016129032258064516, 0.023255813953488372, 0.5905623697290364, 0.0625, 0.07142857142857142, 0.26488240553138254, 0.27382650029708855, 0.035437430786267994, 0.14285714285714285, 0.014084507042253521, 0.028431372549019607, 0.037037037037037035, 0.08333333333333333, 0.24285714285714285, 0.05, 0.0625, 0.5, 0.0644414972001179, 0.04440987511095877, 0.0625, 0.012658227848101266, 0.10936285936285936, 0.019230769230769232, 0.24553978006738658, 0.341005291005291, 0.045009157509157516, 0.043478260869565216, 0.09761904761904762, 0.038461538461538464, 0.011235955056179775, 0.028577059519117067, 0.06340579710144928, 0.038461538461538464, 0.028440972261196983, 0.01098901098901099, 0.10188818192529753, 0.05050798570752077, 0.024266201685556526, 0.07306009753298909, 0.09703196347031963, 0.021739130434782608, 0.014492753623188406, 0.15, 0.04, 0.04838417772348343, 0.0813073404974688, 0.02564102564102564, 0.12333333333333332, 0.11928774546255749, 0.07960220673635307, 0.02564102564102564, 0.10435504452273295, 0.03571428571428571, 0.05266343825665859, 0.2931998556998557, 0.2546583850931677, 0.11858974358974358, 0.011363636363636364, 0.06363636363636363, 0.010309278350515464, 0.0816609977324263, 0.04023451485857501, 0.06666666666666667, 0.1, 0.12392803275156218, 0.05555555555555555, 0.01694915254237288, 0.038461538461538464, 0.016129032258064516, 0.30542264752791065, 0.03125, 0.06916684764510853, 0.2, 0.022727272727272728, 0.07023809523809524, 0.3333333333333333, 0.030399274047186932, 0.016666666666666666, 0.125, 0.023255813953488372, 0.05590857224361717, 0.11212121212121212, 0.05187074829931972, 0.23009061114324272, 0.17142857142857143, 0.063894523326572, 0.05371352785145889, 0.058823529411764705, 0.1845238095238095, 0.06944444444444445, 0.043478260869565216, 0.03571428571428571, 0.05555555555555555, 0.05263157894736842, 0.08333333333333333, 0.038461538461538464]","[0.48553582704797393, 0.5231497499790183, 0.2598508563932001, 0.4896400091104956, 0.5698777955373688, 0.48031859539196664, 0.5882797673621674, 0.5167181372707174, 0.39142606686720993, 0.2272997432126562, 0.5461320711047433, 0.17014897157163328, 0.2558527719321946, 0.5601314459348247, 0.7322075630049769, 0.464775426230051, 0.3565691109765606, 0.24964773269486473, 0.6368640673811674, 0.45162482301787643, 0.6276153585634607, 0.46532618907051426, 0.6098771577493287, 0.4629688149516434, 0.22208973277547883, 0.388395425436]","[0.7324520053632408, 0.7235041452690596, 0.7383057238038082]","[0.2361111111111111, 0.1380952380952381, 0.1789681080982708, 0.1804882970276897, 0.0660227984460259, 0.015384615384615385, 0.02724137931034483, 0.010869565217391304, 0.4514355742296918, 0.48553582704797393, 0.03571428571428571, 0.06904761904761905, 0.5231497499790183, 0.2598508563932001, 0.16666666666666666, 0.05265009647032119, 0.7324520053632408, 0.7309782608695652, 0.4896400091104956, 0.11194118178391997, 0.10959430892357849, 0.15116869489467294, 0.01818181818181818, 0.1893939393939394, 0.047619047619047616, 0.08063541396874731, 0.5698777955373688, 0.16666666666666666, 0.045454545454545456, 0.48031859539196664, 0.1967635494646299, 0.5882797673621674, 0.058823529411764705, 0.545845004668534, 0.03273809523809523, 0.5167181372707174, 0.47716851050184383, 0.20503663003663003, 0.5077731092436975, 0.1, 0.4848357524828113, 0.125, 0.12220853858784893, 0.08553312629399587, 0.39142606686720993, 0.15532231386580897, 0.022222222222222223, 0.6855565458506636, 0.016666666666666666, 0.05011520737327189, 0.07299880525686978, 0.04, 0.02470238095238095, 0.2546963575234651, 0.2272997432126562, 0.7235041452690596, 0.5461320711047433, 0.010526315789473684, 0.17014897157163328, 0.2, 0.02767635616707449, 0.033013088276246175, 0.20582791180988524, 0.1111111111111111, 0.08333333333333333, 0.04, 0.34090909090909094, 0.05341342486651411, 0.2708333333333333, 0.2558527719321946, 0.07896993308758014, 0.3333333333333333, 0.5601314459348247, 0.7322075630049769, 0.464775426230051, 0.3565691109765606, 0.016129032258064516, 0.023255813953488372, 0.24964773269486473, 0.5905623697290364, 0.0625, 0.07142857142857142, 0.6368640673811674, 0.26488240553138254, 0.27382650029708855, 0.035437430786267994, 0.14285714285714285, 0.014084507042253521, 0.028431372549019607, 0.037037037037037035, 0.08333333333333333, 0.45162482301787643, 0.6276153585634607, 0.46532618907051426, 0.24285714285714285, 0.05, 0.0625, 0.5, 0.0644414972001179, 0.04440987511095877, 0.0625, 0.012658227848101266, 0.10936285936285936, 0.6098771577493287, 0.019230769230769232, 0.24553978006738658, 0.341005291005291, 0.045009157509157516, 0.4629688149516434, 0.7383057238038082, 0.043478260869565216, 0.09761904761904762, 0.038461538461538464, 0.011235955056179775, 0.22208973277547883, 0.028577059519117067, 0.06340579710144928, 0.038461538461538464, 0.028440972261196983, 0.01098901098901099, 0.10188818192529753, 0.05050798570752077, 0.024266201685556526, 0.07306009753298909, 0.09703196347031963, 0.021739130434782608, 0.014492753623188406, 0.15, 0.04, 0.04838417772348343, 0.0813073404974688, 0.02564102564102564, 0.12333333333333332, 0.11928774546255749, 0.07960220673635307, 0.388395425436, 0.02564102564102564, 0.10435504452273295, 0.03571428571428571, 0.05266343825665859, 0.2931998556998557, 0.2546583850931677, 0.11858974358974358, 0.011363636363636364, 0.06363636363636363, 0.010309278350515464, 0.0816609977324263, 0.04023451485857501, 0.06666666666666667, 0.1, 0.12392803275156218, 0.05555555555555555, 0.01694915254237288, 0.038461538461538464, 0.016129032258064516, 0.30542264752791065, 0.03125, 0.06916684764510853, 0.2, 0.022727272727272728, 0.07023809523809524, 0.3333333333333333, 0.030399274047186932, 0.016666666666666666, 0.125, 0.023255813953488372, 0.05590857224361717, 0.11212121212121212, 0.05187074829931972, 0.23009061114324272, 0.17142857142857143, 0.063894523326572, 0.05371352785145889, 0.058823529411764705, 0.1845238095238095, 0.06944444444444445, 0.043478260869565216, 0.03571428571428571, 0.05555555555555555, 0.05263157894736842, 0.08333333333333333, 0.038461538461538464]"
num_pos_list,"[2.0, 2.0, 8.0, 8.0, 6.0, 1.0, 2.0, 1.0, 6.0, 1.0, 2.0, 1.0, 3.0, 4.0, 6.0, 6.0, 8.0, 1.0, 3.0, 1.0, 3.0, 1.0, 1.0, 7.0, 1.0, 6.0, 2.0, 9.0, 4.0, 5.0, 1.0, 6.0, 1.0, 4.0, 3.0, 9.0, 1.0, 9.0, 1.0, 2.0, 3.0, 1.0, 2.0, 6.0, 1.0, 1.0, 3.0, 3.0, 7.0, 1.0, 1.0, 1.0, 2.0, 4.0, 4.0, 10.0, 5.0, 2.0, 1.0, 1.0, 9.0, 1.0, 1.0, 8.0, 5.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 3.0, 3.0, 1.0, 1.0, 3.0, 1.0, 9.0, 9.0, 4.0, 1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 3.0, 1.0, 6.0, 3.0, 2.0, 4.0, 2.0, 1.0, 1.0, 2.0, 1.0, 3.0, 5.0, 1.0, 2.0, 7.0, 4.0, 1.0, 5.0, 1.0, 2.0, 6.0, 5.0, 2.0, 1.0, 2.0, 1.0, 3.0, 3.0, 1.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 5.0, 1.0, 5.0, 1.0, 1.0, 2.0, 4.0, 2.0, 1.0, 1.0, 1.0, 4.0, 2.0, 2.0, 5.0, 2.0, 2.0, 2.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[22.0, 11.0, 11.0, 23.0, 25.0, 11.0, 13.0, 12.0, 18.0, 14.0, 25.0, 11.0, 10.0, 23.0, 20.0, 19.0, 11.0, 11.0, 23.0, 15.0, 22.0, 24.0, 24.0, 24.0, 17.0, 13.0]","[47.0, 39.0, 32.0]","[2.0, 2.0, 8.0, 8.0, 6.0, 1.0, 2.0, 1.0, 6.0, 22.0, 1.0, 2.0, 11.0, 11.0, 1.0, 3.0, 47.0, 4.0, 23.0, 6.0, 6.0, 8.0, 1.0, 3.0, 1.0, 3.0, 25.0, 1.0, 1.0, 11.0, 7.0, 13.0, 1.0, 6.0, 2.0, 12.0, 9.0, 4.0, 5.0, 1.0, 6.0, 1.0, 4.0, 3.0, 18.0, 9.0, 1.0, 9.0, 1.0, 2.0, 3.0, 1.0, 2.0, 6.0, 14.0, 39.0, 25.0, 1.0, 11.0, 1.0, 3.0, 3.0, 7.0, 1.0, 1.0, 1.0, 2.0, 4.0, 4.0, 10.0, 5.0, 2.0, 23.0, 20.0, 19.0, 11.0, 1.0, 1.0, 11.0, 9.0, 1.0, 1.0, 23.0, 8.0, 5.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 15.0, 22.0, 24.0, 2.0, 1.0, 1.0, 1.0, 3.0, 3.0, 1.0, 1.0, 3.0, 24.0, 1.0, 9.0, 9.0, 4.0, 24.0, 32.0, 1.0, 2.0, 1.0, 1.0, 17.0, 2.0, 2.0, 1.0, 3.0, 1.0, 6.0, 3.0, 2.0, 4.0, 2.0, 1.0, 1.0, 2.0, 1.0, 3.0, 5.0, 1.0, 2.0, 7.0, 4.0, 13.0, 1.0, 5.0, 1.0, 2.0, 6.0, 5.0, 2.0, 1.0, 2.0, 1.0, 3.0, 3.0, 1.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 5.0, 1.0, 5.0, 1.0, 1.0, 2.0, 4.0, 2.0, 1.0, 1.0, 1.0, 4.0, 2.0, 2.0, 5.0, 2.0, 2.0, 2.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
auc_list,"[0.9479166666666667, 0.9010416666666667, 0.7277777777777777, 0.7666666666666667, 0.4547101449275362, 0.3402061855670103, 0.453125, 0.061855670103092786, 0.907608695652174, 0.7216494845360825, 0.7916666666666667, 0.9484536082474226, 0.45964912280701753, 0.9468085106382979, 0.5996376811594203, 0.6358695652173914, 0.5597222222222221, 0.44329896907216493, 0.8140350877192982, 0.7938144329896908, 0.7649122807017544, 0.9484536082474226, 0.7835051546391752, 0.7268445839874411, 0.8350515463917526, 0.9130434782608696, 0.546875, 0.8539325842696629, 0.6835106382978723, 0.9204301075268817, 0.9072164948453608, 0.8514492753623188, 0.9278350515463918, 0.6728723404255319, 0.7859649122807018, 0.6092384519350811, 0.5463917525773196, 0.9350811485642947, 0.3917525773195877, 0.7083333333333334, 0.743859649122807, 0.7525773195876289, 0.33333333333333337, 0.5978260869565218, 0.030927835051546393, 0.9587628865979382, 0.2807017543859649, 0.3684210526315789, 0.7268445839874411, 0.9175257731958762, 0.8865979381443299, 0.7525773195876289, 0.9479166666666666, 0.550531914893617, 0.9228723404255319, 0.6897727272727273, 0.6408602150537634, 0.9427083333333334, 0.3711340206185567, 0.5670103092783505, 0.8976279650436955, 0.845360824742268, 0.865979381443299, 0.7847222222222221, 0.9096774193548387, 0.4583333333333333, 0.9381443298969072, 0.27835051546391754, 0.41666666666666663, 0.731958762886598, 0.8865979381443299, 0.953125, 0.8041237113402062, 0.845360824742268, 0.9896907216494846, 0.6842105263157895, 0.48070175438596496, 0.845360824742268, 0.19587628865979378, 0.8105263157894738, 0.4742268041237113, 0.6142322097378277, 0.8526841448189763, 0.4308510638297872, 0.7731958762886598, 0.8541666666666667, 0.7422680412371134, 0.09278350515463918, 0.484375, 0.7708333333333334, 0.7422680412371134, 0.3017543859649122, 0.07216494845360821, 0.6159420289855073, 0.4631578947368421, 0.3385416666666667, 0.5585106382978724, 0.6041666666666666, 0.5360824742268041, 0.2989690721649485, 0.90625, 0.7525773195876289, 0.5087719298245614, 0.5655913978494623, 0.6082474226804124, 0.8541666666666666, 0.5306122448979592, 0.6941489361702128, 0.6082474226804124, 0.6989247311827957, 0.7216494845360825, 0.6354166666666667, 0.875, 0.8408602150537635, 0.8854166666666666, 0.1030927835051546, 0.671875, 0.010309278350515427, 0.5473684210526316, 0.5192982456140351, 0.8556701030927836, 0.9072164948453608, 0.6752688172043011, 0.8247422680412371, 0.4020618556701031, 0.7422680412371134, 0.3711340206185567, 0.821505376344086, 0.6804123711340206, 0.5655913978494624, 0.9587628865979382, 0.5567010309278351, 0.7708333333333334, 0.9335106382978724, 0.515625, 0.3917525773195877, 0.9278350515463918, 0.5670103092783505, 0.5478723404255319, 0.8802083333333334, 0.4427083333333333, 0.8774193548387097, 0.9270833333333333, 0.7760416666666666, 0.7291666666666666, 0.8350515463917526, 0.7083333333333333, 0.765625, 0.7731958762886598, 0.7216494845360825, 0.8247422680412371, 0.8144329896907216, 0.8865979381443299, 0.7422680412371134]","[0.6590909090909091, 0.8746081504702194, 0.5862068965517242, 0.7321739130434782, 0.7928767123287672, 0.6729362591431556, 0.7656108597285068, 0.7403100775193799, 0.6680555555555555, 0.6198979591836735, 0.7873972602739726, 0.5945663531870429, 0.6897727272727273, 0.743768115942029, 0.8602564102564102, 0.7781479013990673, 0.7826541274817137, 0.6760710553814002, 0.8376811594202898, 0.8104417670682731, 0.8486842105263158, 0.7274774774774776, 0.8074324324324325, 0.6829954954954954, 0.5083514887436456, 0.7366515837104073]","[0.7025448477263246, 0.7770534550195567, 0.7481060606060606]","[0.9479166666666667, 0.9010416666666667, 0.7277777777777777, 0.7666666666666667, 0.4547101449275362, 0.3402061855670103, 0.453125, 0.061855670103092786, 0.907608695652174, 0.6590909090909091, 0.7216494845360825, 0.7916666666666667, 0.8746081504702194, 0.5862068965517242, 0.9484536082474226, 0.45964912280701753, 0.7025448477263246, 0.9468085106382979, 0.7321739130434782, 0.5996376811594203, 0.6358695652173914, 0.5597222222222221, 0.44329896907216493, 0.8140350877192982, 0.7938144329896908, 0.7649122807017544, 0.7928767123287672, 0.9484536082474226, 0.7835051546391752, 0.6729362591431556, 0.7268445839874411, 0.7656108597285068, 0.8350515463917526, 0.9130434782608696, 0.546875, 0.7403100775193799, 0.8539325842696629, 0.6835106382978723, 0.9204301075268817, 0.9072164948453608, 0.8514492753623188, 0.9278350515463918, 0.6728723404255319, 0.7859649122807018, 0.6680555555555555, 0.6092384519350811, 0.5463917525773196, 0.9350811485642947, 0.3917525773195877, 0.7083333333333334, 0.743859649122807, 0.7525773195876289, 0.33333333333333337, 0.5978260869565218, 0.6198979591836735, 0.7770534550195567, 0.7873972602739726, 0.030927835051546393, 0.5945663531870429, 0.9587628865979382, 0.2807017543859649, 0.3684210526315789, 0.7268445839874411, 0.9175257731958762, 0.8865979381443299, 0.7525773195876289, 0.9479166666666666, 0.550531914893617, 0.9228723404255319, 0.6897727272727273, 0.6408602150537634, 0.9427083333333334, 0.743768115942029, 0.8602564102564102, 0.7781479013990673, 0.7826541274817137, 0.3711340206185567, 0.5670103092783505, 0.6760710553814002, 0.8976279650436955, 0.845360824742268, 0.865979381443299, 0.8376811594202898, 0.7847222222222221, 0.9096774193548387, 0.4583333333333333, 0.9381443298969072, 0.27835051546391754, 0.41666666666666663, 0.731958762886598, 0.8865979381443299, 0.8104417670682731, 0.8486842105263158, 0.7274774774774776, 0.953125, 0.8041237113402062, 0.845360824742268, 0.9896907216494846, 0.6842105263157895, 0.48070175438596496, 0.845360824742268, 0.19587628865979378, 0.8105263157894738, 0.8074324324324325, 0.4742268041237113, 0.6142322097378277, 0.8526841448189763, 0.4308510638297872, 0.6829954954954954, 0.7481060606060606, 0.7731958762886598, 0.8541666666666667, 0.7422680412371134, 0.09278350515463918, 0.5083514887436456, 0.484375, 0.7708333333333334, 0.7422680412371134, 0.3017543859649122, 0.07216494845360821, 0.6159420289855073, 0.4631578947368421, 0.3385416666666667, 0.5585106382978724, 0.6041666666666666, 0.5360824742268041, 0.2989690721649485, 0.90625, 0.7525773195876289, 0.5087719298245614, 0.5655913978494623, 0.6082474226804124, 0.8541666666666666, 0.5306122448979592, 0.6941489361702128, 0.7366515837104073, 0.6082474226804124, 0.6989247311827957, 0.7216494845360825, 0.6354166666666667, 0.875, 0.8408602150537635, 0.8854166666666666, 0.1030927835051546, 0.671875, 0.010309278350515427, 0.5473684210526316, 0.5192982456140351, 0.8556701030927836, 0.9072164948453608, 0.6752688172043011, 0.8247422680412371, 0.4020618556701031, 0.7422680412371134, 0.3711340206185567, 0.821505376344086, 0.6804123711340206, 0.5655913978494624, 0.9587628865979382, 0.5567010309278351, 0.7708333333333334, 0.9335106382978724, 0.515625, 0.3917525773195877, 0.9278350515463918, 0.5670103092783505, 0.5478723404255319, 0.8802083333333334, 0.4427083333333333, 0.8774193548387097, 0.9270833333333333, 0.7760416666666666, 0.7291666666666666, 0.8350515463917526, 0.7083333333333333, 0.765625, 0.7731958762886598, 0.7216494845360825, 0.8247422680412371, 0.8144329896907216, 0.8865979381443299, 0.7422680412371134]"
m-aupr,0.1250197881234129,0.43700785761484295,0.7247682096253542,0.3615462439455027
m-auc,0.7545428034736402,0.7525997686279808,0.7654083204930663,0.832622933950944
F-max,0.20484581497797358,0.4682539682539683,0.669172932330827,0.3974876626289816
t_max,0.21,0.33,0.49,0.27
p_max,0.1957894736842105,0.4244604316546763,0.6013513513513513,0.35841423948220064
