cytokine,cell
CXCL3,T cell
CXCL6,neutrophil
CXCL6,leukocyte
CXCL6,B cell
CXCL6,enucleate erythrocyte
PPBP,platelet
PPBP,macrophage
PPBP,neutrophil
PPBP,T cell
PPBP,myoblast
PPBP,connective tissue cell
PPBP,leukocyte
PPBP,thymocyte
PPBP,myeloid cell
PPBP,natural killer cell
PPBP,mononuclear phagocyte
PPBP,microglial cell
PPBP,epithelial cell
PPBP,stromal cell
PPBP,eosinophil
PPBP,mesenchymal cell
PPBP,T-helper 1 cell
PPBP,"CD8-positive, alpha-beta T cell"
CXCL2,neutrophil
CXCL2,leukocyte
CXCL2,alveolar macrophage
CXCL2,intestinal epithelial cell
CXCL2,hepatocyte
CXCL2,endothelial cell
CXCL2,mature neutrophil
CXCL2,thymic macrophage
CXCL2,neuron
CXCL2,T-helper 2 cell
CXCL2,cardiac muscle cell
CXCL5,neutrophil
CXCL5,endothelial cell
CXCL5,bronchial epithelial cell
CXCL5,mature neutrophil
CXCL5,fibroblast
CXCL5,macrophage
CXCL5,hematopoietic stem cell
CXCL5,enterocyte
CXCL13,B cell
CXCL13,T cell
CXCL13,monocyte
CXCL13,lymphocyte
CXCL13,B-1 B cell
CXCL13,macrophage
CXCL13,"CD4-positive, alpha-beta T cell"
CXCL13,chondrocyte
CXCL13,epithelial cell
CXCL13,neuron
CXCL13,helper T cell
CXCL13,dendritic cell
CXCL14,neural cell
CXCL14,leukocyte
CXCL14,neutrophil
CXCL14,T cell
CXCL14,natural killer cell
CXCL14,myelinating Schwann cell
CXCL14,fat cell
CXCL11,lymphocyte
CXCL11,keratinocyte
CXCL11,endothelial cell
CXCL11,dendritic cell
CXCL11,"CD8-positive, alpha-beta T cell"
CXCL11,T cell
CXCL9,respiratory epithelial cell
CXCL9,B cell
CXCL9,"CD8-positive, alpha-beta T cell"
CXCL9,eosinophil
CXCL9,epithelial cell
CXCL9,natural killer cell
CXCL9,leukocyte
CXCL9,T cell
CXCL9,effector T cell
CXCL9,T-helper 1 cell
CXCL9,pneumocyte
CXCL9,"CD4-positive, alpha-beta T cell"
CSF2,neutrophil
CSF2,macrophage
CSF2,T cell
CSF2,monocyte
CSF2,eosinophil
CSF2,dendritic cell
CSF2,granulocyte
CSF2,leukocyte
CSF2,bone marrow cell
CSF2,myeloid cell
CSF2,fibroblast
CSF2,platelet
CSF2,granulocyte monocyte progenitor cell
CSF2,alveolar macrophage
CSF2,stromal cell
CSF2,keratinocyte
CSF2,mast cell
CSF2,lymphocyte
CSF2,stem cell
CSF2,B cell
CSF2,osteoclast
CSF2,peritoneal macrophage
CSF2,"CD8-positive, alpha-beta T cell"
CSF2,epithelial cell
CSF2,"CD4-positive, alpha-beta T cell"
CSF2,natural killer cell
CSF2,microglial cell
CSF2,plasmacytoid dendritic cell
CSF2,pneumocyte
CSF2,T-helper 1 cell
CSF2,promyelocyte
CSF2,endothelial cell
CSF2,blood cell
CSF2,osteoblast
CSF2,bronchial epithelial cell
CSF2,megakaryocyte
CSF2,professional antigen presenting cell
CSF2,adult endothelial progenitor cell
CSF2,mesenchymal cell
CSF2,mononuclear phagocyte
CSF2,basophil
CSF2,neuron
CSF2,Langerhans cell
CSF2,cytotoxic T cell
CSF2,synovial cell
CSF2,T-helper 2 cell
CSF2,bladder cell
CSF2,erythroid progenitor cell
CSF2,neuronal stem cell
CSF2,hepatocyte
CSF2,helper T cell
CSF2,animal cell
CSF2,bone marrow macrophage
CSF2,skin fibroblast
CSF2,glomerular visceral epithelial cell
CSF2,inflammatory macrophage
CSF2,cardiac fibroblast
CSF2,thymocyte
CSF2,peripheral blood stem cell
CSF2,chondrocyte
CSF2,melanocyte
CSF2,myeloid dendritic cell
CSF2,adipose macrophage
CSF2,epithelial cell of lung
CSF2,monoblast
CSF2,blastoderm cell
CSF2,perivascular macrophage
CSF2,common myeloid progenitor
CXCL10,T cell
CXCL10,macrophage
CXCL10,monocyte
CXCL10,"CD8-positive, alpha-beta T cell"
CXCL10,lymphocyte
CXCL10,epithelial cell
CXCL10,natural killer cell
CXCL10,hepatocyte
CXCL10,respiratory epithelial cell
CXCL10,leukocyte
CXCL10,endothelial cell
CXCL10,neuron
CXCL10,fibroblast
CXCL10,eosinophil
CXCL10,neutrophil
CXCL10,"CD4-positive, alpha-beta T cell"
CXCL10,dendritic cell
CXCL10,B cell
CXCL10,adult endothelial progenitor cell
CXCL10,regulatory T cell
CXCL10,mesangial cell
CXCL10,type B pancreatic cell
CXCL10,T-helper 1 cell
CXCL10,cytotoxic T cell
CXCL10,osteoclast
CXCL10,"CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"
CXCL10,vascular associated smooth muscle cell
CXCL10,T-helper 17 cell
CXCL10,Tc1 cell
