cytokine,cell
IL2,T cell
IFNG,macrophage
CXCL8,neutrophil
IL2,natural killer cell
IL2,lymphocyte
CSF3,neutrophil
IFNG,T cell
IL4,B cell
IL5,eosinophil
TNF,endothelial cell
FGF2,endothelial cell
TGFB1,fibroblast
TNF,neutrophil
IFNG,monocyte
CSF1,macrophage
IL12,T cell
TNF,monocyte
CSF3,stem cell
CSF2,neutrophil
TNF,macrophage
TGFB,fibroblast
IL10,T cell
CCL2,monocyte
IL2,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IL2,mature natural killer cell
IL7,T cell
CCL2,macrophage
IL12,T-helper 1 cell
CCL11,eosinophil
TNF,hepatocyte
CSF2,macrophage
TNF,T cell
IL2,B cell
CD40LG,B cell
IL4,T cell
FGF2,neuron
IL2,"CD4-positive, alpha-beta T cell"
IL10,macrophage
IL15,natural killer cell
IFNG,"CD8-positive, alpha-beta T cell"
IL2,"CD8-positive, alpha-beta T cell"
IL1B,chondrocyte
IL12,natural killer cell
IL4,macrophage
IL6,B cell
IL15,T cell
CSF1,osteoclast
TNF,leukocyte
CSF2,monocyte
FGF2,fibroblast
CSF3,hematopoietic stem cell
IL4,T-helper 2 cell
IL10,monocyte
TNF,fibroblast
IL1,T cell
CSF3,granulocyte
CSF2,T cell
HGF,epithelial cell
TGFB,T cell
IL6,T cell
IFNG,keratinocyte
CSF3,peripheral blood stem cell
IL3,basophil
CD40LG,T cell
THPO,platelet
IFNG,"CD4-positive, alpha-beta T cell"
TNF,fat cell
IL15,"CD8-positive, alpha-beta T cell"
PF4,platelet
IFNA,T cell
IL1,fibroblast
IFNA,natural killer cell
TNF,neuron
IFNG,lymphocyte
IL1B,fibroblast
IL4,monocyte
EPO,enucleate erythrocyte
CSF2,dendritic cell
IL17,neutrophil
IFNG,natural killer cell
EPO,erythroid progenitor cell
TNFSF9,T cell
IL6,macrophage
TNF,osteoclast
CSF3,leukocyte
IL21,B cell
IL6,neutrophil
IL2,cytotoxic T cell
TNFSF13B,B cell
IL6,fibroblast
TGFB1,epithelial cell
TGFB1,macrophage
IFNG,neutrophil
TGFB1,endothelial cell
IL1B,macrophage
IFNG,peritoneal macrophage
CSF2,eosinophil
IL2,thymocyte
IL6,osteoclast
CSF1,monocyte
TGFB1,keratinocyte
IL6,platelet
IL6,hepatocyte
EPO,reticulocyte
IFNG,endothelial cell
IL18,T cell
TNF,epithelial cell
IFNG,B cell
IL4,"CD4-positive, alpha-beta T cell"
IFNG,T-helper 1 cell
FGF2,osteoblast
PDGF,fibroblast
KITLG,mast cell
IL21,"CD8-positive, alpha-beta T cell"
IL1B,monocyte
IFNG,eosinophil
THPO,megakaryocyte
TGFB,osteoblast
TGFB,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
CSF2,leukocyte
IL10,B cell
CXCL2,neutrophil
IL1,endothelial cell
TNF,B cell
IL12,"CD8-positive, alpha-beta T cell"
TGFB,hepatocyte
IL6,monocyte
TGFB,macrophage
TNF,eosinophil
IL1,chondrocyte
IL1B,neutrophil
IFNA,monocyte
EPO,erythrocyte
IFNG,hepatocyte
IL1,thymocyte
CXCL12,stem cell
IL7,B cell
IFNG,microglial cell
CX3CL1,leukocyte
IL5,B cell
IFNG,epithelial cell
CSF3,myeloid cell
CXCL1,neutrophil
TGFB1,glomerular visceral epithelial cell
IL10,"CD4-positive, alpha-beta T cell"
CSF2,myeloid cell
IL3,mast cell
CXCL8,leukocyte
TGFB1,osteoblast
IL10,neutrophil
IL33,eosinophil
TNF,synovial cell
IL1B,synovial cell
CCL4,hepatocyte
TGFB,osteoclast
IL18,natural killer cell
IL13,goblet cell
TGFB1,T cell
TGFB,chondrocyte
PPBP,platelet
IL1B,neuron
CSF2,granulocyte
TNF,lymphocyte
IL12,"CD4-positive, alpha-beta T cell"
IL1,neutrophil
IL4,lymphocyte
IL10,T-helper 1 cell
TGFB,"CD8-positive, alpha-beta T cell"
IFNG,fibroblast
IL1,monocyte
IFNB1,macrophage
IFNG,leukocyte
IL7,lymphocyte
EPO,platelet
TNF,keratinocyte
CXCL12,T cell
IL4,eosinophil
IL10,"CD8-positive, alpha-beta T cell"
IL1B,astrocyte
IL1,macrophage
FGF2,mesenchymal cell
TNF,natural killer cell
TNF,microglial cell
TNF,osteoblast
IL4,mast cell
IL1B,type B pancreatic cell
IFNB1,T cell
CCL2,leukocyte
TGFB,epithelial cell
IFNA,B cell
IL33,T-helper 2 cell
IL6,leukocyte
EGF,fibroblast
CSF3,T cell
TGFB,monocyte
IL4,"CD8-positive, alpha-beta T cell"
CXCL8,endothelial cell
TNFSF9,"CD8-positive, alpha-beta T cell"
FGF2,myoblast
IL6,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
TNF,astrocyte
IFNA,macrophage
IL6,endothelial cell
IL6,neuron
CXCL13,B cell
IL7,"CD8-positive, alpha-beta T cell"
HGF,endothelial cell
IL33,mast cell
IL1,lymphocyte
IL7,"CD4-positive, alpha-beta T cell"
IL10,T-helper 2 cell
IL6,plasma cell
TGFB,keratinocyte
FGF2,melanocyte
IL21,natural killer cell
CCL2,T cell
TNF,endothelial cell of vascular tree
IL2,leukocyte
IL3,stem cell
IL1,osteoclast
CD40LG,platelet
CSF2,platelet
IL1A,fibroblast
IL18,neutrophil
IL21,T cell
PDGF,platelet
CXCL12,endothelial cell
IFN1,macrophage
IL6,megakaryocyte
CSF2,granulocyte monocyte progenitor cell
CSF2,alveolar macrophage
IFNG,neuron
IL6,lymphocyte
CXCL8,eosinophil
TGFB,mesenchymal cell
IFNG,astrocyte
IL1,leukocyte
TGFB1,"CD4-positive, alpha-beta T cell"
TGFB1,monocyte
IL17A,neutrophil
CXCL12,lymphocyte
IL12,lymphocyte
IL15,lymphocyte
TGFB1,chondrocyte
CXCL10,T cell
TNF,dendritic cell
IL22,keratinocyte
FGF2,smooth muscle cell
FGF2,chondrocyte
FGF2,stem cell
TGFB1,mesenchymal cell
IL6,epithelial cell
IL6,"CD4-positive, alpha-beta T cell"
IFNB1,monocyte
IL10,leukocyte
IFNG,mononuclear phagocyte
TNFSF11,osteoclast
TGFB1,mesangial cell
IL10,Tr1 cell
IL3,megakaryocyte
CCL2,fibroblast
TGFB,natural killer cell
IL10,natural killer cell
TGFA,hepatocyte
IL7,precursor B cell
CCL26,eosinophil
TNF,intestinal epithelial cell
RETN,monocyte
IL12,macrophage
IL4,alternatively activated macrophage
IFNB1,B cell
IL4,T-helper 1 cell
EPO,endothelial cell
IL6,T-helper 17 cell
IL1,astrocyte
IFNA,plasmacytoid dendritic cell
IL2,gamma-delta T cell
TNF,oligodendrocyte
CD40LG,dendritic cell
IL2,eosinophil
CSF3,monocyte
IL3,T cell
CX3CL1,natural killer cell
CXCL5,neutrophil
RETN,fat cell
IL13,monocyte
TNF,platelet
IL1B,leukocyte
IL1B,osteoblast
CCL3,osteoclast
IL13,macrophage
TGFB,endothelial cell
IL6,mast cell
IL18,T-helper 1 cell
CXCL8,monocyte
EGF,epithelial cell
FGF1,neuron
TGFB1,stromal cell
TNF,cardiac muscle cell
TNF,"CD4-positive, alpha-beta T cell"
IL1A,osteoclast
PDGF,smooth muscle cell
TGFB1,astrocyte
IL33,macrophage
CCL21,T cell
IL33,"CD8-positive, alpha-beta T cell"
CSF3,granulocyte monocyte progenitor cell
TGFB,keratocyte
IL7,thymocyte
TNF,chondrocyte
CSF1,mononuclear phagocyte
TGFB,smooth muscle cell
TGFB1,osteoclast
IL1B,eosinophil
IL6,cardiac muscle cell
IL27,T-helper 1 cell
IFNG,inflammatory macrophage
CXCL12,neuron
IL12,mature NK T cell
IL1B,endothelial cell
IL2,neutrophil
TNF,vein endothelial cell
IL3,bone marrow cell
IL12,B cell
TNF,peritoneal macrophage
TNF,embryonic stem cell
TNF,stromal cell
CSF2,bone marrow cell
CSF2,"CD8-positive, alpha-beta T cell"
TGFB,mammary epithelial cell
TGFB1,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IFN1,T cell
TNFSF4,T cell
IFNG,cytotoxic T cell
IL1A,keratinocyte
IFNG,dendritic cell
TGFB1,cardiac fibroblast
TGFB1,mast cell
IL4,fibroblast
TNF,mast cell
TGFB,"CD4-positive, alpha-beta T cell"
IL13,B cell
IL17,macrophage
IL17,B cell
TGFB1,microglial cell
IL3,granulocyte monocyte progenitor cell
CSF1,microglial cell
IL16,"CD4-positive, alpha-beta T cell"
CSF2,peritoneal macrophage
TNF,granulocyte
TGFB,glomerular visceral epithelial cell
IL2,regulatory T cell
IL25,eosinophil
IL3,neutrophil
IL6,osteoblast
CCL2,neutrophil
CSF3,platelet
IL17,T-helper 17 cell
TNF,aortic endothelial cell
TGFB1,B cell
TNF,thymocyte
EPO,adult endothelial progenitor cell
IL15,neutrophil
IL13,respiratory epithelial cell
IL4,microglial cell
IFNG,cardiac muscle cell
CSF3,lymphocyte
EPO,erythroblast
TGFB,mesangial cell
TNF,preadipocyte
FGF2,aortic endothelial cell
TGFB,synovial cell
CD40LG,"CD4-positive, alpha-beta T cell"
HGF,fibroblast
EPO,neuron
IL15,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IL15,"CD4-positive, alpha-beta T cell"
IL23,"CD4-positive, alpha-beta T cell"
TGFB1,odontoblast
IFNB1,natural killer cell
IL1B,stromal cell
IL25,T-helper 2 cell
TGFB,lymphocyte
FGF2,stromal cell
CD40LG,leukocyte
IL17,endothelial cell
CXCL10,natural killer cell
IL1,B cell
TNF,vascular associated smooth muscle cell
IFNA,"CD8-positive, alpha-beta T cell"
IL2,T-helper 1 cell
IL17A,macrophage
TNF,glial cell
TGFB,hematopoietic stem cell
CSF1,peritoneal macrophage
IFNG,hematopoietic stem cell
FGF2,oligodendrocyte
IL27,"CD8-positive, alpha-beta T cell"
TNF,alveolar macrophage
IL12B,T-helper 1 cell
TGFB1,mesothelial cell
CSF3,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
TNF,mature neutrophil
IL15,B cell
IL2,monocyte
IL10,lymphocyte
IFNG,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
CCL2,endothelial cell
IFNA,leukocyte
TNF,respiratory epithelial cell
IL10,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IL5,T cell
IL1A,endothelial cell
CSF3,endothelial cell
IL1B,microglial cell
TGFB1,hematopoietic stem cell
IL1B,epithelial cell
TGF,fibroblast
CSF3,neuron
GDF15,cardiac muscle cell
IL17,keratinocyte
SPP1,macrophage
TGFB,myoblast
IFNG,T-helper 2 cell
TGFB1,natural killer cell
FGF2,keratinocyte
IL1B,osteoclast
EPO,megakaryocyte
FGF2,osteoclast
IL3,erythroid progenitor cell
TGFB,eosinophil
TGFB,induced T-regulatory cell
IL1,keratinocyte
IL18,monocyte
IFNA,neutrophil
IL18,"CD4-positive, alpha-beta T cell"
IL6,astrocyte
IL17,fibroblast
IL6,thymocyte
IL4,dendritic cell
IL33,T cell
IL3,hematopoietic stem cell
IL1A,neutrophil
FGF2,endothelial cell of vascular tree
IL1,stromal cell
LIF,neuron
IL10,regulatory T cell
CXCL12,leukocyte
IFNG,osteoclast
IL17,T cell
IL3,leukocyte
IL13,eosinophil
IL1A,T cell
TNF,muscle cell
IL22,T-helper 22 cell
IFNG,granulocyte monocyte progenitor cell
TNFSF9,monocyte
CXCL8,epithelial cell
CSF1,fibroblast
IL1,osteoblast
CCL11,basophil
TNF,type B pancreatic cell
IL17,osteoblast
CXCL8,mature neutrophil
IL7,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
RETN,endothelial cell
IL2,bone marrow cell
TGFA,epithelial cell
IL6,chondrocyte
GDF15,neuron
TGFB1,"CD8-positive, alpha-beta T cell"
IL6,granulocyte monocyte progenitor cell
CD40LG,"CD8-positive, alpha-beta T cell"
IL6,myeloid cell
TNF,"CD8-positive, alpha-beta T cell"
IL23,T-helper 17 cell
TGFB1,neuron
CCL9,osteoclast
EGF,hepatocyte
CCL27,T cell
IL1B,T cell
CCL4,macrophage
IL12,monocyte
IL4,leukocyte
TGFB,stem cell
CXCL12,platelet
CXCL8,macrophage
IFNG,alveolar macrophage
TGFB1,hepatic stellate cell
CXCL8,bronchial epithelial cell
TGFB,T-helper 17 cell
CSF3,adult endothelial progenitor cell
IL3,osteoclast
MIF,leukocyte
IL1B,mesangial cell
IL17,synovial cell
FGF2,glial cell
FGF2,vascular associated smooth muscle cell
IFNG,mature natural killer cell
TGF,mesenchymal cell
IL33,neutrophil
TGFB1,stem cell
CSF2,B cell
IFNA,T-helper 1 cell
TGFB,leukocyte
FGF1,endothelial cell
TGFB,microglial cell
IL12,naive T cell
IFNA,hepatocyte
TGFA,keratinocyte
TGFB1,vascular associated smooth muscle cell
PF4,endothelial cell
TNF,mesenchymal cell
IL11,stem cell
MIF,macrophage
IL6,peritoneal macrophage
TGFB,stromal cell
IFNA,platelet
IL4,myeloid cell
IL1,synovial cell
IL18,T-helper 2 cell
CXCL2,leukocyte
CX3CL1,microglial cell
IL12,leukocyte
IL1B,fat cell
CSF3,common myeloid progenitor
IL13,fibroblast
IL21,lymphocyte
TNF,myeloid cell
CX3CL1,platelet
IL1A,hepatocyte
IL10,cytotoxic T cell
TNFSF9,"CD4-positive, alpha-beta T cell"
IFNG,mesenchymal cell
IFNG,erythrocyte
CXCL10,leukocyte
IFNG,megakaryocyte
IL6,natural killer cell
TGFB1,endothelial cell of vascular tree
CXCL12,adult endothelial progenitor cell
CSF3,myeloblast
IL33,endothelial cell
CSF1,bone marrow cell
IFNG,platelet
LTA,T cell
IL22,epithelial cell
CSF2,lymphocyte
CXCL8,stromal cell
TNF,glomerular visceral epithelial cell
SPP1,leukocyte
TGFB1,myoblast
IL17,leukocyte
CCL3,macrophage
TNF,mononuclear phagocyte
TNF,Kupffer cell
TNF,stem cell
IL23,osteoclast
IL1B,T-helper 17 cell
CD40LG,macrophage
CSF2,stem cell
FGF2,synovial cell
CCL9,hepatocyte
CSF2,microglial cell
TNF,myelinating Schwann cell
IL6,myoblast
IFNB1,lymphocyte
IL4,hepatocyte
CXCL12,type B pancreatic cell
CCL3,leukocyte
FGF2,neuronal stem cell
CD40LG,lymphocyte
IFNB1,"CD4-positive, alpha-beta T cell"
IL21,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
TGFB1,prostate stromal cell
TGFB,myeloid cell
IFNB1,neutrophil
IL17A,keratinocyte
CSF2,plasmacytoid dendritic cell
CXCL8,keratinocyte
TGFB1,megakaryocyte
TNFSF4,"CD4-positive, alpha-beta T cell"
IL4,neutrophil
IL1B,platelet
TNF,mesangial cell
IFNG,myeloid dendritic cell
IL6,sperm
IL10,dendritic cell
CXCL8,granulocyte
IL6,cholangiocyte
CXCL8,hematopoietic stem cell
IL21,"CD4-positive, alpha-beta T cell"
IL5,"CD4-positive, alpha-beta T cell"
CCL2,T-helper 2 cell
IL4,natural killer cell
IL1B,alveolar macrophage
IFN1,natural killer cell
CSF3,cardiac muscle cell
IL3,macrophage
IL1,mesangial cell
TNF,smooth muscle cell
IL1B,articular chondrocyte
FGF2,hippocampal neuron
CSF1,neuron
IL15,T-helper 1 cell
TNFSF15,T cell
CCL22,T cell
IL27,T cell
CSF2,keratinocyte
CXCL10,eosinophil
IL1B,smooth muscle cell
TGFB1,mammary epithelial cell
IL1,type B pancreatic cell
IFN1,T-helper 1 cell
IL33,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IL2,macrophage
IL4,cytotoxic T cell
TGFB2,endothelial cell
IFNB1,T-helper 1 cell
FGF2,preadipocyte
TNF,cytotoxic T cell
IL31,sensory neuron
CXCL12,hematopoietic stem cell
LIF,macrophage
CCL24,eosinophil
IFNG,myoblast
IL33,natural killer cell
TGFB,skin fibroblast
CXCL12,B cell
IL27,macrophage
IFNB1,fibroblast
IL18,eosinophil
TGFB1,hepatocyte
IL13,bronchial epithelial cell
IL1B,B cell
TNF,myotube
CXCL8,T cell
TNF,mature microglial cell
IL7,naive T cell
IL1A,macrophage
IL17A,fat cell
IL4,naive B cell
CCL2,osteoclast
HGF,intestinal epithelial cell
IL17,neuron
TGFB1,cardiac muscle cell
CCL2,B cell
TGFB1,bronchial epithelial cell
IL11,platelet
PDGF,mesangial cell
IL4,synovial cell
TGFB1,muscle cell
CCL9,"CD4-positive, alpha-beta T cell"
IL3,eosinophil
CXCL1,monocyte
PDGFB,pericyte cell
IFNG,enterocyte
IL1A,platelet
HGF,stem cell
IL17A,cardiac muscle cell
CCL4,hematopoietic stem cell
FGF2,neuroblast (sensu Nematoda and Protostomia)
TGFB,platelet
CCL3,T cell
IL12B,T cell
IL21,plasma cell
IL9,mast cell
GDF15,muscle cell
TGFB3,chondrocyte
IFNA,stromal cell
IL4,inflammatory macrophage
CXCL12,thymocyte
CCL3,neutrophil
CSF3,osteoclast
TGFB,regulatory T cell
IL1A,chondrocyte
IFNG,endothelial cell of vascular tree
IFNB1,leukocyte
IL2,helper T cell
TNFSF9,natural killer cell
CCL17,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
CCL26,neuron
FGF2,corneal endothelial cell
CCL22,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IL6,T-helper 2 cell
IL11,megakaryocyte
TGFB,mesothelial cell
EGF,chondrocyte
IL23,T cell
TGFB,cardiac muscle cell
FGF1,astrocyte
TGFB,neuron
IFN1,B cell
CCL5,leukocyte
IL4,thymocyte
TGFB1,articular chondrocyte
CSF2,blood cell
IL15,mature natural killer cell
TGFB1,pneumocyte
IL13,epithelial cell
CX3CL1,monocyte
CXCL12,neuroblast (sensu Nematoda and Protostomia)
IFN1,dendritic cell
IL6,keratinocyte
PDGF,vascular associated smooth muscle cell
IL12,helper T cell
CXCL12,monocyte
IL6,dendritic cell
EGF,epidermal cell
CCL2,microglial cell
TGFB,B cell
TGFB,thymocyte
CCL4,T cell
