,1-10,11-30,31-75,all
M-aupr,0.1300104105434256,0.4415865479354679,0.7054014432261744,0.20373886646830827
M-auc,0.6779786923747338,0.7703665939155261,0.7721800517881607,0.6947994486695277
aupr_list,"[0.1, 0.325, 0.2944444444444444, 0.011627906976744186, 0.09830664973780916, 0.43897738823847193, 0.02564102564102564, 0.11164351644227805, 0.03350383631713555, 0.03689064558629776, 0.03051106025934401, 0.07692307692307693, 0.079560697518444, 0.13650793650793652, 0.045454545454545456, 0.1831425153793575, 0.11100146198830409, 0.45541125541125543, 0.21099813928761296, 0.3784384498480243, 0.195574564376773, 0.010101010101010102, 0.09122574611239845, 0.3205128205128205, 0.20842660951020087, 0.1240530303030303, 0.2, 0.07519375482731987, 0.027777777777777776, 0.17019748197786577, 0.06266087516087517, 0.42255698229354965, 0.21428571428571427, 0.4850684261974585, 0.05263157894736842, 0.2907081902771558, 0.03255145465365657, 0.06666666666666667, 0.48427710239304445, 0.04607843137254902, 0.332936507936508, 0.03125, 0.02857142857142857, 0.12451970505975084, 0.3526634382566586, 0.09090909090909091, 0.04, 0.11873691320499831, 0.08333333333333333, 0.28308080808080804, 0.1024526198439242, 0.07780907532959516, 0.058823529411764705, 0.07291666666666666, 0.0835978835978836, 0.043478260869565216, 0.023614523614523618, 0.058823529411764705, 0.034482758620689655, 0.125, 0.9200680272108843, 0.08341013824884792, 0.1927898027898028, 0.008849557522123894, 0.020833333333333332, 0.07032967032967033, 0.043478260869565216, 0.09821428571428571, 0.09126984126984126, 0.0873015873015873, 0.07692307692307693, 0.45, 0.41127244026811616, 0.34740515097657954, 0.08932539682539682, 0.017857142857142856, 0.023809523809523808, 0.009259259259259259, 0.0707679601941111, 0.22959033245759206, 0.2, 0.06203007518796992, 0.6240896358543417, 0.411565991774947, 0.09403310104529616, 0.05338691159586682, 0.008928571428571428, 0.05555555555555555, 0.2705529675638371, 0.125, 0.012345679012345678, 0.10961538461538461, 0.021739130434782608, 0.20036485680717295, 0.0125, 0.01950757575757576, 0.06547619047619047, 0.18977163311840733, 0.00909090909090909, 0.045762570762570766, 0.02663897946916815, 0.07294429708222812, 0.010526315789473684, 0.10659544159544161, 0.03689064558629776, 0.39551820728291315, 0.07692307692307693, 0.0136986301369863, 0.1596027302298299, 0.16331755590681013, 0.02113910186199343, 0.27582668053915976, 0.20555555555555555, 0.024643874643874644, 0.14027777777777778, 0.024390243902439025, 0.5, 0.009345794392523364, 0.014245548266166821, 0.1, 0.022954922357907435, 0.00980392156862745, 0.03868652898825312, 0.03409710856519367, 0.11218890797731768, 0.0625, 0.013157894736842105, 0.2, 0.10803828679380961, 0.37580992834026816, 0.018867924528301886, 0.020790546546914757, 0.259603851010101, 0.0375, 0.016452251360712516, 0.015625, 0.06847826086956521, 0.2339687516932099, 0.3033097854526426, 0.030303030303030304, 0.009900990099009901, 0.06666666666666667, 0.09675036624881826, 0.015873015873015872, 0.022727272727272728, 0.026803118908382065, 0.02127659574468085, 0.2780337941628264, 0.011764705882352941, 0.012048192771084338, 0.010638297872340425, 0.0515170572399488, 0.035492155210465066, 0.09090909090909091, 0.14285714285714285, 0.05263157894736842, 0.06020066889632107, 0.14285714285714285, 0.580625, 0.047619047619047616, 0.09722222222222221, 0.10882352941176471, 0.023809523809523808, 0.14870821777842652, 0.26587301587301587, 0.019230769230769232, 0.038926681783824635, 0.014285714285714285, 0.02564102564102564, 0.05534511784511784, 0.011235955056179775, 0.07384044526901669, 0.3907154528478058, 0.39985569985569985, 0.030303030303030304, 0.07732917114053159, 0.015625, 0.03225806451612903, 0.15348379938798212, 0.4519230769230769, 0.029411764705882353, 0.18361581920903955, 0.010638297872340425, 0.29, 0.03571428571428571, 0.015625, 0.00909090909090909, 0.03896103896103896, 0.04173913043478261, 0.018038163387000594, 0.017245989304812834, 0.010416666666666666, 0.1111111111111111, 0.08333333333333333, 0.4017857142857143, 0.44235972409959134, 0.5183333333333333, 0.034482758620689655, 0.2671072974644403, 0.14801587301587302, 0.12179487179487179, 0.175, 0.06666666666666667, 0.2011494252873563, 0.11920658126798478, 0.02564102564102564, 0.06666666666666667, 0.18036529680365296, 0.058823529411764705, 0.03761214630779848, 0.0512987012987013, 0.03151927437641723, 0.2764245014245015, 0.022222222222222223, 0.19750988142292492, 0.3333333333333333, 0.29399900252303, 0.02857142857142857, 0.04]","[0.6462465822032184, 0.4830842798871169, 0.5331692474124039, 0.34348584302943164, 0.616471693449354, 0.5941311601139867, 0.5703036735951638, 0.2656624574218215, 0.4548882383616116, 0.5129831984321148, 0.5808999512826911, 0.6419476825074357, 0.5870052186168558, 0.5204647724550862, 0.4060550511866301, 0.2907081902771558, 0.5010901319510536, 0.3344917235855923, 0.639380957035401, 0.5175538531271273, 0.2854949804467532, 0.5335610023958143, 0.46926848864292, 0.4210897445926837, 0.47726384827052226, 0.5837917447432048, 0.31746009594308555, 0.4562643992801796, 0.5657004358819242, 0.411565991774947, 0.3214003593359167, 0.5626057005167631, 0.20036485680717295, 0.42885159045078897, 0.5472770023372141, 0.37580992834026816, 0.15842580160131722, 0.44240698914611953, 0.36415779209140714, 0.580625, 0.2314759422968973, 0.3117795408797108, 0.16652335655112854, 0.1766196109025971]","[0.7369193753971772, 0.7525846203436806, 0.5867143702844224, 0.7308985263257419, 0.7954806724300919, 0.822650862589842, 0.6959948919453265, 0.5749192908130879, 0.7732321708977841, 0.6338493464514957, 0.7520858227456078, 0.5207084169097774, 0.7941803948062336]","[0.1, 0.325, 0.2944444444444444, 0.011627906976744186, 0.09830664973780916, 0.6462465822032184, 0.4830842798871169, 0.43897738823847193, 0.02564102564102564, 0.11164351644227805, 0.03350383631713555, 0.03689064558629776, 0.03051106025934401, 0.07692307692307693, 0.5331692474124039, 0.7369193753971772, 0.079560697518444, 0.13650793650793652, 0.34348584302943164, 0.045454545454545456, 0.616471693449354, 0.1831425153793575, 0.11100146198830409, 0.45541125541125543, 0.7525846203436806, 0.21099813928761296, 0.5941311601139867, 0.3784384498480243, 0.195574564376773, 0.5703036735951638, 0.010101010101010102, 0.09122574611239845, 0.3205128205128205, 0.20842660951020087, 0.5867143702844224, 0.1240530303030303, 0.2, 0.07519375482731987, 0.2656624574218215, 0.4548882383616116, 0.5129831984321148, 0.5808999512826911, 0.027777777777777776, 0.6419476825074357, 0.17019748197786577, 0.5870052186168558, 0.06266087516087517, 0.5204647724550862, 0.42255698229354965, 0.4060550511866301, 0.21428571428571427, 0.4850684261974585, 0.05263157894736842, 0.2907081902771558, 0.03255145465365657, 0.5010901319510536, 0.06666666666666667, 0.48427710239304445, 0.04607843137254902, 0.332936507936508, 0.03125, 0.02857142857142857, 0.3344917235855923, 0.12451970505975084, 0.3526634382566586, 0.09090909090909091, 0.04, 0.11873691320499831, 0.639380957035401, 0.7308985263257419, 0.7954806724300919, 0.08333333333333333, 0.5175538531271273, 0.28308080808080804, 0.1024526198439242, 0.07780907532959516, 0.058823529411764705, 0.2854949804467532, 0.07291666666666666, 0.0835978835978836, 0.043478260869565216, 0.023614523614523618, 0.058823529411764705, 0.034482758620689655, 0.125, 0.5335610023958143, 0.9200680272108843, 0.08341013824884792, 0.46926848864292, 0.1927898027898028, 0.008849557522123894, 0.020833333333333332, 0.07032967032967033, 0.043478260869565216, 0.4210897445926837, 0.09821428571428571, 0.822650862589842, 0.47726384827052226, 0.5837917447432048, 0.09126984126984126, 0.31746009594308555, 0.4562643992801796, 0.0873015873015873, 0.07692307692307693, 0.45, 0.6959948919453265, 0.5657004358819242, 0.41127244026811616, 0.34740515097657954, 0.08932539682539682, 0.017857142857142856, 0.023809523809523808, 0.009259259259259259, 0.0707679601941111, 0.5749192908130879, 0.7732321708977841, 0.6338493464514957, 0.22959033245759206, 0.2, 0.06203007518796992, 0.6240896358543417, 0.411565991774947, 0.09403310104529616, 0.05338691159586682, 0.008928571428571428, 0.05555555555555555, 0.2705529675638371, 0.125, 0.012345679012345678, 0.7520858227456078, 0.10961538461538461, 0.3214003593359167, 0.5626057005167631, 0.021739130434782608, 0.20036485680717295, 0.5207084169097774, 0.7941803948062336, 0.0125, 0.01950757575757576, 0.06547619047619047, 0.18977163311840733, 0.00909090909090909, 0.045762570762570766, 0.02663897946916815, 0.07294429708222812, 0.42885159045078897, 0.010526315789473684, 0.10659544159544161, 0.03689064558629776, 0.39551820728291315, 0.07692307692307693, 0.0136986301369863, 0.1596027302298299, 0.16331755590681013, 0.5472770023372141, 0.02113910186199343, 0.27582668053915976, 0.20555555555555555, 0.024643874643874644, 0.14027777777777778, 0.024390243902439025, 0.5, 0.009345794392523364, 0.014245548266166821, 0.1, 0.022954922357907435, 0.00980392156862745, 0.03868652898825312, 0.03409710856519367, 0.11218890797731768, 0.0625, 0.013157894736842105, 0.2, 0.10803828679380961, 0.37580992834026816, 0.018867924528301886, 0.020790546546914757, 0.259603851010101, 0.15842580160131722, 0.0375, 0.016452251360712516, 0.015625, 0.06847826086956521, 0.44240698914611953, 0.2339687516932099, 0.3033097854526426, 0.030303030303030304, 0.009900990099009901, 0.06666666666666667, 0.09675036624881826, 0.015873015873015872, 0.022727272727272728, 0.026803118908382065, 0.02127659574468085, 0.2780337941628264, 0.011764705882352941, 0.012048192771084338, 0.010638297872340425, 0.0515170572399488, 0.035492155210465066, 0.09090909090909091, 0.14285714285714285, 0.05263157894736842, 0.36415779209140714, 0.06020066889632107, 0.14285714285714285, 0.580625, 0.2314759422968973, 0.047619047619047616, 0.09722222222222221, 0.10882352941176471, 0.023809523809523808, 0.14870821777842652, 0.26587301587301587, 0.019230769230769232, 0.038926681783824635, 0.014285714285714285, 0.02564102564102564, 0.05534511784511784, 0.011235955056179775, 0.3117795408797108, 0.07384044526901669, 0.3907154528478058, 0.39985569985569985, 0.030303030303030304, 0.07732917114053159, 0.015625, 0.03225806451612903, 0.15348379938798212, 0.4519230769230769, 0.029411764705882353, 0.18361581920903955, 0.010638297872340425, 0.29, 0.03571428571428571, 0.015625, 0.00909090909090909, 0.03896103896103896, 0.04173913043478261, 0.018038163387000594, 0.017245989304812834, 0.010416666666666666, 0.1111111111111111, 0.08333333333333333, 0.4017857142857143, 0.44235972409959134, 0.5183333333333333, 0.16652335655112854, 0.034482758620689655, 0.2671072974644403, 0.14801587301587302, 0.1766196109025971, 0.12179487179487179, 0.175, 0.06666666666666667, 0.2011494252873563, 0.11920658126798478, 0.02564102564102564, 0.06666666666666667, 0.18036529680365296, 0.058823529411764705, 0.03761214630779848, 0.0512987012987013, 0.03151927437641723, 0.2764245014245015, 0.022222222222222223, 0.19750988142292492, 0.3333333333333333, 0.29399900252303, 0.02857142857142857, 0.04]"
num_pos_list,"[1.0, 2.0, 3.0, 1.0, 6.0, 7.0, 1.0, 7.0, 2.0, 2.0, 2.0, 1.0, 3.0, 3.0, 1.0, 4.0, 4.0, 5.0, 5.0, 8.0, 8.0, 1.0, 5.0, 4.0, 5.0, 3.0, 1.0, 5.0, 1.0, 7.0, 3.0, 6.0, 2.0, 9.0, 1.0, 10.0, 3.0, 1.0, 9.0, 2.0, 7.0, 1.0, 1.0, 5.0, 5.0, 1.0, 1.0, 5.0, 1.0, 6.0, 3.0, 7.0, 1.0, 2.0, 3.0, 1.0, 2.0, 1.0, 1.0, 1.0, 7.0, 3.0, 5.0, 1.0, 1.0, 3.0, 1.0, 2.0, 2.0, 3.0, 1.0, 2.0, 7.0, 7.0, 4.0, 1.0, 1.0, 1.0, 4.0, 8.0, 1.0, 2.0, 5.0, 10.0, 4.0, 2.0, 1.0, 1.0, 6.0, 1.0, 1.0, 2.0, 1.0, 10.0, 1.0, 2.0, 2.0, 8.0, 1.0, 4.0, 3.0, 2.0, 1.0, 5.0, 2.0, 5.0, 1.0, 1.0, 5.0, 6.0, 2.0, 4.0, 3.0, 2.0, 4.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0, 1.0, 4.0, 2.0, 6.0, 1.0, 1.0, 1.0, 7.0, 10.0, 1.0, 3.0, 8.0, 2.0, 2.0, 1.0, 2.0, 9.0, 7.0, 1.0, 1.0, 1.0, 5.0, 1.0, 1.0, 2.0, 1.0, 3.0, 1.0, 1.0, 1.0, 4.0, 4.0, 1.0, 1.0, 1.0, 2.0, 1.0, 10.0, 1.0, 2.0, 2.0, 1.0, 4.0, 3.0, 1.0, 2.0, 1.0, 1.0, 4.0, 1.0, 3.0, 8.0, 5.0, 1.0, 5.0, 1.0, 1.0, 7.0, 4.0, 1.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 4.0, 6.0, 5.0, 1.0, 7.0, 4.0, 2.0, 2.0, 1.0, 2.0, 5.0, 1.0, 1.0, 2.0, 1.0, 2.0, 2.0, 2.0, 6.0, 1.0, 5.0, 1.0, 6.0, 1.0, 1.0]","[26.0, 22.0, 15.0, 18.0, 26.0, 28.0, 22.0, 11.0, 17.0, 11.0, 27.0, 19.0, 12.0, 16.0, 12.0, 10.0, 26.0, 11.0, 26.0, 27.0, 12.0, 22.0, 20.0, 27.0, 25.0, 20.0, 12.0, 11.0, 13.0, 10.0, 22.0, 16.0, 10.0, 23.0, 12.0, 10.0, 13.0, 11.0, 13.0, 10.0, 11.0, 13.0, 11.0, 11.0]","[33.0, 59.0, 43.0, 49.0, 40.0, 38.0, 40.0, 36.0, 41.0, 34.0, 46.0, 32.0, 48.0]","[1.0, 2.0, 3.0, 1.0, 6.0, 26.0, 22.0, 7.0, 1.0, 7.0, 2.0, 2.0, 2.0, 1.0, 15.0, 33.0, 3.0, 3.0, 18.0, 1.0, 26.0, 4.0, 4.0, 5.0, 59.0, 5.0, 28.0, 8.0, 8.0, 22.0, 1.0, 5.0, 4.0, 5.0, 43.0, 3.0, 1.0, 5.0, 11.0, 17.0, 11.0, 27.0, 1.0, 19.0, 7.0, 12.0, 3.0, 16.0, 6.0, 12.0, 2.0, 9.0, 1.0, 10.0, 3.0, 26.0, 1.0, 9.0, 2.0, 7.0, 1.0, 1.0, 11.0, 5.0, 5.0, 1.0, 1.0, 5.0, 26.0, 49.0, 40.0, 1.0, 27.0, 6.0, 3.0, 7.0, 1.0, 12.0, 2.0, 3.0, 1.0, 2.0, 1.0, 1.0, 1.0, 22.0, 7.0, 3.0, 20.0, 5.0, 1.0, 1.0, 3.0, 1.0, 27.0, 2.0, 38.0, 25.0, 20.0, 2.0, 12.0, 11.0, 3.0, 1.0, 2.0, 40.0, 13.0, 7.0, 7.0, 4.0, 1.0, 1.0, 1.0, 4.0, 36.0, 41.0, 34.0, 8.0, 1.0, 2.0, 5.0, 10.0, 4.0, 2.0, 1.0, 1.0, 6.0, 1.0, 1.0, 46.0, 2.0, 22.0, 16.0, 1.0, 10.0, 32.0, 48.0, 1.0, 2.0, 2.0, 8.0, 1.0, 4.0, 3.0, 2.0, 23.0, 1.0, 5.0, 2.0, 5.0, 1.0, 1.0, 5.0, 6.0, 12.0, 2.0, 4.0, 3.0, 2.0, 4.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0, 1.0, 4.0, 2.0, 6.0, 1.0, 1.0, 1.0, 7.0, 10.0, 1.0, 3.0, 8.0, 13.0, 2.0, 2.0, 1.0, 2.0, 11.0, 9.0, 7.0, 1.0, 1.0, 1.0, 5.0, 1.0, 1.0, 2.0, 1.0, 3.0, 1.0, 1.0, 1.0, 4.0, 4.0, 1.0, 1.0, 1.0, 13.0, 2.0, 1.0, 10.0, 11.0, 1.0, 2.0, 2.0, 1.0, 4.0, 3.0, 1.0, 2.0, 1.0, 1.0, 4.0, 1.0, 13.0, 3.0, 8.0, 5.0, 1.0, 5.0, 1.0, 1.0, 7.0, 4.0, 1.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 4.0, 6.0, 5.0, 11.0, 1.0, 7.0, 4.0, 11.0, 2.0, 2.0, 1.0, 2.0, 5.0, 1.0, 1.0, 2.0, 1.0, 2.0, 2.0, 2.0, 6.0, 1.0, 5.0, 1.0, 6.0, 1.0, 1.0]"
auc_list,"[0.9203539823008849, 0.9732142857142857, 0.957957957957958, 0.24778761061946908, 0.675925925925926, 0.807743658210948, 0.663716814159292, 0.6088117489986649, 0.53125, 0.6160714285714286, 0.4017857142857143, 0.8938053097345133, 0.7147147147147148, 0.891891891891892, 0.8141592920353982, 0.8818181818181818, 0.7409090909090909, 0.9100917431192661, 0.8275229357798164, 0.8254716981132075, 0.6839622641509434, 0.1327433628318584, 0.6440366972477064, 0.8022727272727272, 0.8642201834862386, 0.6516516516516516, 0.9646017699115044, 0.6293577981651376, 0.6902654867256637, 0.7636849132176236, 0.7327327327327328, 0.7283950617283952, 0.90625, 0.892063492063492, 0.8407079646017699, 0.8288461538461538, 0.48348348348348347, 0.8761061946902655, 0.7576719576719576, 0.7276785714285714, 0.8598130841121496, 0.7256637168141593, 0.6991150442477876, 0.7908256880733945, 0.8091743119266055, 0.911504424778761, 0.7876106194690266, 0.7853211009174312, 0.9026548672566371, 0.8719135802469136, 0.8498498498498499, 0.5540720961281709, 0.8584070796460177, 0.8169642857142858, 0.8108108108108109, 0.8053097345132744, 0.40625, 0.8584070796460177, 0.752212389380531, 0.9380530973451328, 0.9919893190921228, 0.7897897897897899, 0.8678899082568807, 0.008849557522123908, 0.584070796460177, 0.5765765765765765, 0.8053097345132744, 0.8794642857142857, 0.8482142857142857, 0.6876876876876877, 0.8938053097345133, 0.9821428571428571, 0.7690253671562083, 0.7716955941255006, 0.6636363636363636, 0.5132743362831859, 0.6371681415929203, 0.053097345132743334, 0.7, 0.7700471698113207, 0.9646017699115044, 0.8035714285714285, 0.8110091743119267, 0.8586538461538462, 0.7863636363636363, 0.65625, 0.017699115044247815, 0.8495575221238938, 0.8765432098765432, 0.9380530973451328, 0.2920353982300885, 0.5267857142857143, 0.6017699115044248, 0.7721153846153846, 0.3008849557522124, 0.3080357142857143, 0.7723214285714285, 0.6827830188679245, 0.03539823008849563, 0.4454545454545455, 0.35135135135135137, 0.8258928571428571, 0.16814159292035402, 0.7431192660550459, 0.6160714285714286, 0.8458715596330275, 0.8938053097345133, 0.36283185840707965, 0.6495412844036696, 0.691358024691358, 0.3973214285714286, 0.4363636363636364, 0.7567567567567568, 0.48214285714285715, 0.8431818181818181, 0.6460176991150443, 0.9911504424778761, 0.06194690265486724, 0.0892857142857143, 0.9203539823008849, 0.2612612612612612, 0.10619469026548678, 0.4568181818181818, 0.6294642857142857, 0.6697530864197531, 0.8672566371681416, 0.33628318584070793, 0.9646017699115044, 0.6515353805073432, 0.8076923076923077, 0.5398230088495575, 0.18018018018018017, 0.839622641509434, 0.6651785714285714, 0.2098214285714286, 0.4424778761061947, 0.8214285714285714, 0.6529100529100529, 0.9212283044058744, 0.7168141592920354, 0.11504424778761058, 0.8761061946902655, 0.6844036697247707, 0.4513274336283186, 0.6194690265486726, 0.5178571428571428, 0.5929203539823009, 0.8048048048048049, 0.2566371681415929, 0.2743362831858407, 0.17699115044247793, 0.525, 0.40454545454545454, 0.911504424778761, 0.9469026548672567, 0.8407079646017699, 0.7946428571428571, 0.9469026548672567, 0.8538461538461539, 0.8230088495575221, 0.8660714285714286, 0.8928571428571429, 0.6371681415929203, 0.8022727272727272, 0.9429429429429429, 0.5486725663716814, 0.6741071428571428, 0.3893805309734514, 0.663716814159292, 0.6295454545454545, 0.22123893805309736, 0.6306306306306306, 0.8879716981132076, 0.7963302752293578, 0.7168141592920354, 0.6642201834862386, 0.4424778761061947, 0.7345132743362832, 0.7222963951935915, 0.9659090909090909, 0.7079646017699115, 0.7366071428571429, 0.17699115044247793, 0.8928571428571429, 0.7610619469026548, 0.4424778761061947, 0.03539823008849563, 0.6785714285714285, 0.6875, 0.28125, 0.24107142857142855, 0.15929203539823011, 0.9292035398230089, 0.9026548672566371, 0.9363636363636364, 0.7191358024691357, 0.7706422018348624, 0.752212389380531, 0.8544726301735647, 0.8590909090909092, 0.8705357142857143, 0.90625, 0.8761061946902655, 0.8705357142857143, 0.6642201834862385, 0.663716814159292, 0.8761061946902655, 0.6741071428571428, 0.8584070796460177, 0.6294642857142858, 0.7589285714285714, 0.59375, 0.9089506172839507, 0.6106194690265487, 0.855045871559633, 0.9823008849557522, 0.7145061728395062, 0.6991150442477876, 0.7876106194690266]","[0.8343531468531469, 0.7648221343873518, 0.8181818181818181, 0.6938657407407408, 0.8046328671328671, 0.7259136212624584, 0.8033596837944664, 0.6248896734333628, 0.8229229836264402, 0.8799646954986761, 0.7283950617283951, 0.8686980609418282, 0.7606209150326797, 0.8443877551020408, 0.8823529411764706, 0.8288461538461538, 0.7076048951048951, 0.7184466019417476, 0.8212412587412588, 0.7811834823329077, 0.7026143790849673, 0.7934782608695652, 0.7835106382978723, 0.6704980842911876, 0.7739325842696629, 0.876595744680851, 0.5686274509803921, 0.8526037069726391, 0.8811881188118812, 0.8586538461538462, 0.7267786561264822, 0.7825255102040817, 0.7721153846153846, 0.7333970377448638, 0.8202614379084967, 0.8076923076923077, 0.5902513328255903, 0.8932038834951457, 0.7776085300837776, 0.8538461538461539, 0.6646072374227713, 0.6382330540746382, 0.6398940864960282, 0.7193292144748455]","[0.7949869060980173, 0.7405238828967643, 0.7052079921388799, 0.7284144427001569, 0.8290540540540541, 0.8691135734072022, 0.7402027027027027, 0.670940170940171, 0.8115603073838958, 0.7683823529411765, 0.782928388746803, 0.7801067073170731, 0.8169191919191919]","[0.9203539823008849, 0.9732142857142857, 0.957957957957958, 0.24778761061946908, 0.675925925925926, 0.8343531468531469, 0.7648221343873518, 0.807743658210948, 0.663716814159292, 0.6088117489986649, 0.53125, 0.6160714285714286, 0.4017857142857143, 0.8938053097345133, 0.8181818181818181, 0.7949869060980173, 0.7147147147147148, 0.891891891891892, 0.6938657407407408, 0.8141592920353982, 0.8046328671328671, 0.8818181818181818, 0.7409090909090909, 0.9100917431192661, 0.7405238828967643, 0.8275229357798164, 0.7259136212624584, 0.8254716981132075, 0.6839622641509434, 0.8033596837944664, 0.1327433628318584, 0.6440366972477064, 0.8022727272727272, 0.8642201834862386, 0.7052079921388799, 0.6516516516516516, 0.9646017699115044, 0.6293577981651376, 0.6248896734333628, 0.8229229836264402, 0.8799646954986761, 0.7283950617283951, 0.6902654867256637, 0.8686980609418282, 0.7636849132176236, 0.7606209150326797, 0.7327327327327328, 0.8443877551020408, 0.7283950617283952, 0.8823529411764706, 0.90625, 0.892063492063492, 0.8407079646017699, 0.8288461538461538, 0.48348348348348347, 0.7076048951048951, 0.8761061946902655, 0.7576719576719576, 0.7276785714285714, 0.8598130841121496, 0.7256637168141593, 0.6991150442477876, 0.7184466019417476, 0.7908256880733945, 0.8091743119266055, 0.911504424778761, 0.7876106194690266, 0.7853211009174312, 0.8212412587412588, 0.7284144427001569, 0.8290540540540541, 0.9026548672566371, 0.7811834823329077, 0.8719135802469136, 0.8498498498498499, 0.5540720961281709, 0.8584070796460177, 0.7026143790849673, 0.8169642857142858, 0.8108108108108109, 0.8053097345132744, 0.40625, 0.8584070796460177, 0.752212389380531, 0.9380530973451328, 0.7934782608695652, 0.9919893190921228, 0.7897897897897899, 0.7835106382978723, 0.8678899082568807, 0.008849557522123908, 0.584070796460177, 0.5765765765765765, 0.8053097345132744, 0.6704980842911876, 0.8794642857142857, 0.8691135734072022, 0.7739325842696629, 0.876595744680851, 0.8482142857142857, 0.5686274509803921, 0.8526037069726391, 0.6876876876876877, 0.8938053097345133, 0.9821428571428571, 0.7402027027027027, 0.8811881188118812, 0.7690253671562083, 0.7716955941255006, 0.6636363636363636, 0.5132743362831859, 0.6371681415929203, 0.053097345132743334, 0.7, 0.670940170940171, 0.8115603073838958, 0.7683823529411765, 0.7700471698113207, 0.9646017699115044, 0.8035714285714285, 0.8110091743119267, 0.8586538461538462, 0.7863636363636363, 0.65625, 0.017699115044247815, 0.8495575221238938, 0.8765432098765432, 0.9380530973451328, 0.2920353982300885, 0.782928388746803, 0.5267857142857143, 0.7267786561264822, 0.7825255102040817, 0.6017699115044248, 0.7721153846153846, 0.7801067073170731, 0.8169191919191919, 0.3008849557522124, 0.3080357142857143, 0.7723214285714285, 0.6827830188679245, 0.03539823008849563, 0.4454545454545455, 0.35135135135135137, 0.8258928571428571, 0.7333970377448638, 0.16814159292035402, 0.7431192660550459, 0.6160714285714286, 0.8458715596330275, 0.8938053097345133, 0.36283185840707965, 0.6495412844036696, 0.691358024691358, 0.8202614379084967, 0.3973214285714286, 0.4363636363636364, 0.7567567567567568, 0.48214285714285715, 0.8431818181818181, 0.6460176991150443, 0.9911504424778761, 0.06194690265486724, 0.0892857142857143, 0.9203539823008849, 0.2612612612612612, 0.10619469026548678, 0.4568181818181818, 0.6294642857142857, 0.6697530864197531, 0.8672566371681416, 0.33628318584070793, 0.9646017699115044, 0.6515353805073432, 0.8076923076923077, 0.5398230088495575, 0.18018018018018017, 0.839622641509434, 0.5902513328255903, 0.6651785714285714, 0.2098214285714286, 0.4424778761061947, 0.8214285714285714, 0.8932038834951457, 0.6529100529100529, 0.9212283044058744, 0.7168141592920354, 0.11504424778761058, 0.8761061946902655, 0.6844036697247707, 0.4513274336283186, 0.6194690265486726, 0.5178571428571428, 0.5929203539823009, 0.8048048048048049, 0.2566371681415929, 0.2743362831858407, 0.17699115044247793, 0.525, 0.40454545454545454, 0.911504424778761, 0.9469026548672567, 0.8407079646017699, 0.7776085300837776, 0.7946428571428571, 0.9469026548672567, 0.8538461538461539, 0.6646072374227713, 0.8230088495575221, 0.8660714285714286, 0.8928571428571429, 0.6371681415929203, 0.8022727272727272, 0.9429429429429429, 0.5486725663716814, 0.6741071428571428, 0.3893805309734514, 0.663716814159292, 0.6295454545454545, 0.22123893805309736, 0.6382330540746382, 0.6306306306306306, 0.8879716981132076, 0.7963302752293578, 0.7168141592920354, 0.6642201834862386, 0.4424778761061947, 0.7345132743362832, 0.7222963951935915, 0.9659090909090909, 0.7079646017699115, 0.7366071428571429, 0.17699115044247793, 0.8928571428571429, 0.7610619469026548, 0.4424778761061947, 0.03539823008849563, 0.6785714285714285, 0.6875, 0.28125, 0.24107142857142855, 0.15929203539823011, 0.9292035398230089, 0.9026548672566371, 0.9363636363636364, 0.7191358024691357, 0.7706422018348624, 0.6398940864960282, 0.752212389380531, 0.8544726301735647, 0.8590909090909092, 0.7193292144748455, 0.8705357142857143, 0.90625, 0.8761061946902655, 0.8705357142857143, 0.6642201834862385, 0.663716814159292, 0.8761061946902655, 0.6741071428571428, 0.8584070796460177, 0.6294642857142858, 0.7589285714285714, 0.59375, 0.9089506172839507, 0.6106194690265487, 0.855045871559633, 0.9823008849557522, 0.7145061728395062, 0.6991150442477876, 0.7876106194690266]"
m-aupr,0.10601876841612103,0.42293804320228784,0.6778500431787,0.41573859640180044
m-auc,0.7670827100545345,0.781039048871135,0.7642919116938205,0.8595770697251152
F-max,0.1952983725135624,0.4443359375,0.6344086021505377,0.434140127388535
t_max,0.15,0.22,0.47,0.27
p_max,0.1610337972166998,0.34785932721712537,0.6135181975736569,0.4170337738619677
